Gaia18csm
#Date,JD,averagemag.
2015-01-11 12:18:32,2457034.013,null
2015-02-10 11:55:07,2457063.997,null
2015-03-20 04:54:54,2457101.705,null
2015-03-20 06:41:39,2457101.779,null
2015-04-03 04:59:17,2457115.708,null
2015-04-03 06:46:02,2457115.782,null
2015-05-19 17:08:11,2457162.214,null
2015-05-19 21:21:22,2457162.390,null
2015-05-19 23:08:07,2457162.464,null
2015-05-28 21:28:33,2457171.395,null
2015-05-28 23:14:43,2457171.469,null
2015-05-29 03:28:29,2457171.645,null
2015-05-29 05:15:14,2457171.719,null
2015-07-11 16:05:49,2457215.171,null
2015-08-06 14:12:48,2457241.092,null
2015-08-06 15:59:34,2457241.166,null
2015-09-06 21:45:36,2457272.407,null
2015-09-07 01:58:47,2457272.582,null
2015-10-25 19:41:07,2457321.320,null
2015-10-25 21:27:52,2457321.394,null
2015-10-26 01:41:37,2457321.571,null
2015-10-26 03:27:47,2457321.644,null
2015-10-26 07:41:32,2457321.821,null
2015-10-26 09:28:18,2457321.895,null
2015-11-07 03:37:53,2457333.651,null
2015-11-07 07:51:38,2457333.828,null
2015-11-07 09:37:48,2457333.901,null
2015-11-07 13:51:33,2457334.077,null
2015-11-07 15:38:18,2457334.152,null
2015-11-07 19:52:03,2457334.328,null
2015-11-07 21:38:13,2457334.402,null
2015-11-08 01:51:58,2457334.578,null
2015-12-28 19:31:05,2457385.313,null
2015-12-28 21:17:49,2457385.387,null
2016-01-25 19:17:28,2457413.304,null
2016-02-21 07:00:12,2457439.792,null
2016-02-21 08:46:57,2457439.866,null
2016-04-01 17:49:56,2457480.243,null
2016-04-01 19:36:40,2457480.317,null
2016-04-12 11:55:47,2457490.997,null
2016-04-12 13:42:32,2457491.071,null
2016-05-29 10:17:22,2457537.929,null
2016-05-29 12:04:07,2457538.003,null
2016-06-10 16:24:57,2457550.184,null
2016-06-10 18:11:42,2457550.258,null
2016-07-22 03:25:55,2457591.643,null
2016-08-20 11:00:28,2457620.959,null
2016-09-17 22:56:52,2457649.456,null
2016-09-18 03:10:03,2457649.632,null
2016-11-10 02:55:23,2457702.622,null
2016-11-10 04:42:08,2457702.696,null
2016-11-10 08:55:53,2457702.872,null
2016-11-10 10:42:38,2457702.946,null
2016-11-10 14:55:48,2457703.122,null
2016-11-10 16:42:33,2457703.196,null
2016-11-23 16:52:32,2457716.203,null
2016-11-23 21:06:17,2457716.379,null
2016-11-23 22:52:27,2457716.453,null
2016-11-24 03:06:12,2457716.629,null
2016-11-24 04:52:56,2457716.703,null
2016-11-24 09:06:41,2457716.880,null
2017-01-08 02:39:35,2457761.611,null
2017-01-08 04:26:20,2457761.685,null
2017-02-07 16:00:58,2457792.167,null
2017-03-03 03:27:00,2457815.644,null
2017-03-03 05:13:44,2457815.718,null
2017-04-14 20:07:03,2457858.338,null
2017-04-14 21:53:48,2457858.412,null
2017-04-15 02:07:33,2457858.589,null
2017-04-22 20:12:56,2457866.342,null
2017-04-22 21:59:40,2457866.416,null
2017-04-23 02:13:25,2457866.593,null
2017-04-23 03:59:35,2457866.666,null
2017-06-09 00:38:41,2457913.527,null
2017-06-09 02:24:52,2457913.601,null
2017-06-24 18:44:56,2457929.281,null
2017-06-24 20:31:07,2457929.355,null
2017-08-02 17:56:51,2457968.248,null
2017-09-04 17:39:35,2458001.236,null
2017-09-04 19:26:20,2458001.310,null
2017-09-29 23:44:04,2458026.489,null
2017-09-30 01:30:50,2458026.563,null
2017-11-23 11:30:14,2458080.979,null
2017-11-23 13:16:24,2458081.053,null
2017-11-23 17:30:08,2458081.229,null
2017-11-23 19:16:53,2458081.303,null
2017-12-11 13:25:56,2458099.060,null
2017-12-11 17:39:40,2458099.236,null
2017-12-11 19:26:25,2458099.310,null
2018-01-19 11:10:14,2458137.965,null
2018-01-19 12:56:58,2458138.040,null
2018-03-13 16:29:24,2458191.187,null
2018-03-13 18:16:09,2458191.261,null
2018-04-27 10:47:57,2458235.950,null
2018-04-27 15:01:41,2458236.126,null
2018-04-27 16:48:26,2458236.200,null
2018-04-27 21:02:11,2458236.377,null
2018-05-03 21:07:09,2458242.380,null
2018-05-03 22:53:19,2458242.454,null
2018-05-04 03:07:04,2458242.630,null
2018-05-04 04:53:49,2458242.704,null
2018-06-19 19:39:35,2458289.319,null
2018-08-14 13:06:38,2458345.046,null
2018-09-20 18:45:32,2458382.282,18.57
2018-09-20 20:32:06,2458382.356,18.81
2018-10-12 02:41:47,2458403.612,19.68
2018-10-12 06:55:27,2458403.789,19.68
2018-10-12 08:42:02,2458403.863,19.76
2018-12-05 18:40:35,2458458.278,null
2018-12-05 20:27:20,2458458.352,null
2018-12-27 18:45:15,2458480.281,null
2018-12-27 20:32:00,2458480.356,null
2019-03-06 23:28:28,2458549.478,null
2019-03-07 01:15:12,2458549.552,null
2019-03-24 05:30:10,2458566.729,null
2019-03-24 07:16:19,2458566.803,null
2019-05-09 05:42:34,2458612.738,null
2019-05-09 09:55:44,2458612.914,null
2019-05-09 11:42:29,2458612.988,null
2019-05-16 04:01:44,2458619.668,null
2019-05-16 05:47:54,2458619.742,null
2019-06-30 16:29:06,2458665.187,null
2019-06-30 20:42:17,2458665.363,null
2019-08-03 18:48:59,2458699.284,null
2019-08-03 23:02:45,2458699.460,null
2019-09-10 01:01:34,2458736.543,null
2019-09-10 02:48:19,2458736.617,null
2019-09-27 09:18:48,2458753.888,null

