Gaia18csw
#Date,JD,averagemag.
2014-12-31 22:06:58,2457023.422,null
2014-12-31 23:53:08,2457023.495,null
2015-01-20 16:09:23,2457043.173,null
2015-01-20 17:56:09,2457043.247,null
2015-02-19 11:37:02,2457072.984,null
2015-07-03 10:27:45,2457206.936,null
2015-07-03 12:14:30,2457207.010,null
2015-07-27 06:09:56,2457230.757,null
2015-08-25 10:04:09,2457259.920,null
2015-08-25 11:50:53,2457259.994,null
2016-01-10 11:14:37,2457397.968,null
2016-01-10 13:00:48,2457398.042,null
2016-02-04 05:07:30,2457422.714,null
2016-02-04 06:54:15,2457422.788,null
2016-02-29 18:48:08,2457448.283,null
2016-07-12 23:36:09,2457582.483,null
2016-08-10 17:18:33,2457611.221,null
2016-09-03 23:10:43,2457635.466,null
2017-01-19 12:24:01,2457773.017,null
2017-01-19 14:10:12,2457773.090,null
2017-02-17 21:15:48,2457802.386,null
2017-03-10 09:19:47,2457822.889,null
2017-03-10 13:33:33,2457823.065,null
2017-07-23 20:07:10,2457958.338,null
2017-07-23 21:53:54,2457958.412,null
2017-08-26 01:36:19,2457991.567,null
2017-08-26 03:23:03,2457991.641,null
2017-09-13 13:37:47,2458010.068,null
2017-09-13 15:24:31,2458010.142,null
2018-01-29 20:56:53,2458148.373,null
2018-03-05 20:30:13,2458183.354,null
2018-03-05 22:16:59,2458183.428,null
2018-03-18 14:39:41,2458196.111,null
2018-03-18 16:26:26,2458196.185,null
2018-03-18 20:40:12,2458196.361,null
2018-08-03 21:16:20,2458334.386,null
2018-08-03 23:02:30,2458334.460,null
2018-09-11 04:19:00,2458372.680,null
2018-09-11 08:32:44,2458372.856,null
2018-09-21 08:38:11,2458382.860,18.78
2018-09-21 10:24:44,2458382.934,18.92
2018-09-21 14:38:23,2458383.110,18.77
2018-09-21 16:25:28,2458383.184,null
2018-12-23 16:31:36,2458476.189,null
2018-12-23 18:17:47,2458476.262,null
2018-12-23 22:31:33,2458476.439,null
2019-01-06 04:39:46,2458489.694,null
2019-01-06 06:25:57,2458489.768,null
2019-02-09 10:08:03,2458523.922,null
2019-06-24 04:50:04,2458658.701,null
2019-06-24 06:36:48,2458658.776,null
2019-07-11 10:55:43,2458675.955,null
2019-07-11 12:42:28,2458676.029,null
2019-08-14 01:30:18,2458709.563,null
2019-08-14 03:17:02,2458709.637,null

