Gaia18cvx
#Date,JD,averagemag.
2015-01-07 00:55:42,2457029.539,null
2015-01-07 06:56:11,2457029.789,null
2015-01-07 12:56:04,2457030.039,null
2015-01-07 14:42:49,2457030.113,null
2015-01-07 18:56:33,2457030.289,null
2015-01-07 20:42:42,2457030.363,null
2015-01-08 00:56:26,2457030.539,null
2015-01-08 02:43:11,2457030.613,null
2015-01-08 06:56:55,2457030.790,null
2015-01-08 12:56:48,2457031.039,null
2015-01-08 18:57:17,2457031.290,null
2015-02-18 18:19:06,2457072.263,null
2015-02-18 20:05:50,2457072.337,null
2015-03-27 13:20:02,2457109.056,null
2015-03-27 17:33:46,2457109.232,null
2015-03-27 19:20:30,2457109.306,null
2015-04-06 23:39:43,2457119.486,null
2015-04-07 01:26:27,2457119.560,null
2015-07-13 01:39:16,2457216.569,null
2015-07-13 03:25:26,2457216.643,null
2015-07-27 19:47:42,2457231.325,null
2015-07-27 21:34:27,2457231.399,null
2015-09-01 19:18:59,2457267.305,null
2015-09-01 21:05:09,2457267.379,null
2016-01-11 07:54:49,2457398.830,null
2016-01-11 09:41:34,2457398.904,null
2016-01-27 19:59:36,2457415.333,null
2016-01-27 21:45:46,2457415.407,null
2016-02-29 07:27:19,2457447.811,null
2016-02-29 09:14:04,2457447.885,null
2016-07-21 04:30:11,2457590.688,null
2016-07-21 08:43:57,2457590.864,null
2016-08-11 14:47:45,2457612.116,null
2016-09-11 16:16:48,2457643.178,null
2017-01-19 09:01:06,2457772.876,null
2017-02-10 22:18:06,2457795.429,null
2017-02-11 00:04:16,2457795.503,null
2017-03-10 15:57:21,2457823.165,null
2017-03-10 17:44:05,2457823.239,null
2017-07-31 11:14:21,2457965.968,null
2017-07-31 13:01:06,2457966.042,null
2017-08-26 18:55:21,2457992.288,null
2017-09-22 06:50:40,2458018.785,null
2017-09-22 11:04:26,2458018.961,null
2018-01-29 05:31:29,2458147.730,null
2018-01-29 07:17:38,2458147.804,null
2018-03-20 18:50:18,2458198.285,null
2018-08-11 02:10:59,2458341.591,null
2018-08-11 06:24:45,2458341.767,null
2018-09-11 06:08:48,2458372.756,null
2018-09-11 07:55:34,2458372.830,null
2018-10-02 06:13:43,2458393.760,16.73
2018-10-02 08:00:18,2458393.834,16.72
2019-02-08 12:39:14,2458523.027,19.47
2019-02-08 14:26:01,2458523.101,null
2019-03-12 07:53:27,2458554.829,null
2019-03-30 06:07:47,2458572.755,null
2019-03-30 07:54:21,2458572.829,20.06
2019-08-13 04:57:39,2458708.707,null
2019-08-13 06:44:25,2458708.781,null
2019-09-15 12:33:50,2458742.023,null
2019-09-15 14:20:01,2458742.097,null

