Gaia18dca
#Date,JD,averagemag.
2014-10-28 00:43:44,2456958.530,null
2014-11-21 18:38:23,2456983.277,null
2015-04-27 23:23:36,2457140.475,null
2015-04-28 01:10:20,2457140.549,null
2015-05-26 05:06:46,2457168.713,null
2015-05-26 06:53:30,2457168.787,null
2015-06-19 16:59:23,2457193.208,null
2015-06-19 18:45:32,2457193.282,null
2015-11-07 06:07:31,2457333.755,null
2015-12-06 11:50:54,2457362.994,null
2015-12-06 13:37:04,2457363.067,null
2015-12-26 23:54:20,2457383.496,null
2016-05-07 18:32:21,2457516.272,null
2016-06-09 18:02:10,2457549.252,null
2016-06-09 19:48:55,2457549.326,null
2016-06-28 12:04:41,2457568.003,null
2016-06-28 13:50:50,2457568.077,null
2016-11-16 15:04:54,2457709.128,null
2016-12-20 20:37:16,2457743.359,null
2016-12-21 00:51:03,2457743.535,null
2017-01-03 00:59:54,2457756.542,null
2017-01-03 02:46:40,2457756.616,null
2017-01-03 07:00:26,2457756.792,null
2017-05-18 15:03:54,2457892.128,null
2017-05-18 16:50:03,2457892.201,null
2017-06-26 10:08:04,2457930.922,null
2017-06-26 14:21:47,2457931.098,null
2017-07-06 08:27:59,2457940.853,null
2017-07-06 10:14:44,2457940.927,null
2017-10-10 06:00:11,2458036.750,null
2017-10-10 10:13:57,2458036.926,null
2017-10-10 12:00:42,2458037.000,null
2017-10-22 22:22:55,2458049.433,null
2017-10-23 00:09:41,2458049.507,null
2017-11-27 03:52:10,2458084.661,null
2017-11-27 05:38:21,2458084.735,null
2018-04-08 22:39:35,2458217.444,null
2018-04-09 00:26:20,2458217.518,null
2018-04-09 04:40:03,2458217.694,null
2018-04-25 06:31:14,2458233.772,null
2018-04-25 10:44:58,2458233.948,null
2018-05-29 16:12:29,2458268.175,null
2018-05-29 17:59:14,2458268.249,null
2018-10-18 17:17:59,2458410.221,18.93
2018-10-18 19:04:34,2458410.295,18.85
2018-11-07 11:22:29,2458429.974,null
2018-12-07 12:49:30,2458460.034,19.85
2019-04-18 01:31:27,2458591.564,null
2019-05-11 05:40:54,2458614.737,null
2019-06-09 11:20:40,2458643.973,null
2019-06-09 13:07:24,2458644.047,null

