Gaia18dcc
#Date,JD,averagemag.
2014-10-28 12:57:58,2456959.040,null
2014-11-24 17:00:38,2456986.209,null
2014-11-24 18:46:48,2456986.283,null
2015-04-24 17:16:36,2457137.220,null
2015-05-25 04:53:00,2457167.703,null
2015-06-16 10:48:36,2457189.950,null
2015-06-16 12:35:21,2457190.025,null
2015-11-08 00:21:42,2457334.515,null
2015-11-08 02:07:53,2457334.589,null
2015-12-09 18:00:17,2457366.250,null
2015-12-09 19:47:02,2457366.324,null
2015-12-27 18:08:03,2457384.256,null
2015-12-27 19:54:48,2457384.330,null
2016-05-04 12:25:23,2457513.018,null
2016-05-04 14:11:33,2457513.091,null
2016-06-08 11:48:04,2457547.992,null
2016-06-08 13:34:49,2457548.066,null
2016-06-25 05:52:15,2457564.745,null
2016-06-25 07:38:24,2457564.818,null
2016-09-30 21:48:45,2457662.409,null
2016-10-01 02:02:31,2457662.585,null
2016-10-11 08:10:41,2457672.841,null
2016-10-11 09:56:52,2457672.914,null
2016-11-17 13:32:14,2457710.064,null
2016-11-17 15:19:00,2457710.138,null
2016-12-26 01:05:03,2457748.545,null
2016-12-26 02:51:48,2457748.619,null
2016-12-26 07:05:34,2457748.796,null
2016-12-26 08:52:20,2457748.870,null
2016-12-26 13:06:06,2457749.046,null
2016-12-26 14:52:16,2457749.120,null
2017-01-01 19:11:38,2457755.300,null
2017-01-01 20:58:24,2457755.374,null
2017-01-02 01:12:10,2457755.550,null
2017-01-02 02:58:20,2457755.624,null
2017-01-02 07:12:06,2457755.800,null
2017-01-02 08:58:52,2457755.874,null
2017-03-27 09:23:56,2457839.892,null
2017-03-27 11:10:05,2457839.965,null
2017-03-27 15:23:49,2457840.142,null
2017-03-27 17:10:34,2457840.216,null
2017-04-07 17:17:27,2457851.220,null
2017-04-07 21:31:10,2457851.397,null
2017-04-07 23:17:20,2457851.470,null
2017-05-15 14:56:17,2457889.122,null
2017-05-15 16:43:01,2457889.197,null
2017-06-24 21:53:40,2457929.412,null
2017-06-25 02:07:24,2457929.588,null
2017-06-25 03:53:33,2457929.662,null
2017-06-25 08:07:17,2457929.838,null
2017-07-02 20:12:48,2457937.342,null
2017-07-02 21:59:33,2457937.416,null
2017-07-03 02:12:42,2457937.592,null
2017-07-03 03:59:26,2457937.666,null
2017-10-09 04:26:12,2458035.685,null
2017-10-09 06:12:57,2458035.759,null
2017-10-26 18:18:35,2458053.263,null
2017-11-28 04:06:11,2458085.671,null
2017-11-28 05:52:57,2458085.745,null
2018-04-04 10:28:26,2458212.936,null
2018-04-04 12:15:11,2458213.011,null
2018-04-24 18:17:07,2458233.262,null
2018-05-26 16:04:56,2458265.170,null
2018-05-26 17:51:06,2458265.244,null
2018-10-18 17:31:51,2458410.230,18.29
2018-10-18 19:18:25,2458410.304,18.27
2018-11-10 11:30:14,2458432.979,18.37
2018-12-08 13:03:31,2458461.044,18.74
2018-12-08 17:17:13,2458461.220,18.75
2019-04-14 05:36:09,2458587.733,null
2019-04-14 07:22:54,2458587.808,null
2019-05-10 05:26:29,2458613.727,null
2019-05-10 07:13:13,2458613.801,null
2019-06-06 11:12:01,2458640.967,null
2019-06-06 12:58:46,2458641.041,null

