Gaia18dct
#Date,JD,averagemag.
2014-10-28 06:27:33,2456958.769,18.09
2014-10-28 10:41:14,2456958.945,18.08
2014-11-18 04:44:46,2456979.698,18.14
2014-11-18 06:31:21,2456979.772,18.10
2015-05-02 05:32:14,2457144.731,null
2015-05-02 07:18:24,2457144.804,null
2015-05-26 13:10:32,2457169.049,null
2015-05-26 17:23:41,2457169.225,null
2015-06-23 23:07:03,2457197.463,18.11
2015-06-24 00:53:36,2457197.537,18.10
2015-11-07 01:36:54,2457333.567,18.12
2015-12-02 19:30:00,2457359.313,null
2015-12-27 05:37:52,2457383.735,18.14
2015-12-27 07:24:27,2457383.809,18.13
2016-05-11 12:38:47,2457520.027,18.19
2016-05-11 14:25:21,2457520.101,18.20
2016-06-10 00:18:35,2457549.513,18.26
2016-06-10 02:05:08,2457549.587,18.11
2016-07-03 12:14:53,2457573.010,18.19
2016-11-16 07:01:04,2457708.792,18.08
2016-11-16 08:47:39,2457708.866,18.07
2017-01-04 14:32:01,2457758.106,untrusted
2017-01-04 18:45:43,2457758.282,18.09
2017-05-22 09:09:34,2457895.882,18.19
2017-05-22 10:56:07,2457895.956,18.19
2017-06-26 02:37:49,2457930.610,null
2017-06-26 04:23:58,2457930.683,null
2017-07-12 14:43:12,2457947.113,null
2017-07-12 16:29:22,2457947.187,null
2017-11-26 17:21:20,2458084.223,18.20
2017-12-31 15:03:27,2458119.127,18.14
2017-12-31 16:50:02,2458119.201,18.18
2018-01-12 15:11:50,2458131.133,18.17
2018-01-12 16:58:24,2458131.207,18.12
2018-01-12 21:12:05,2458131.383,18.14
2018-04-15 04:54:25,2458223.704,untrusted
2018-04-15 06:40:59,2458223.778,18.08
2018-04-24 23:00:31,2458233.459,18.12
2018-04-25 00:47:05,2458233.533,18.09
2018-04-25 05:00:44,2458233.709,18.10
2018-06-02 10:18:23,2458271.929,18.06
2018-06-02 12:04:56,2458272.003,18.08
2018-10-20 05:03:47,2458411.711,17.88
2018-10-20 06:50:21,2458411.785,17.83
2018-11-02 18:59:28,2458425.291,17.84
2018-11-02 23:13:10,2458425.467,17.85
2018-11-03 00:59:44,2458425.541,untrusted
2018-12-07 04:46:09,2458459.699,17.86
2018-12-07 06:32:43,2458459.773,17.86
2019-04-22 23:55:23,2458596.497,17.90
2019-04-23 01:41:57,2458596.571,17.88
2019-05-11 11:57:23,2458614.998,17.88
2019-06-13 11:27:18,2458647.977,17.94
2019-06-13 13:13:51,2458648.051,17.94
2019-10-26 20:02:15,2458783.335,18.06
2019-10-26 21:48:49,2458783.409,18.04
2019-11-14 04:22:42,2458801.682,18.14
2019-12-15 04:05:35,2458832.671,18.08
2019-12-15 05:52:10,2458832.745,18.03
2020-04-25 07:38:23,2458964.818,18.04
2020-04-25 09:24:56,2458964.892,18.08

