Gaia18dfa
#Date,JD,averagemag.
2014-07-27 22:59:01,2456866.458,null
2014-07-28 00:45:45,2456866.532,null
2014-07-28 04:58:54,2456866.708,null
2014-07-28 06:45:39,2456866.782,null
2014-07-28 10:59:23,2456866.958,null
2014-07-28 12:46:07,2456867.032,null
2014-11-02 16:52:45,2456964.203,null
2014-11-02 18:38:55,2456964.277,null
2015-05-02 19:03:43,2457145.294,null
2015-05-02 23:17:26,2457145.470,null
2015-05-03 01:04:11,2457145.545,null
2015-05-22 05:19:44,2457164.722,null
2015-05-22 07:06:29,2457164.796,null
2015-11-11 13:44:56,2457338.073,null
2015-11-11 17:58:08,2457338.249,null
2015-12-03 05:59:08,2457359.749,null
2015-12-03 07:45:19,2457359.823,null
2015-12-31 11:44:25,2457387.989,null
2015-12-31 13:30:36,2457388.063,null
2016-05-11 12:24:01,2457520.017,null
2016-05-11 14:10:46,2457520.091,null
2016-06-05 20:01:53,2457545.335,null
2016-06-06 00:15:37,2457545.511,null
2016-11-20 08:53:12,2457712.870,null
2016-11-20 13:06:58,2457713.047,null
2016-12-16 18:57:17,2457739.290,null
2017-01-09 08:40:37,2457762.862,null
2017-01-09 12:54:24,2457763.038,null
2017-05-22 02:54:38,2457895.621,null
2017-05-22 04:41:22,2457895.695,null
2017-06-21 08:32:46,2457925.856,null
2017-06-21 10:19:31,2457925.930,null
2017-07-13 20:29:20,2457948.354,null
2017-07-13 22:15:29,2457948.427,null
2017-11-30 15:39:51,2458088.153,null
2017-11-30 17:26:02,2458088.226,null
2017-12-31 11:05:01,2458118.962,null
2018-01-18 15:24:59,2458137.142,null
2018-01-18 17:11:45,2458137.216,null
2018-06-01 23:50:08,2458271.493,null
2018-07-07 03:28:08,2458306.645,null
2018-07-07 05:14:53,2458306.719,null
2018-07-23 03:33:10,2458322.648,null
2018-07-23 05:19:54,2458322.722,null
2018-10-27 23:22:11,2458419.474,null
2018-10-28 01:08:35,2458419.548,18.93
2018-10-28 05:22:16,2458419.724,18.85
2018-10-28 07:08:51,2458419.798,untrusted
2018-10-28 11:22:32,2458419.974,18.84
2018-10-28 13:09:06,2458420.048,18.90
2018-10-28 17:22:47,2458420.224,18.92
2018-10-28 23:23:03,2458420.474,18.79
2018-10-31 17:25:49,2458423.226,18.94
2018-10-31 19:12:24,2458423.300,18.92
2018-10-31 23:26:05,2458423.476,18.89
2018-11-01 01:12:40,2458423.550,18.89
2018-11-01 05:26:21,2458423.727,18.84
2018-11-01 07:12:56,2458423.801,untrusted
2018-11-01 11:26:37,2458423.977,18.86
2018-11-01 13:13:12,2458424.051,18.91
2018-12-11 00:36:54,2458463.526,19.25
2019-01-16 22:21:03,2458500.431,null
2019-01-17 00:07:13,2458500.505,null
2019-01-25 10:28:29,2458508.936,null
2019-01-25 12:15:15,2458509.011,null
2019-01-25 16:28:26,2458509.186,null
2019-01-25 18:15:11,2458509.261,null
2019-04-25 11:43:39,2458598.989,null
2019-04-25 13:29:49,2458599.062,null
2019-04-25 17:43:33,2458599.239,null
2019-04-25 19:30:17,2458599.313,null
2019-05-05 07:36:36,2458608.817,null
2019-05-05 11:50:20,2458608.993,null
2019-05-05 13:36:30,2458609.067,null
2019-06-13 00:58:44,2458647.541,null
2019-07-20 18:33:39,2458685.273,null
2019-07-20 20:19:48,2458685.347,null
2019-07-21 00:33:32,2458685.523,null
2019-07-21 02:20:17,2458685.597,null
2019-07-28 12:40:45,2458693.028,null
2019-07-28 18:41:13,2458693.279,null
2019-07-28 20:27:58,2458693.353,null
2019-07-29 00:41:07,2458693.529,null
2019-07-29 02:27:51,2458693.603,null

