Gaia18dfb
#Date,JD,averagemag.
2014-11-12 01:05:22,2456973.545,null
2014-11-12 02:51:31,2456973.619,null
2015-01-17 07:26:40,2457039.810,null
2015-01-17 11:40:24,2457039.986,null
2015-01-30 11:45:20,2457052.990,null
2015-03-15 11:54:19,2457096.996,null
2015-03-15 16:08:05,2457097.172,null
2015-03-27 10:14:32,2457108.927,null
2015-03-27 12:01:17,2457109.001,null
2015-05-07 03:10:44,2457149.632,null
2015-05-07 04:57:29,2457149.707,null
2015-07-04 08:52:19,2457207.870,null
2015-07-04 10:39:04,2457207.944,null
2015-08-23 20:35:18,2457258.358,null
2015-08-23 22:22:03,2457258.432,null
2015-08-24 02:35:48,2457258.608,null
2015-08-24 04:22:33,2457258.682,null
2015-08-24 08:35:43,2457258.858,null
2015-08-24 10:22:28,2457258.932,null
2015-09-09 16:33:51,2457275.190,null
2015-09-09 20:47:36,2457275.366,null
2015-09-09 22:34:21,2457275.441,null
2015-09-10 02:48:06,2457275.617,null
2015-10-27 02:23:31,2457322.600,null
2015-10-27 04:10:16,2457322.674,null
2015-11-26 03:50:00,2457352.660,null
2015-12-21 01:50:18,2457377.577,null
2015-12-21 03:36:28,2457377.650,null
2016-01-30 02:21:32,2457417.598,null
2016-01-30 06:35:17,2457417.775,null
2016-02-09 18:40:45,2457428.278,null
2016-02-09 20:27:30,2457428.352,null
2016-03-24 23:05:23,2457472.462,null
2016-03-25 00:52:08,2457472.536,null
2016-04-08 17:11:11,2457487.216,null
2016-04-08 18:57:56,2457487.290,null
2016-05-17 16:18:10,2457526.179,null
2016-06-17 22:03:34,2457557.419,null
2016-06-17 23:50:19,2457557.493,null
2016-07-15 17:50:08,2457585.243,null
2016-07-15 22:03:53,2457585.419,null
2016-09-07 03:48:33,2457638.659,null
2016-09-07 05:35:18,2457638.733,null
2016-09-07 09:49:03,2457638.909,null
2016-09-07 11:35:13,2457638.983,null
2016-09-26 05:45:52,2457657.740,null
2016-09-26 09:59:37,2457657.916,null
2016-09-26 11:46:21,2457657.991,null
2016-11-06 21:31:47,2457699.397,null
2016-12-08 22:46:49,2457731.449,null
2016-12-30 16:39:27,2457753.194,null
2017-02-10 10:38:28,2457794.943,null
2017-02-10 14:52:13,2457795.120,null
2017-02-19 08:57:55,2457803.874,null
2017-02-19 10:44:40,2457803.948,null
2017-04-04 13:27:20,2457848.061,null
2017-04-22 07:31:23,2457865.813,null
2017-04-22 09:17:33,2457865.887,null
2017-05-29 08:35:47,2457902.858,null
2017-07-03 18:30:53,2457938.271,null
2017-07-03 20:17:38,2457938.346,null
2017-07-28 12:38:07,2457963.026,null
2017-07-28 14:24:17,2457963.100,null
2017-07-28 18:38:03,2457963.276,null
2017-09-20 18:22:36,2458017.266,null
2017-09-20 20:09:21,2458017.340,null
2017-10-13 00:29:46,2458039.521,null
2017-10-13 02:16:31,2458039.595,null
2017-11-18 06:01:52,2458075.751,null
2017-11-18 07:48:36,2458075.825,null
2017-12-22 11:18:43,2458109.971,null
2018-01-10 05:16:51,2458128.720,null
2018-01-10 07:03:36,2458128.794,null
2018-03-02 15:52:45,2458180.162,null
2018-03-02 17:38:55,2458180.235,null
2018-04-15 04:15:40,2458223.678,null
2018-04-15 08:29:25,2458223.854,null
2018-06-10 07:59:15,2458279.833,null
2018-07-20 07:38:26,2458319.818,null
2018-07-20 09:25:11,2458319.892,null
2018-08-10 15:36:29,2458341.150,null
2018-08-10 19:50:15,2458341.327,null
2018-08-10 21:37:00,2458341.401,null
2018-10-03 07:33:00,2458394.815,19.41
2018-10-03 09:19:34,2458394.889,19.39
2018-10-28 13:33:03,2458420.065,18.95
2018-10-28 15:19:36,2458420.139,18.92
2018-11-29 13:08:32,2458452.048,20.18
2018-11-29 14:55:05,2458452.122,20.13
2019-01-04 14:00:26,2458488.084,null
2019-01-20 12:16:39,2458504.012,null
2019-01-20 14:02:49,2458504.085,null
2019-03-05 04:41:11,2458547.695,null
2019-03-05 06:27:21,2458547.769,null
2019-03-14 16:47:33,2458557.200,null
2019-03-14 18:33:43,2458557.273,null
2019-04-26 05:20:08,2458599.722,null
2019-06-22 09:10:01,2458656.882,null
2019-06-22 10:56:11,2458656.956,null
2019-07-23 22:44:21,2458688.447,null
2019-07-24 00:31:07,2458688.522,null
2019-09-08 01:45:17,2458734.573,null
2019-09-08 03:32:02,2458734.647,null
2019-09-17 21:43:42,2458744.405,null
2019-09-18 01:57:27,2458744.582,null

