Gaia18dfl
#Date,JD,averagemag.
2014-10-05 15:01:59,2456936.126,untrusted
2014-11-11 08:09:22,2456972.840,20.52
2014-12-02 12:18:39,2456994.013,untrusted
2015-01-08 23:15:16,2457031.469,19.21
2015-01-09 01:01:50,2457031.543,19.19
2015-01-30 17:10:27,2457053.216,19.12
2015-03-07 04:25:02,2457088.684,20.18
2015-03-07 06:11:37,2457088.758,20.91
2015-05-07 09:52:56,2457149.912,null
2015-05-07 11:39:06,2457149.985,null
2015-06-13 03:31:41,2457186.647,20.25
2015-06-13 05:18:16,2457186.721,20.19
2015-07-14 15:22:00,2457218.140,20.17
2015-08-18 03:00:57,2457252.626,null
2015-08-18 04:47:41,2457252.700,null
2015-09-21 14:31:06,2457287.105,null
2015-09-21 16:17:15,2457287.179,null
2015-10-17 14:18:51,2457313.096,20.47
2015-10-17 16:05:25,2457313.170,20.21
2015-11-23 19:22:02,2457350.307,20.12
2015-12-14 07:18:33,2457370.805,19.98
2015-12-14 09:05:07,2457370.879,20.16
2016-01-20 14:03:36,2457408.086,null
2016-02-12 06:10:18,2457430.757,19.90
2016-02-12 07:56:52,2457430.831,20.09
2016-03-18 05:30:41,2457465.730,20.51
2016-03-18 07:17:15,2457465.804,19.25
2016-04-17 23:14:14,2457496.468,20.21
2016-04-18 01:00:48,2457496.542,20.27
2016-05-19 18:46:44,2457528.282,20.22
2016-06-26 04:39:09,2457565.694,null
2016-07-27 22:27:23,2457597.436,null
2016-07-28 00:13:35,2457597.509,untrusted
2016-08-29 22:07:07,2457630.422,20.18
2016-08-29 23:53:47,2457630.496,null
2016-10-03 23:17:23,2457665.470,19.69
2016-10-28 11:07:56,2457689.964,19.58
2016-12-04 20:21:09,2457727.348,19.03
2016-12-04 22:07:43,2457727.422,18.98
2016-12-25 04:04:34,2457747.670,19.82
2017-01-31 03:05:29,2457784.629,19.69
2017-02-24 04:19:48,2457808.680,19.67
2017-03-30 09:46:22,2457842.907,null
2017-03-30 13:59:35,2457843.083,19.28
2017-05-01 21:27:49,2457875.394,19.92
2017-06-02 09:16:50,2457906.887,19.62
2017-06-02 13:30:30,2457907.063,19.68
2017-07-09 19:08:49,2457944.298,19.83
2017-07-09 20:55:23,2457944.372,19.96
2017-08-11 02:39:56,2457976.611,19.77
2017-08-11 06:53:36,2457976.787,19.82
2017-10-17 05:53:13,2458043.745,19.95
2017-11-09 05:45:44,2458066.740,19.55
2017-11-09 07:32:18,2458066.814,19.65
2017-12-16 18:29:40,2458104.271,19.50
2018-01-06 04:39:59,2458124.694,null
2018-01-06 06:26:31,2458124.768,19.73
2018-02-11 21:44:49,2458161.406,20.12
2018-03-09 09:34:37,2458186.899,null
2018-03-09 11:21:23,2458186.973,null
2018-04-11 22:52:50,2458220.453,19.71
2018-05-16 02:47:03,2458254.616,null
2018-05-16 04:33:34,2458254.690,19.87
2018-06-16 08:37:44,2458285.860,19.57
2018-06-16 10:24:18,2458285.934,19.74
2018-07-23 08:16:09,2458322.845,20.29
2018-07-23 10:02:41,2458322.919,null
2018-08-25 07:56:26,2458355.831,19.88
2018-09-23 19:40:03,2458385.319,18.79
2018-09-23 21:26:37,2458385.393,18.78
2018-10-30 00:52:27,2458421.536,18.61
2018-10-30 02:39:02,2458421.610,18.58
2018-11-21 00:47:05,2458443.533,null
2018-11-21 02:33:50,2458443.607,null
2018-12-28 13:29:43,2458481.062,19.31
2019-01-18 11:39:26,2458501.986,19.60
2019-01-18 13:26:00,2458502.060,19.25
2019-02-23 12:35:15,2458538.024,19.66
2019-03-22 16:36:19,2458565.192,19.00
2019-03-22 18:22:54,2458565.266,19.00
2019-04-24 16:13:36,2458598.176,19.42
2019-04-24 18:00:11,2458598.250,20.94
2019-05-30 05:39:49,2458633.736,untrusted
2019-06-30 11:31:00,2458664.980,19.62
2019-06-30 15:44:42,2458665.156,null
2019-07-22 01:03:46,2458686.544,19.70
2019-08-29 01:17:41,2458724.554,19.68
2019-08-29 03:04:15,2458724.628,19.62
2019-09-26 02:22:42,2458752.599,19.44
2019-09-26 04:09:16,2458752.673,19.72
2019-10-28 21:47:25,2458785.408,18.86
2019-12-02 01:00:28,2458819.542,untrusted
2019-12-31 12:20:54,2458849.015,null
2020-02-03 01:47:38,2458882.575,19.44
2020-02-03 03:34:13,2458882.649,19.28
2020-03-06 09:15:52,2458914.886,null
2020-04-02 12:07:42,2458942.005,19.28
2020-05-10 00:24:36,2458979.517,19.29
2020-05-10 02:11:10,2458979.591,20.99

