Gaia18dgr
#Date,JD,averagemag.
2014-09-03 22:19:56,2456904.431,untrusted
2014-09-04 00:06:30,2456904.505,untrusted
2014-11-15 20:33:41,2456977.357,null
2014-12-04 20:31:47,2456996.355,untrusted
2015-01-16 13:00:55,2457039.042,untrusted
2015-01-16 17:14:35,2457039.218,19.62
2015-01-16 19:01:09,2457039.292,19.38
2015-01-24 23:20:28,2457047.473,19.17
2015-01-25 01:07:02,2457047.547,19.41
2015-03-08 17:43:18,2457090.238,19.36
2015-03-08 21:56:58,2457090.415,untrusted
2015-03-29 09:56:51,2457110.914,null
2015-03-29 11:43:04,2457110.988,untrusted
2015-05-02 21:26:21,2457145.393,null
2015-06-11 10:51:17,2457184.952,null
2015-06-11 15:05:02,2457185.128,null
2015-06-11 16:51:48,2457185.203,null
2015-07-02 21:16:13,2457206.386,18.73
2015-07-02 23:02:48,2457206.460,18.65
2015-07-03 03:16:28,2457206.636,18.72
2015-07-03 05:03:02,2457206.710,untrusted
2015-08-26 09:00:19,2457260.875,null
2015-08-26 10:47:04,2457260.949,null
2015-09-21 03:01:03,2457286.626,null
2015-09-21 04:47:12,2457286.699,null
2015-10-23 14:36:35,2457319.109,18.02
2015-10-23 16:23:09,2457319.183,18.21
2015-11-29 03:29:09,2457355.645,null
2015-11-29 07:42:53,2457355.821,null
2015-12-15 01:44:37,2457371.573,19.17
2015-12-15 03:31:11,2457371.647,untrusted
2016-01-27 12:08:57,2457415.006,19.05
2016-01-27 13:55:31,2457415.080,18.99
2016-02-06 00:15:21,2457424.511,19.08
2016-02-06 02:01:56,2457424.585,19.13
2016-03-18 12:47:35,2457466.033,null
2016-04-11 10:55:43,2457489.955,18.92
2016-04-11 12:42:18,2457490.029,18.87
2016-05-13 18:22:47,2457522.266,null
2016-06-28 04:16:39,2457567.678,null
2016-06-28 06:03:24,2457567.752,null
2016-06-28 10:17:09,2457567.929,null
2016-06-28 12:03:54,2457568.003,null
2016-07-16 04:29:05,2457585.687,null
2016-07-16 06:15:50,2457585.761,null
2016-07-16 10:29:35,2457585.937,null
2016-07-16 12:16:20,2457586.011,null
2016-07-16 16:29:30,2457586.187,null
2016-09-06 16:10:24,2457638.174,null
2016-09-06 17:57:09,2457638.248,null
2016-10-05 04:01:31,2457666.668,null
2016-10-05 05:48:15,2457666.742,null
2016-11-02 21:42:51,2457695.405,null
2016-12-11 08:37:28,2457733.859,null
2016-12-24 08:42:25,2457746.863,null
2016-12-24 10:29:10,2457746.937,null
2017-02-05 20:51:02,2457790.369,null
2017-02-06 01:04:47,2457790.545,null
2017-02-17 14:33:34,2457802.107,null
2017-02-17 16:20:20,2457802.181,null
2017-03-29 13:29:25,2457842.062,null
2017-03-29 15:15:35,2457842.136,null
2017-04-25 19:18:45,2457869.305,null
2017-04-25 21:05:30,2457869.379,null
2017-05-25 20:56:18,2457899.372,null
2017-05-26 01:10:03,2457899.549,null
2017-07-15 12:53:04,2457950.037,null
2017-07-15 14:39:49,2457950.111,null
2017-07-15 18:53:34,2457950.287,null
2017-07-15 20:40:19,2457950.361,null
2017-07-16 02:40:14,2457950.611,null
2017-08-01 14:52:07,2457967.120,null
2017-08-01 19:05:17,2457967.295,null
2017-08-01 20:52:02,2457967.369,null
2017-08-02 01:05:47,2457967.546,null
2017-09-19 00:42:34,2458015.530,null
2017-10-19 14:08:51,2458046.089,19.50
2017-11-13 18:09:40,2458071.257,null
2017-11-13 19:56:24,2458071.331,null
2017-12-24 00:41:26,2458111.529,null
2017-12-24 04:54:36,2458111.705,null
2018-01-03 11:00:11,2458121.958,null
2018-01-03 12:46:46,2458122.032,19.18
2018-01-03 17:00:40,2458122.209,null
2018-02-16 05:11:10,2458165.716,null
2018-03-02 15:29:49,2458180.146,18.75
2018-03-02 17:16:23,2458180.220,18.66
2018-04-09 20:36:19,2458218.359,19.33
2018-05-10 16:07:27,2458249.172,null
2018-06-07 08:21:07,2458276.848,null
2018-06-07 10:07:36,2458276.922,18.62
2018-07-31 02:06:23,2458330.588,18.57
2018-07-31 03:52:57,2458330.662,untrusted
2018-07-31 08:06:37,2458330.838,18.30
2018-07-31 09:53:11,2458330.912,18.60
2018-08-19 10:03:53,2458349.919,18.53
2018-08-19 14:17:47,2458350.096,null
2018-08-19 16:04:32,2458350.170,null
2018-08-19 20:17:46,2458350.346,18.46
2018-09-30 19:50:36,2458392.327,18.42
2018-09-30 21:37:35,2458392.401,null
2018-11-02 13:19:26,2458425.055,17.69
2018-11-02 15:06:00,2458425.129,17.64
2018-11-24 13:12:33,2458447.050,null
2018-11-24 14:59:18,2458447.125,null
2019-01-05 07:35:33,2458488.816,null
2019-01-05 11:49:18,2458488.993,null
2019-01-13 23:54:43,2458497.496,18.41
2019-01-14 01:41:17,2458497.570,18.16
2019-01-14 05:54:57,2458497.746,18.55
2019-01-14 07:41:32,2458497.821,18.66
2019-02-26 12:10:10,2458541.007,18.79
2019-02-26 16:23:51,2458541.183,18.62
2019-04-21 09:44:55,2458594.906,15.67
2019-05-26 05:12:04,2458629.717,18.79
2019-05-26 09:25:45,2458629.893,18.92
2019-06-19 23:19:13,2458654.472,18.83
2019-06-20 03:32:53,2458654.648,untrusted
2019-06-20 05:19:47,2458654.722,null
2019-07-17 04:53:28,2458681.704,18.87
2019-07-17 06:40:02,2458681.778,18.79
2019-07-17 10:53:53,2458681.954,null
2019-09-01 01:48:43,2458727.575,null
2019-09-01 03:35:13,2458727.649,19.08
2019-09-19 08:19:50,2458745.847,null
2019-09-19 10:06:34,2458745.921,null
2019-10-25 10:09:27,2458781.923,19.29
2019-10-25 11:56:01,2458781.997,19.12
2019-11-28 07:21:01,2458815.806,18.84
2019-11-28 11:34:56,2458815.983,null
2019-12-21 12:12:17,2458839.009,19.48
2019-12-21 13:59:18,2458839.083,null
2020-02-10 20:07:32,2458890.339,15.49
2020-02-10 21:54:06,2458890.413,15.53
2020-02-11 02:07:47,2458890.589,15.61
2020-03-03 20:43:29,2458912.364,null
2020-03-03 22:29:49,2458912.437,18.95
2020-04-09 00:05:32,2458948.504,15.26

