Gaia18dhi
#Date,JD,averagemag.
2014-08-28 10:44:31,2456897.948,18.87
2014-08-28 12:31:05,2456898.022,18.83
2014-10-02 13:34:30,2456933.066,untrusted
2014-10-02 15:21:04,2456933.140,untrusted
2014-11-16 00:00:39,2456977.500,19.10
2014-11-16 01:47:13,2456977.574,19.01
2014-11-16 06:01:03,2456977.751,null
2014-11-24 06:06:49,2456985.755,18.94
2014-11-24 07:53:23,2456985.829,18.91
2015-01-05 10:47:14,2457027.949,19.05
2015-02-28 04:18:26,2457081.679,null
2015-04-10 15:56:19,2457123.164,19.01
2015-04-10 17:43:15,2457123.238,null
2015-04-10 21:57:00,2457123.415,null
2015-04-10 23:43:10,2457123.488,null
2015-04-28 23:55:16,2457141.497,null
2015-04-29 04:09:01,2457141.673,null
2015-04-29 05:55:46,2457141.747,null
2015-04-29 10:08:56,2457141.923,null
2015-06-22 09:52:35,2457195.912,null
2015-06-22 11:38:44,2457195.985,null
2015-07-20 03:48:26,2457223.659,19.05
2015-07-20 05:35:00,2457223.733,19.07
2015-08-20 11:14:41,2457254.969,null
2015-09-28 14:28:20,2457294.103,18.99
2015-09-28 16:14:54,2457294.177,18.96
2015-10-13 02:33:01,2457308.606,19.07
2015-11-26 14:41:55,2457353.112,19.18
2015-11-26 18:55:35,2457353.289,19.19
2015-12-06 19:02:40,2457363.294,null
2015-12-06 20:48:50,2457363.367,null
2016-01-15 23:51:53,2457403.494,null
2016-02-09 19:29:45,2457428.312,19.11
2016-03-10 17:28:45,2457458.228,18.97
2016-03-10 19:15:20,2457458.302,18.94
2016-04-27 11:09:59,2457505.965,19.01
2016-04-27 12:56:34,2457506.039,19.04
2016-04-27 17:10:14,2457506.215,19.03
2016-04-27 18:56:48,2457506.289,19.01
2016-04-27 23:10:35,2457506.466,null
2016-04-28 00:57:03,2457506.540,19.04
2016-05-13 01:08:23,2457521.547,18.99
2016-05-13 05:22:03,2457521.724,19.02
2016-05-13 07:08:37,2457521.798,19.06
2016-05-13 11:22:17,2457521.974,untrusted
2016-05-13 13:08:51,2457522.048,19.02
2016-07-03 23:02:02,2457573.460,18.93
2016-08-03 06:34:48,2457603.774,null
2016-08-30 22:33:26,2457631.440,18.86
2016-08-31 00:20:00,2457631.514,18.84
2016-10-10 23:09:55,2457672.465,18.84
2016-10-11 03:23:35,2457672.641,18.87
2016-10-22 09:29:24,2457683.895,18.85
2016-10-22 11:15:58,2457683.969,18.84
2016-12-05 19:51:36,2457728.328,18.89
2016-12-05 21:38:11,2457728.402,18.89
2016-12-18 13:57:58,2457741.082,18.92
2016-12-18 15:44:32,2457741.156,18.93
2017-01-25 18:58:16,2457779.290,19.00
2017-03-22 14:02:11,2457835.085,19.07
2017-03-22 15:48:45,2457835.159,19.02
2017-05-13 19:46:37,2457887.324,18.93
2017-05-13 21:33:11,2457887.398,18.91
2017-05-14 01:46:51,2457887.574,18.77
2017-05-14 03:33:25,2457887.648,18.81
2017-05-14 09:33:39,2457887.898,18.93
2017-05-30 19:58:48,2457904.333,null
2017-05-30 21:44:54,2457904.406,19.10
2017-05-31 01:58:34,2457904.582,19.15
2017-05-31 03:45:08,2457904.656,19.11
2017-05-31 07:58:48,2457904.833,19.12
2017-07-16 01:33:39,2457950.565,18.93
2017-07-16 03:20:13,2457950.639,18.96
2017-08-17 20:55:07,2457983.372,18.92
2017-08-18 01:08:46,2457983.548,18.90
2017-10-23 19:27:10,2458050.311,19.05
2017-10-23 23:40:49,2458050.487,18.98
2017-11-01 17:46:40,2458059.241,18.97
2017-11-01 19:33:15,2458059.315,19.05
2017-11-01 23:46:59,2458059.491,null
2017-11-02 01:33:29,2458059.565,19.01
2017-12-15 23:58:56,2458103.499,18.83
2017-12-31 16:17:05,2458119.179,18.89
2018-02-05 17:15:01,2458155.219,null
2018-02-05 21:28:47,2458155.395,null
2018-03-09 15:09:30,2458187.132,18.86
2018-03-09 16:56:04,2458187.206,18.88
2018-04-03 15:13:26,2458212.134,18.96
2018-04-03 17:00:00,2458212.208,18.93
2018-05-27 20:59:04,2458266.374,null
2018-05-27 22:45:48,2458266.448,null
2018-05-28 02:59:33,2458266.625,null
2018-05-28 04:45:43,2458266.698,null
2018-06-17 21:08:59,2458287.381,untrusted
2018-06-17 22:55:33,2458287.455,18.99
2018-07-28 02:42:08,2458327.613,19.13
2018-07-28 04:28:42,2458327.687,19.18
2018-09-01 03:51:56,2458362.661,19.26
2018-09-01 08:05:35,2458362.837,19.25
2018-09-22 02:02:32,2458383.585,19.30
2018-09-22 03:49:06,2458383.659,19.32
2018-11-05 00:35:07,2458427.524,20.17
2018-11-05 02:21:41,2458427.598,20.00
2018-11-05 06:35:43,2458427.775,null
2018-11-12 18:41:22,2458435.279,null
2018-11-12 20:27:32,2458435.352,null
2018-12-26 05:13:00,2458478.717,18.94
2018-12-26 06:59:34,2458478.791,18.87
2019-01-13 23:14:54,2458497.469,null
2019-02-16 22:37:35,2458531.443,null
2019-02-17 00:24:21,2458531.517,null
2019-03-25 04:15:17,2458567.677,18.90
2019-03-25 06:01:52,2458567.751,18.94
2019-03-25 10:15:33,2458567.927,18.96
2019-04-16 00:11:30,2458589.508,18.91
2019-04-16 04:25:10,2458589.684,18.97
2019-04-16 06:11:45,2458589.758,18.87
2019-06-09 22:10:08,2458644.424,19.11
2019-06-09 23:56:42,2458644.498,19.10
2019-06-10 04:10:22,2458644.674,19.10
2019-06-10 05:56:56,2458644.748,19.09
2019-07-04 16:14:53,2458669.177,19.18
2019-07-04 18:01:27,2458669.251,19.20
2019-07-17 05:33:36,2458681.732,18.95
2019-08-22 03:02:24,2458717.627,18.98
2019-09-28 20:48:29,2458755.367,18.97
2019-09-28 22:35:03,2458755.441,18.95
2019-10-20 09:19:25,2458776.888,19.04
2019-10-20 11:05:59,2458776.962,19.05
2019-12-12 01:02:58,2458829.544,19.08
2019-12-12 05:16:39,2458829.720,19.07
2020-01-04 07:44:26,2458852.823,19.14
2020-02-06 09:13:59,2458885.885,null
2020-03-13 03:25:33,2458921.643,19.00
2020-03-13 05:12:08,2458921.717,19.05
2020-03-30 05:42:53,2458938.738,19.02
2020-03-30 09:56:34,2458938.914,19.01

