Gaia18dhn
#Date,JD,averagemag.
2014-11-19 03:53:38,2456980.662,null
2014-11-19 05:40:23,2456980.736,null
2015-03-06 06:53:38,2457087.787,null
2015-03-06 08:40:23,2457087.861,null
2015-03-28 14:33:36,2457110.107,null
2015-04-29 12:20:28,2457142.014,null
2015-04-29 14:06:37,2457142.088,null
2015-08-29 00:04:22,2457263.503,null
2015-08-29 01:51:07,2457263.577,null
2015-09-24 12:04:30,2457290.003,null
2015-09-24 13:51:16,2457290.077,null
2015-10-23 17:50:57,2457319.244,null
2015-12-02 22:50:25,2457359.452,null
2015-12-03 00:37:10,2457359.526,null
2015-12-03 04:50:56,2457359.702,null
2015-12-11 04:56:54,2457367.706,null
2015-12-11 06:43:39,2457367.780,null
2015-12-11 10:57:25,2457367.957,null
2016-01-29 03:09:52,2457416.632,null
2016-01-29 09:10:21,2457416.882,null
2016-01-29 10:56:31,2457416.956,null
2016-01-29 15:10:15,2457417.132,null
2016-01-29 16:57:00,2457417.206,null
2016-01-29 21:10:45,2457417.382,null
2016-01-29 22:56:55,2457417.456,null
2016-01-30 03:10:39,2457417.632,null
2016-01-30 04:57:24,2457417.707,null
2016-01-30 10:57:53,2457417.957,null
2016-01-31 04:58:11,2457418.707,null
2016-01-31 10:58:41,2457418.957,null
2016-01-31 15:12:25,2457419.134,null
2016-01-31 16:58:35,2457419.207,null
2016-01-31 21:12:20,2457419.384,null
2016-01-31 22:59:04,2457419.458,null
2016-02-01 03:12:49,2457419.634,null
2016-02-01 04:58:59,2457419.708,null
2016-02-01 09:12:43,2457419.884,null
2016-02-01 10:59:28,2457419.958,null
2016-02-01 15:13:12,2457420.134,null
2016-03-15 19:57:38,2457463.332,null
2016-03-15 21:44:23,2457463.406,null
2016-04-11 01:43:08,2457489.572,null
2016-04-11 03:29:52,2457489.646,null
2016-05-10 01:29:18,2457518.562,null
2016-05-10 03:16:02,2457518.636,null
2016-09-08 15:02:39,2457640.127,null
2016-09-08 19:16:25,2457640.303,null
2016-10-08 07:05:37,2457669.796,null
2016-10-08 08:52:23,2457669.870,null
2016-11-02 08:44:59,2457694.865,null
2017-02-05 10:02:25,2457789.918,null
2017-02-05 11:49:10,2457789.992,null
2017-02-14 23:30:49,2457799.480,null
2017-02-15 01:17:34,2457799.554,null
2017-03-26 16:26:02,2457839.185,null
2017-03-26 18:12:12,2457839.258,null
2017-04-26 04:04:23,2457869.670,null
2017-05-21 16:01:41,2457895.168,null
2017-05-21 17:48:25,2457895.242,null
2017-09-20 05:36:34,2458016.734,null
2017-11-12 21:26:30,2458070.393,null
2018-02-14 18:21:22,2458164.265,null
2018-02-14 20:08:07,2458164.339,null
2018-02-28 20:11:40,2458178.341,null
2018-03-01 00:25:24,2458178.518,null
2018-05-11 23:04:58,2458250.462,null
2018-05-12 00:51:43,2458250.536,null
2018-06-02 05:11:59,2458271.717,null
2018-06-02 06:58:09,2458271.790,null
2018-08-06 12:56:56,2458337.040,null
2018-08-06 17:10:41,2458337.216,null
2018-08-06 18:57:27,2458337.290,null
2018-08-06 23:10:37,2458337.466,null
2018-08-07 00:57:22,2458337.540,null
2018-08-22 17:22:07,2458353.224,null
2018-08-22 19:08:53,2458353.298,null
2018-08-22 23:22:39,2458353.474,null
2018-08-23 01:09:24,2458353.548,null
2018-10-01 17:00:39,2458393.209,16.09
2018-11-05 12:11:29,2458428.008,18.24
2018-11-22 22:28:59,2458445.437,18.82
2019-02-24 13:20:40,2458539.056,null
2019-03-14 19:20:28,2458557.306,null
2019-03-14 21:06:37,2458557.380,null
2019-04-18 06:40:44,2458591.778,null
2019-04-18 08:26:54,2458591.852,null
2019-05-29 19:57:35,2458633.332,null
2019-05-30 00:11:19,2458633.508,null
2019-05-30 01:58:04,2458633.582,null
2019-05-30 06:11:48,2458633.758,null
2019-05-30 07:57:57,2458633.832,null
2019-06-12 12:20:37,2458647.014,null
2019-06-12 18:21:06,2458647.265,null
2019-06-12 20:07:51,2458647.339,null
2019-06-13 00:21:35,2458647.515,null
2019-06-13 02:07:45,2458647.589,null
2019-08-29 22:48:27,2458725.450,null

