Gaia18dhv
#Date,JD,averagemag.
2014-09-04 21:13:52,2456905.385,untrusted
2014-09-05 01:27:33,2456905.561,untrusted
2014-11-19 03:49:16,2456980.659,18.43
2014-11-19 05:35:51,2456980.733,18.25
2014-11-30 23:42:38,2456992.488,18.19
2014-12-01 03:56:19,2456992.664,untrusted
2015-01-18 08:13:40,2457040.843,18.08
2015-01-18 14:13:55,2457041.093,17.90
2015-01-18 16:00:29,2457041.167,18.36
2015-01-18 20:14:09,2457041.343,18.36
2015-01-18 22:00:43,2457041.417,18.34
2015-01-19 02:14:22,2457041.593,untrusted
2015-01-19 04:00:57,2457041.667,18.25
2015-01-19 08:14:36,2457041.843,18.43
2015-01-19 10:01:10,2457041.917,18.18
2015-01-19 14:14:50,2457042.094,18.63
2015-01-19 16:01:24,2457042.168,18.44
2015-01-19 20:15:04,2457042.344,18.47
2015-01-20 02:15:18,2457042.594,18.05
2015-03-05 12:55:31,2457087.039,18.10
2015-03-05 14:42:05,2457087.113,18.52
2015-03-29 14:31:26,2457111.105,18.50
2015-04-29 06:24:10,2457141.767,null
2015-04-29 08:10:55,2457141.841,null
2015-08-27 18:06:35,2457262.255,17.98
2015-08-27 19:53:09,2457262.329,18.44
2015-09-25 01:48:16,2457290.575,18.19
2015-10-22 13:37:18,2457318.068,18.12
2015-12-02 22:45:45,2457359.448,18.08
2015-12-03 00:32:19,2457359.522,18.27
2015-12-10 00:38:04,2457366.526,18.28
2015-12-10 04:51:44,2457366.703,18.23
2015-12-10 06:38:18,2457366.777,18.34
2016-01-26 09:05:04,2457413.879,18.04
2016-01-26 10:51:38,2457413.953,18.31
2016-01-26 15:05:18,2457414.129,18.03
2016-01-26 16:51:52,2457414.203,18.22
2016-02-03 09:10:38,2457421.882,18.08
2016-02-03 10:57:12,2457421.956,18.06
2016-02-03 15:10:51,2457422.133,17.93
2016-03-15 08:00:11,2457462.833,18.14
2016-04-12 07:42:22,2457490.821,18.28
2016-05-10 01:33:28,2457518.565,17.76
2016-05-10 03:20:02,2457518.639,17.62
2016-09-07 13:18:31,2457639.055,null
2016-09-07 15:04:41,2457639.128,null
2016-10-08 14:48:28,2457670.117,16.40
2016-11-01 06:57:17,2457693.790,18.24
2016-11-01 08:43:52,2457693.864,18.20
