Gaia18dkh
#Date,JD,averagemag.
2014-09-17 23:10:48,2456918.466,untrusted
2014-09-18 00:57:22,2456918.540,untrusted
2014-10-21 14:17:50,2456952.096,untrusted
2015-03-03 08:56:09,2457084.872,19.55
2015-03-03 10:43:14,2457084.947,null
2015-03-18 09:05:07,2457099.879,19.46
2015-03-18 10:51:42,2457099.953,19.44
2015-04-21 14:40:46,2457134.112,null
2015-04-21 16:27:32,2457134.186,null
2015-09-11 09:54:39,2457276.913,19.06
2015-09-11 11:41:12,2457276.987,untrusted
2015-09-30 21:55:17,2457296.413,19.10
2015-11-01 03:26:22,2457327.643,null
2015-11-01 05:12:49,2457327.717,19.14
2016-03-10 23:49:18,2457458.493,19.38
2016-03-11 04:02:59,2457458.669,untrusted
2016-04-01 22:05:16,2457480.420,19.24
2016-04-01 23:51:51,2457480.494,19.18
2016-05-01 09:51:36,2457509.911,19.28
2016-09-20 05:00:09,2457651.708,19.45
2016-09-20 06:46:42,2457651.782,19.47
2016-10-14 22:50:13,2457676.452,null
2016-11-10 10:34:18,2457702.940,19.34
2016-11-10 12:20:52,2457703.014,19.32
2017-03-20 20:21:21,2457833.348,19.61
2017-03-21 00:35:03,2457833.524,19.57
2017-04-17 00:26:44,2457860.519,19.57
2017-04-17 02:13:51,2457860.593,null
2017-05-11 18:23:57,2457885.267,19.56
2017-05-11 20:10:32,2457885.341,19.53
2017-09-30 13:29:51,2458027.062,19.61
2017-09-30 15:16:25,2458027.136,19.55
2017-10-29 19:06:53,2458056.296,19.54
2017-11-20 02:50:15,2458077.618,19.61
2018-03-31 09:32:30,2458208.898,null
2018-05-02 07:25:46,2458240.810,19.46
2018-05-21 13:31:43,2458260.064,19.54
2018-05-21 15:18:18,2458260.138,19.59
2018-10-11 02:37:53,2458402.610,19.59
2018-10-11 04:24:33,2458402.684,null
2018-11-14 03:49:19,2458436.659,18.16
2018-11-14 08:02:57,2458436.835,18.19
2018-11-28 14:08:17,2458451.089,19.48
2018-11-28 15:54:51,2458451.163,19.45
2019-04-11 02:57:29,2458584.623,19.55
2019-05-18 08:26:01,2458621.851,18.98
2019-05-18 10:12:36,2458621.925,18.98
2019-05-18 14:26:17,2458622.102,18.97
2019-05-18 16:12:52,2458622.176,18.90
2019-05-29 16:21:31,2458633.182,19.47
2019-05-29 20:35:12,2458633.358,untrusted
2019-05-29 22:21:47,2458633.432,19.50
2019-11-21 00:20:25,2458808.514,null
2019-11-21 02:06:34,2458808.588,19.95
2019-11-21 06:20:13,2458808.764,19.93
2019-12-01 00:30:47,2458818.521,untrusted
2019-12-01 02:17:21,2458818.595,19.98
2020-03-01 07:42:42,2458909.821,untrusted
2020-03-01 09:29:17,2458909.895,19.90
2020-03-13 07:59:32,2458921.833,19.81
2020-03-13 09:46:07,2458921.907,19.82
2020-04-18 09:48:38,2458957.909,19.86
2020-04-18 11:35:13,2458957.983,19.86

