Gaia18dlt
#Date,JD,averagemag.
2014-08-30 04:36:18,2456899.692,19.61
2014-08-30 06:22:52,2456899.766,19.54
2014-10-05 19:33:48,2456936.315,untrusted
2014-10-05 21:20:22,2456936.389,untrusted
2014-11-16 02:01:34,2456977.584,19.48
2014-11-16 06:15:13,2456977.761,19.57
2014-11-27 18:21:05,2456989.265,19.88
2015-01-08 16:53:23,2457031.204,19.87
2015-01-26 12:41:49,2457049.029,19.71
2015-03-02 22:11:43,2457084.425,19.89
2015-03-02 23:58:31,2457084.499,null
2015-04-05 03:52:52,2457117.662,null
2015-04-05 05:39:03,2457117.735,null
2015-04-30 23:43:02,2457143.488,null
2015-05-01 03:56:48,2457143.664,null
2015-06-20 21:38:06,2457194.401,19.99
2015-06-20 23:24:40,2457194.475,19.82
2015-07-15 11:30:37,2457218.980,null
2015-07-15 15:44:16,2457219.156,19.94
2015-08-21 21:18:43,2457256.388,null
2015-08-21 23:05:27,2457256.462,null
2015-09-26 08:38:49,2457291.860,null
2015-10-16 20:35:44,2457312.358,19.69
2015-11-27 20:57:04,2457354.373,null
2015-11-28 01:10:21,2457354.549,19.79
2015-12-09 01:16:31,2457365.553,null
2015-12-09 03:02:58,2457365.627,19.82
2016-01-19 05:54:56,2457406.746,19.92
2016-01-19 07:41:31,2457406.820,19.89
2016-02-08 17:53:20,2457427.245,19.81
2016-02-08 19:39:54,2457427.319,19.85
2016-03-13 11:20:33,2457460.973,19.59
2016-03-13 13:07:39,2457461.047,null
2016-04-19 16:59:31,2457498.208,null
2016-04-19 18:45:41,2457498.282,null
2016-05-13 06:54:15,2457521.788,20.00
2016-05-13 11:07:55,2457521.964,19.96
2016-05-13 12:54:29,2457522.038,null
2016-07-03 04:48:44,2457572.701,untrusted
2016-07-03 06:35:17,2457572.775,null
2016-07-30 10:48:31,2457599.950,19.80
2016-10-08 21:34:52,2457670.399,19.76
2016-10-08 23:21:26,2457670.473,19.80
2016-10-26 15:35:55,2457688.150,19.76
2016-10-26 17:22:29,2457688.224,19.62
2016-12-08 02:05:38,2457730.587,19.52
2016-12-08 03:52:31,2457730.661,null
2016-12-19 20:11:49,2457742.342,17.36
2016-12-19 21:58:23,2457742.416,17.63
2017-01-29 00:58:28,2457782.541,19.88
2017-02-21 08:14:56,2457805.844,20.05
2017-02-21 10:01:31,2457805.918,19.90
2017-03-25 03:39:04,2457837.652,20.00
2017-03-25 07:52:45,2457837.828,20.12
2017-05-06 01:31:09,2457879.563,20.13
2017-05-06 03:17:43,2457879.637,20.15
2017-05-27 15:28:46,2457901.145,20.08
2017-05-27 19:42:26,2457901.321,20.16
2017-05-27 21:29:00,2457901.395,untrusted
2017-05-28 01:42:40,2457901.571,20.13
2017-07-16 01:21:15,2457950.556,20.06
2017-07-16 03:07:49,2457950.630,20.11
2017-08-14 14:59:06,2457980.124,null
2017-09-13 12:54:34,2458010.038,null
2017-10-22 01:39:33,2458048.569,19.98
2017-10-22 05:53:13,2458048.745,19.88
2017-11-06 05:56:48,2458063.748,20.03
2017-11-06 07:43:45,2458063.822,null
2017-12-18 22:24:34,2458106.434,20.08
2018-01-01 04:30:16,2458119.688,19.84
2018-01-01 06:16:50,2458119.762,untrusted
2018-02-08 21:26:04,2458158.393,20.14
2018-03-07 03:15:09,2458184.636,null
2018-03-07 05:01:44,2458184.710,20.00
2018-04-06 04:49:38,2458214.701,null
2018-04-06 09:03:24,2458214.877,null
2018-05-22 08:42:51,2458260.863,20.08
2018-05-22 10:29:25,2458260.937,19.97
2018-05-22 14:43:05,2458261.113,20.03
2018-05-22 16:29:39,2458261.187,20.03
2018-06-12 10:40:53,2458281.945,20.01
2018-06-12 14:54:33,2458282.121,20.01
2018-06-12 16:41:07,2458282.195,20.15
2018-06-12 20:54:47,2458282.371,20.02
2018-07-28 20:30:48,2458328.355,17.86
2018-08-29 08:12:07,2458359.842,untrusted
2018-08-29 09:58:41,2458359.916,untrusted
2018-09-24 21:45:30,2458386.407,19.99
2018-11-04 00:48:34,2458426.534,untrusted
2018-11-04 02:35:08,2458426.608,20.02
2018-11-17 00:53:48,2458439.537,15.92
2018-11-17 02:40:22,2458439.611,16.03
2018-12-29 11:22:23,2458481.974,19.86
2018-12-29 13:08:57,2458482.048,19.85
2019-01-13 19:13:13,2458497.301,19.65
2019-02-19 22:32:37,2458534.439,20.07
2019-02-20 00:19:12,2458534.513,19.88
2019-03-21 10:17:02,2458563.928,19.97
2019-03-21 12:03:36,2458564.003,19.96
2019-04-18 12:00:05,2458592.000,null
2019-04-18 16:13:47,2458592.176,20.06
2019-06-06 21:55:12,2458641.413,null
2019-06-06 23:41:44,2458641.487,20.06
2019-06-29 05:51:39,2458663.744,19.92
2019-06-29 10:05:19,2458663.920,19.91
2019-07-17 01:07:32,2458681.547,20.07
2019-07-17 05:21:12,2458681.723,20.08
2019-08-25 07:26:37,2458720.810,19.60
2019-09-24 22:26:11,2458751.435,19.85
2019-10-22 21:35:34,2458779.400,20.19
2019-10-22 23:22:08,2458779.474,20.24
2019-12-09 05:25:57,2458826.726,20.41
2019-12-09 07:12:31,2458826.800,20.30
2019-12-09 11:26:12,2458826.977,null
2019-12-30 05:57:23,2458847.748,20.25
2019-12-30 07:43:57,2458847.822,20.27
2019-12-30 11:57:38,2458847.998,20.22
2019-12-30 13:44:12,2458848.072,20.27
2020-02-07 07:39:31,2458886.819,untrusted
2020-02-07 09:26:06,2458886.893,20.28
2020-03-10 15:11:57,2458919.133,19.51
2020-03-10 16:58:31,2458919.207,19.60
2020-04-02 16:03:15,2458942.169,19.95

