Gaia18dni
#Date,JD,averagemag.
2014-10-29 19:48:20,2456960.325,null
2015-02-14 05:25:52,2457067.726,null
2015-02-14 07:12:37,2457067.800,null
2015-03-12 19:07:52,2457094.297,null
2015-04-12 22:59:21,2457125.458,null
2015-04-13 00:45:31,2457125.532,null
2015-05-20 23:51:23,2457163.494,null
2015-05-21 04:05:08,2457163.670,null
2015-06-07 10:07:46,2457180.922,null
2015-07-22 08:37:59,2457225.860,null
2015-07-22 10:24:44,2457225.934,null
2015-08-04 08:45:04,2457238.865,null
2015-08-04 10:31:49,2457238.939,null
2015-09-15 03:23:44,2457280.641,null
2015-10-10 07:30:05,2457305.813,null
2015-10-10 09:16:50,2457305.887,null
2015-11-10 13:11:46,2457337.050,null
2015-11-10 14:57:56,2457337.124,null
2015-12-22 12:48:56,2457379.034,null
2015-12-22 14:35:41,2457379.108,null
2015-12-22 18:49:27,2457379.284,null
2015-12-22 20:35:37,2457379.358,null
2016-01-11 12:59:26,2457399.041,null
2016-01-11 14:46:11,2457399.115,null
2016-01-11 18:59:56,2457399.292,null
2016-02-26 06:34:57,2457444.774,null
2016-02-26 08:21:41,2457444.848,null
2016-03-26 06:21:54,2457473.765,null
2016-03-26 08:08:04,2457473.839,null
2016-04-23 12:04:50,2457502.003,null
2016-04-23 13:51:34,2457502.077,null
2016-06-02 12:47:04,2457542.033,null
2016-06-02 17:00:48,2457542.209,null
2016-06-17 11:05:47,2457556.962,null
2016-06-17 12:52:32,2457557.036,null
2016-08-01 17:22:11,2457602.224,null
2016-08-01 21:35:56,2457602.400,null
2016-08-16 15:42:08,2457617.154,null
2016-09-25 14:43:10,2457657.113,null
2016-11-21 10:08:36,2457713.923,null
2017-01-05 20:00:12,2457759.333,null
2017-01-05 21:46:57,2457759.408,null
2017-01-06 02:00:42,2457759.584,null
2017-01-06 03:47:27,2457759.658,null
2017-01-25 20:10:14,2457779.340,null
2017-01-25 21:56:58,2457779.415,null
2017-01-26 02:10:43,2457779.591,null
2017-03-09 03:06:14,2457821.629,null
2017-03-09 04:52:23,2457821.703,null
2017-04-09 14:43:13,2457853.113,null
2017-05-04 22:18:17,2457878.429,null
2017-06-15 21:05:52,2457920.379,null
2017-06-16 01:19:36,2457920.555,null
2017-06-28 19:25:32,2457933.309,null
2017-06-28 21:11:42,2457933.383,null
2017-08-12 23:57:38,2457978.498,null
2017-08-30 00:02:14,2457995.502,null
2017-08-30 01:48:25,2457995.575,null
2017-10-06 23:12:53,2458033.467,null
2017-10-07 00:59:38,2458033.541,null
2017-11-06 22:56:24,2458064.456,null
2017-11-07 00:42:34,2458064.530,null
2017-12-03 10:55:09,2458090.955,null
2017-12-03 12:41:19,2458091.029,null
2018-01-19 22:34:23,2458138.441,null
2018-01-20 00:20:33,2458138.514,null
2018-02-10 16:42:10,2458160.196,null
2018-02-10 18:28:20,2458160.270,null
2018-03-20 22:14:00,2458198.426,null
2018-03-21 00:00:45,2458198.501,null
2018-04-23 15:40:39,2458232.153,null
2018-04-23 17:26:48,2458232.227,null
2018-05-16 05:21:05,2458254.723,null
2018-06-28 16:01:04,2458298.167,null
2018-06-28 20:14:48,2458298.344,null
2018-07-10 14:21:52,2458310.099,null
2018-07-10 16:08:02,2458310.172,null
2018-08-24 00:58:23,2458354.541,null
2018-08-24 02:45:08,2458354.615,null
2018-09-12 19:00:08,2458374.292,null
2018-09-12 20:46:53,2458374.366,null
2018-10-18 12:21:27,2458410.015,null
2018-10-18 14:08:13,2458410.089,null
2018-11-21 18:00:26,2458444.250,18.88
2018-11-21 19:47:01,2458444.324,18.82
2018-12-15 19:52:07,2458468.328,null
2018-12-16 00:05:52,2458468.504,null
2019-02-01 23:44:38,2458516.489,null
2019-02-02 01:31:23,2458516.563,null
2019-02-26 01:33:49,2458540.565,null
2019-02-26 05:47:34,2458540.741,null
2019-04-01 17:21:43,2458575.223,null
2019-04-01 19:07:53,2458575.297,null
2019-05-07 12:23:50,2458611.017,null
2019-05-27 10:36:39,2458630.942,null
2019-05-27 12:22:49,2458631.016,null
2019-07-10 22:57:13,2458675.456,null
2019-07-11 03:10:58,2458675.633,null
2019-08-06 11:40:13,2458701.986,null
2019-08-06 13:26:58,2458702.060,null
2019-09-01 00:24:58,2458727.517,null
2019-09-01 02:11:43,2458727.591,null

