Gaia18dqp
#Date,JD,averagemag.
2014-10-29 12:38:31,2456960.027,null
2014-10-29 14:25:16,2456960.101,null
2015-01-10 00:09:04,2457032.506,null
2015-02-09 11:46:35,2457062.991,null
2015-03-17 18:39:28,2457099.277,null
2015-04-04 16:53:54,2457117.204,null
2015-04-04 18:40:39,2457117.278,null
2015-05-17 21:28:12,2457160.395,null
2015-05-17 23:14:57,2457160.469,null
2015-06-01 09:34:10,2457174.899,null
2015-06-01 11:20:56,2457174.973,null
2015-07-12 22:14:26,2457216.427,null
2015-07-13 02:28:12,2457216.603,null
2015-08-07 20:21:33,2457242.348,null
2015-08-07 22:08:19,2457242.422,null
2015-09-09 14:02:37,2457275.085,null
2015-09-09 15:49:22,2457275.159,null
2015-10-20 19:40:26,2457316.320,null
2015-10-20 21:27:11,2457316.394,null
2015-10-21 01:40:56,2457316.570,null
2015-10-21 03:27:06,2457316.644,null
2015-11-12 13:49:27,2457339.076,null
2015-11-12 15:36:12,2457339.150,null
2015-11-12 19:49:56,2457339.326,null
2015-12-26 07:24:04,2457382.808,null
2015-12-26 09:10:49,2457382.883,null
2016-01-24 01:09:32,2457411.548,null
2016-01-24 02:56:17,2457411.622,null
2016-03-29 19:35:55,2457477.317,null
2016-04-14 17:52:31,2457493.245,null
2016-04-14 19:39:16,2457493.319,null
2016-05-28 10:26:06,2457536.935,null
2016-05-28 12:12:51,2457537.009,null
2016-06-13 10:31:16,2457552.938,null
2016-06-13 12:18:01,2457553.013,null
2016-07-23 17:20:27,2457593.223,null
2016-08-21 09:22:51,2457621.891,null
2016-08-21 11:09:37,2457621.965,null
2016-09-20 22:59:15,2457652.458,null
2016-11-04 02:51:07,2457696.619,null
2016-11-04 04:37:52,2457696.693,null
2016-11-26 10:46:00,2457718.949,null
2016-11-26 14:59:44,2457719.125,null
2016-11-26 16:45:54,2457719.199,null
2017-01-06 02:32:00,2457759.606,null
2017-01-06 04:18:45,2457759.680,null
2017-02-05 20:08:18,2457790.339,null
2017-02-05 21:55:02,2457790.413,null
2017-03-02 21:18:29,2457815.388,null
2017-04-11 15:54:18,2457855.163,null
2017-04-11 20:08:03,2457855.339,null
2017-04-26 02:12:51,2457869.592,null
2017-04-26 03:59:36,2457869.666,null
2017-06-08 18:48:14,2457913.283,null
2017-06-08 20:34:24,2457913.357,null
2017-06-27 00:51:48,2457931.536,null
2017-06-27 02:38:33,2457931.610,null
2017-08-04 13:50:32,2457970.077,null
2017-09-05 05:48:38,2458001.742,null
2017-09-05 07:35:23,2458001.816,null
2017-10-03 11:45:35,2458029.990,null
2017-10-03 13:32:20,2458030.064,null
2017-11-18 11:24:05,2458075.975,null
2017-11-18 13:10:50,2458076.049,null
2017-12-11 17:30:14,2458099.229,null
2017-12-11 19:16:24,2458099.303,null
2017-12-11 23:30:09,2458099.479,null
2018-01-17 18:48:56,2458136.284,null
2018-03-13 22:21:24,2458191.432,null
2018-03-14 00:07:33,2458191.505,null
2018-04-24 04:50:09,2458232.701,null
2018-04-24 09:03:53,2458232.878,null
2018-05-07 21:09:45,2458246.382,null
2018-06-20 03:35:35,2458289.650,null
2018-06-20 07:49:20,2458289.826,null
2018-07-10 19:50:10,2458310.327,null
2018-07-10 21:36:55,2458310.401,null
2018-08-16 13:12:08,2458347.050,null
2018-08-16 14:58:53,2458347.124,null
2018-09-20 06:53:07,2458381.787,null
2018-09-20 08:39:52,2458381.861,null
2018-10-16 08:42:56,2458407.863,null
2018-10-16 12:56:41,2458408.039,null
2018-12-01 18:34:05,2458454.274,17.77
2018-12-01 20:20:39,2458454.348,17.83
2018-12-26 18:35:05,2458479.274,19.03
2018-12-26 20:21:39,2458479.348,19.01
2019-01-29 06:08:59,2458512.756,20.01
2019-01-29 07:55:33,2458512.830,19.95
2019-03-04 19:12:13,2458547.300,null
2019-03-24 23:22:39,2458567.474,null
2019-03-25 01:09:24,2458567.548,null
2019-05-06 10:00:05,2458609.917,null
2019-05-06 11:46:15,2458609.990,null
2019-05-19 22:06:10,2458623.421,null
2019-05-19 23:52:55,2458623.495,null
2019-07-01 16:38:33,2458666.193,null
2019-08-02 11:08:10,2458697.964,null
2019-08-02 12:54:56,2458698.038,null
2019-09-07 19:00:12,2458734.292,null
2019-09-07 20:46:57,2458734.366,null
2019-09-28 03:27:33,2458754.644,null

