Gaia18drb
#Date,JD,averagemag.
2014-10-27 06:33:01,2456957.773,null
2014-10-27 08:19:11,2456957.847,null
2014-10-27 12:32:57,2456958.023,null
2015-01-08 18:13:54,2457031.260,null
2015-01-08 20:00:38,2457031.334,null
2015-03-18 06:46:35,2457099.782,null
2015-04-05 18:46:10,2457118.282,null
2015-05-19 21:31:06,2457162.397,null
2015-05-19 23:17:51,2457162.471,null
2015-05-31 09:37:54,2457173.901,null
2015-05-31 11:24:39,2457173.975,null
2015-07-13 22:09:49,2457217.423,null
2015-08-06 08:20:34,2457240.848,null
2015-08-06 10:07:19,2457240.922,null
2015-09-09 07:55:48,2457274.830,null
2015-10-19 13:33:55,2457315.065,null
2015-10-19 15:20:40,2457315.139,null
2015-10-19 19:33:50,2457315.315,null
2015-10-19 21:20:35,2457315.389,null
2015-11-09 13:44:25,2457336.073,null
2015-11-09 15:30:35,2457336.146,null
2015-11-09 19:44:20,2457336.322,null
2015-12-27 19:21:57,2457384.307,null
2015-12-27 21:08:42,2457384.381,null
2016-01-23 09:02:04,2457410.876,null
2016-02-22 02:40:13,2457440.611,null
2016-03-30 17:55:55,2457478.247,null
2016-04-15 13:45:19,2457494.073,null
2016-05-30 10:27:45,2457538.936,null
2016-05-30 12:13:55,2457539.010,null
2016-06-12 04:34:22,2457551.691,null
2016-06-12 06:21:07,2457551.765,null
2016-07-24 09:28:35,2457593.895,null
2016-08-19 21:20:49,2457620.389,null
2016-09-20 09:05:54,2457651.879,null
2016-11-03 20:45:06,2457696.365,null
2016-11-03 22:31:16,2457696.438,null
2016-11-23 02:56:18,2457715.622,null
2016-11-23 04:42:28,2457715.696,null
2016-11-23 08:56:13,2457715.872,null
2016-11-23 10:42:58,2457715.947,null
2017-01-07 14:31:04,2457761.105,null
2017-01-07 16:17:49,2457761.179,null
2017-02-05 14:14:58,2457790.094,null
2017-04-12 20:13:28,2457856.343,null
2017-04-12 22:00:13,2457856.417,null
2017-04-26 14:18:51,2457870.096,null
2017-04-26 16:05:35,2457870.171,null
2017-06-10 14:34:18,2457915.107,null
2017-06-25 18:53:39,2457930.287,null
2017-08-04 23:57:37,2457970.498,null
2017-09-03 11:45:04,2457999.990,null
2017-09-03 13:31:49,2458000.064,null
2017-10-02 11:39:19,2458028.986,null
2017-10-02 13:26:04,2458029.060,null
2017-11-19 05:19:40,2458076.722,null
2017-11-19 07:05:50,2458076.796,null
2017-12-08 19:15:54,2458096.303,null
2017-12-08 23:29:39,2458096.479,null
2017-12-09 01:16:24,2458096.553,null
2017-12-09 05:30:08,2458096.729,null
2018-01-19 05:01:49,2458137.710,null
2018-01-19 06:48:33,2458137.784,null
2018-03-15 06:11:30,2458192.758,null
2018-04-25 16:55:13,2458234.205,null
2018-04-25 21:08:58,2458234.381,null
2018-05-07 15:15:17,2458246.136,null
2018-05-07 17:02:02,2458246.210,null
2018-06-21 15:33:11,2458291.148,null
2018-06-21 19:46:56,2458291.324,null
2018-08-16 19:05:32,2458347.296,null
2018-09-18 12:48:35,2458380.034,null
2018-09-18 14:35:21,2458380.108,null
2018-10-14 20:37:00,2458406.359,null
2018-10-15 00:50:10,2458406.535,null
2018-12-03 00:30:26,2458455.521,18.34
2018-12-03 02:17:00,2458455.595,18.31
2018-12-24 18:37:35,2458477.276,16.14
2018-12-24 20:24:09,2458477.350,16.13
2018-12-25 00:37:48,2458477.526,16.18
2019-01-30 18:09:19,2458514.256,17.86
2019-01-30 19:55:52,2458514.330,untrusted
2019-03-05 01:18:35,2458547.555,18.88
2019-03-26 05:27:22,2458568.727,19.26
2019-03-26 07:13:56,2458568.801,19.44
2019-05-08 05:50:32,2458611.743,20.32
2019-05-08 10:04:12,2458611.920,untrusted
2019-05-19 10:10:48,2458622.924,untrusted
2019-05-19 11:57:48,2458622.998,null
2019-07-02 20:48:17,2458667.367,null
2019-07-02 22:35:02,2458667.441,null
2019-08-04 00:57:15,2458699.540,null
2019-09-08 00:53:50,2458734.537,null
2019-09-08 02:40:35,2458734.612,null
2019-09-29 09:24:40,2458755.892,null
2019-09-29 13:38:26,2458756.068,null

