Gaia18dry
#Date,JD,averagemag.
2014-09-11 12:22:07,2456912.015,untrusted
2014-09-11 14:08:41,2456912.089,untrusted
2015-01-15 09:12:32,2457037.884,18.15
2015-01-15 10:59:07,2457037.958,18.17
2015-02-07 09:07:46,2457060.880,18.46
2015-02-07 10:54:21,2457060.954,18.49
2015-03-23 19:51:58,2457105.328,18.27
2015-03-23 21:38:32,2457105.402,18.32
2015-03-24 01:52:13,2457105.578,18.27
2015-03-24 03:38:47,2457105.652,18.31
2015-03-24 07:52:27,2457105.828,18.30
2015-03-24 09:39:02,2457105.902,18.29
2015-03-24 13:52:42,2457106.078,18.31
2015-03-24 15:39:16,2457106.152,18.34
2015-03-24 19:52:56,2457106.328,18.32
2015-03-24 21:39:31,2457106.402,18.33
2015-03-25 03:39:45,2457106.653,18.33
2015-03-25 09:39:59,2457106.903,18.37
2015-03-25 15:40:14,2457107.153,18.36
2015-03-25 21:40:28,2457107.403,18.39
2015-03-26 01:54:08,2457107.579,18.37
2015-03-26 03:41:07,2457107.654,null
2015-03-26 07:54:23,2457107.829,18.36
2015-03-26 09:40:57,2457107.903,18.36
2015-03-26 13:54:37,2457108.080,18.38
2015-03-26 15:41:11,2457108.154,18.35
2015-03-26 19:54:52,2457108.330,18.38
2015-03-26 21:41:26,2457108.404,18.41
2015-03-27 01:55:07,2457108.580,18.39
2015-05-15 00:14:39,2457157.510,18.58
2015-05-15 02:01:13,2457157.584,18.59
2015-05-29 02:06:23,2457171.588,18.42
2015-05-29 06:20:03,2457171.764,18.45
2015-07-07 11:23:49,2457210.975,18.30
2015-07-07 13:10:23,2457211.049,18.27
2015-08-09 23:00:21,2457244.459,null
2015-08-10 00:46:31,2457244.532,null
2015-09-03 11:02:18,2457268.960,17.52
2015-09-03 12:48:52,2457269.034,17.43
2015-11-02 06:39:42,2457328.778,18.21
2015-11-02 10:53:23,2457328.954,18.19
2015-11-02 12:39:57,2457329.028,18.18
2015-11-02 16:53:38,2457329.204,18.19
2015-11-02 18:40:12,2457329.278,18.19
2015-11-16 17:04:22,2457343.211,18.07
2015-11-16 18:50:57,2457343.285,18.07
2015-11-16 23:04:37,2457343.462,18.10
2015-11-17 00:51:12,2457343.536,18.09
2015-12-27 10:41:47,2457383.946,18.29
2016-01-29 04:10:59,2457416.674,18.21
2016-01-29 05:57:33,2457416.748,18.21
2016-02-17 16:11:48,2457436.175,18.42
2016-02-17 17:58:23,2457436.249,18.38
2016-05-24 07:13:48,2457532.801,null
