Gaia18dug
#Date,JD,averagemag.
2014-09-06 03:14:57,2456906.635,untrusted
2014-09-06 05:01:31,2456906.709,untrusted
2015-01-17 00:28:30,2457039.520,20.43
2015-02-10 06:15:44,2457063.761,null
2015-02-10 08:02:29,2457063.835,null
2015-07-06 09:51:57,2457209.911,null
2015-08-06 01:51:44,2457240.578,null
2015-08-06 03:38:29,2457240.652,null
2015-08-30 03:41:52,2457264.654,null
2015-08-30 07:55:38,2457264.830,null
2015-12-31 09:39:35,2457387.902,19.59
2016-01-31 03:09:45,2457418.632,20.21
2016-02-20 07:19:28,2457438.805,19.82
2016-02-20 09:06:01,2457438.879,19.82
2016-05-27 09:52:30,2457535.911,untrusted
2016-05-27 11:39:04,2457535.985,20.11
2016-05-27 15:52:56,2457536.162,null
2016-06-06 04:00:15,2457545.667,19.92
2016-06-06 05:46:50,2457545.741,untrusted
2016-07-16 15:15:24,2457586.136,untrusted
2016-07-16 17:01:59,2457586.210,20.26
2016-08-21 08:54:35,2457621.871,19.84
2016-08-21 10:41:10,2457621.945,untrusted
2016-09-08 03:05:04,2457639.629,19.86
2016-09-08 04:51:38,2457639.703,untrusted
2016-09-08 09:05:19,2457639.879,19.77
2016-11-25 15:31:00,2457718.147,20.28
2016-11-25 21:31:13,2457718.397,20.30
2016-11-25 23:17:47,2457718.471,20.07
2016-11-26 03:31:27,2457718.647,20.22
2016-11-26 05:18:01,2457718.721,20.24
2016-11-26 09:31:40,2457718.897,20.33
2016-11-26 11:18:20,2457718.971,null
2016-11-26 15:31:53,2457719.147,20.37
2016-11-26 17:18:27,2457719.221,20.25
2016-11-26 21:32:07,2457719.397,20.30
2016-11-26 23:18:42,2457719.471,null
2016-11-27 03:32:26,2457719.648,null
2016-11-27 05:18:54,2457719.721,20.31
2016-11-27 09:32:33,2457719.898,20.30
2016-11-27 11:19:07,2457719.972,20.30
2016-11-27 15:32:46,2457720.148,20.27
2016-11-27 17:19:20,2457720.222,20.21
2016-11-27 21:32:59,2457720.398,untrusted
2016-11-27 23:20:02,2457720.472,null
2016-11-28 03:33:12,2457720.648,20.27
2016-11-28 05:19:46,2457720.722,20.15
2016-11-28 09:33:26,2457720.898,untrusted
2016-11-28 15:34:09,2457721.149,null
2017-01-10 03:01:53,2457763.626,null
2017-01-10 04:48:01,2457763.700,20.08
2017-02-13 09:40:10,2457797.903,20.14
2017-02-28 15:43:14,2457813.155,19.99
2017-02-28 17:29:48,2457813.229,untrusted
2017-06-05 06:14:34,2457909.760,null
2017-06-05 08:01:02,2457909.834,20.43
2017-06-21 18:21:32,2457926.265,20.51
2017-06-21 20:08:07,2457926.339,untrusted
2017-07-27 23:49:04,2457962.492,20.62
2017-07-28 01:35:39,2457962.566,20.61
2017-11-30 23:56:26,2458088.498,19.49
2017-12-01 01:42:59,2458088.572,19.63
2017-12-01 05:56:39,2458088.748,19.66
2017-12-01 07:43:12,2458088.822,19.70
2017-12-18 07:49:01,2458105.826,20.00
2017-12-18 12:02:40,2458106.002,20.04
2018-01-20 17:31:40,2458139.230,19.75
2018-01-20 19:18:14,2458139.304,untrusted
2018-03-08 22:40:31,2458186.445,18.97
2018-03-09 00:27:05,2458186.519,19.04
2018-03-09 04:40:44,2458186.695,19.17
2018-03-09 06:27:18,2458186.769,19.20
2018-06-15 03:04:41,2458284.628,18.54
2018-06-15 07:18:22,2458284.804,18.60
2018-07-06 19:20:06,2458306.306,19.51
2018-07-06 21:06:41,2458306.380,19.57
2018-08-08 08:47:13,2458338.866,19.56
2018-12-10 14:50:52,2458463.119,17.14
2018-12-10 19:04:31,2458463.295,17.10
2019-01-02 19:01:11,2458486.292,19.65
2019-01-31 06:38:33,2458514.777,20.47
2019-01-31 08:25:07,2458514.851,untrusted
2019-06-25 20:25:07,2458660.351,19.11
2019-08-04 12:29:00,2458700.020,18.53
2020-01-20 14:25:21,2458869.101,18.65
2020-02-16 09:23:51,2458895.892,19.07
2020-02-16 11:10:25,2458895.966,19.04

