Gaia18dwc
#Date,JD,averagemag.
2015-01-15 21:40:24,2457038.403,null
2015-01-15 23:26:35,2457038.477,null
2015-02-14 03:24:08,2457067.642,null
2015-07-07 22:57:54,2457211.457,null
2015-07-08 00:44:38,2457211.531,null
2015-08-02 04:47:59,2457236.700,null
2015-08-30 16:32:28,2457265.189,null
2015-08-30 18:18:37,2457265.263,null
2016-01-04 10:46:34,2457391.949,null
2016-01-04 12:33:19,2457392.023,null
2016-01-30 12:25:45,2457418.018,null
2016-02-24 06:19:05,2457442.763,null
2016-07-17 18:04:25,2457587.253,null
2016-07-17 19:51:09,2457587.327,null
2016-08-16 11:44:09,2457616.989,null
2016-08-16 13:30:18,2457617.063,null
2016-09-09 05:40:56,2457640.737,null
2016-09-09 07:27:40,2457640.811,null
2017-01-13 17:57:35,2457767.248,null
2017-01-13 19:44:20,2457767.322,null
2017-03-05 02:48:55,2457817.617,null
2017-09-01 14:04:05,2457998.086,null
2017-09-01 15:50:49,2457998.160,null
2017-09-01 20:04:33,2457998.336,null
2017-09-18 14:10:35,2458015.091,null
2017-09-18 15:56:44,2458015.164,null
2017-09-18 20:10:28,2458015.341,null
2017-09-18 21:57:13,2458015.415,null
2018-01-24 08:31:29,2458142.855,null
2018-03-14 03:52:29,2458191.661,null
2018-03-14 08:06:15,2458191.838,null
2018-06-18 22:20:37,2458288.431,null
2018-06-19 00:07:22,2458288.505,null
2018-07-02 12:13:06,2458302.009,null
2018-07-02 16:26:15,2458302.185,null
2018-08-08 21:43:24,2458339.405,null
2018-08-08 23:29:33,2458339.479,null
2018-12-17 03:57:07,2458469.665,18.96
2018-12-17 05:43:42,2458469.739,18.95
2018-12-17 09:57:22,2458469.915,18.92
2018-12-31 10:06:42,2458483.921,19.16
2018-12-31 11:53:16,2458483.995,19.17
2018-12-31 16:06:58,2458484.172,19.14
2019-02-03 21:42:11,2458518.404,19.60
2019-03-15 14:58:04,2458558.124,20.28
2019-03-15 16:44:39,2458558.198,20.27
2019-03-15 20:58:20,2458558.374,20.25
2019-03-15 22:44:54,2458558.448,20.27
2019-03-16 04:45:10,2458558.698,20.35
2019-03-20 21:03:10,2458563.377,untrusted
2019-03-20 22:49:44,2458563.451,20.51
2019-03-21 03:03:25,2458563.627,20.52
2019-03-21 04:50:00,2458563.701,null
2019-03-21 09:03:41,2458563.878,20.49
2019-06-28 01:08:29,2458662.548,null
2019-08-08 07:45:31,2458703.823,null
2019-08-08 09:32:16,2458703.897,null
2019-09-19 09:48:15,2458745.909,null
2019-09-19 11:34:59,2458745.983,null
2019-09-19 15:48:43,2458746.159,null
2019-09-19 17:34:53,2458746.233,null
2019-09-19 21:48:37,2458746.409,null
2019-09-19 23:35:22,2458746.483,null
2019-09-20 03:49:06,2458746.659,null
2019-09-23 03:51:54,2458749.661,null
2019-09-23 09:51:48,2458749.911,null
2019-09-23 11:38:33,2458749.985,null
2019-09-23 15:52:17,2458750.161,null
2019-09-23 17:39:01,2458750.235,null
2019-09-23 21:52:10,2458750.411,null
2019-09-23 23:38:55,2458750.485,null

