Gaia18eaz
#Date,JD,averagemag.
2014-08-30 10:42:14,2456899.946,18.78
2014-10-05 01:38:03,2456935.568,untrusted
2014-10-05 03:24:37,2456935.642,untrusted
2014-11-17 18:11:37,2456979.258,null
2014-11-17 19:57:47,2456979.332,null
2014-11-18 00:11:26,2456979.508,18.75
2014-11-25 00:16:45,2456986.512,null
2014-11-25 02:03:20,2456986.586,18.72
2014-11-25 06:17:00,2456986.762,18.75
2015-01-07 18:34:02,2457030.274,null
2015-01-25 18:35:41,2457048.275,18.72
2015-03-01 10:10:24,2457082.924,null
2015-03-01 11:57:09,2457082.998,null
2015-04-06 03:49:20,2457118.659,null
2015-04-06 05:35:30,2457118.733,null
2015-04-28 11:45:07,2457140.990,null
2015-04-28 15:58:18,2457141.165,null
2015-04-28 17:45:03,2457141.240,null
2015-06-23 09:44:54,2457196.906,null
2015-06-23 11:31:03,2457196.980,18.73
2015-07-17 03:50:25,2457220.660,18.77
2015-07-17 05:36:59,2457220.734,18.73
2015-08-22 09:24:45,2457256.892,18.72
2015-09-27 20:37:54,2457293.360,18.74
2015-09-27 22:24:28,2457293.434,18.74
2015-10-15 16:25:19,2457311.184,18.72
2015-11-29 01:05:15,2457355.545,null
2015-11-29 02:52:00,2457355.619,null
2015-11-29 07:05:45,2457355.796,null
2015-12-06 13:11:00,2457363.049,null
2015-12-06 14:57:46,2457363.123,null
2016-01-18 01:35:52,2457405.567,18.74
2016-01-18 05:49:33,2457405.743,18.71
2016-02-08 05:47:12,2457426.741,18.73
2016-02-08 07:33:47,2457426.815,untrusted
2016-03-11 19:06:26,2457459.296,null
2016-04-21 22:58:04,2457500.457,18.75
2016-04-22 00:44:41,2457500.531,null
2016-04-22 04:58:27,2457500.707,null
2016-04-22 06:45:12,2457500.781,null
2016-05-10 12:56:49,2457519.039,18.72
2016-05-10 17:10:29,2457519.216,18.74
2016-05-10 18:57:13,2457519.290,null
2016-05-10 23:10:44,2457519.466,18.73
2016-07-04 22:54:59,2457574.455,18.67
2016-07-05 00:41:33,2457574.529,18.70
2016-08-01 00:39:35,2457601.527,18.68
2016-08-01 04:53:14,2457601.704,18.77
2016-09-01 22:31:30,2457633.439,18.70
2016-09-02 00:18:04,2457633.513,18.70
2016-10-10 11:19:46,2457671.972,18.70
2016-10-10 15:33:25,2457672.148,18.75
2016-10-25 03:37:34,2457686.651,18.71
2016-10-25 05:24:08,2457686.725,18.70
2016-12-08 13:59:29,2457731.083,18.72
2016-12-08 15:46:03,2457731.157,18.74
2016-12-08 19:59:43,2457731.333,18.71
2016-12-17 20:05:54,2457740.337,18.76
2016-12-17 21:52:28,2457740.411,18.67
2016-12-18 02:06:09,2457740.588,18.73
2017-01-27 14:40:18,2457781.111,18.75
2017-01-27 18:53:59,2457781.287,18.65
2017-02-21 02:08:57,2457805.590,18.70
2017-02-21 03:55:31,2457805.664,18.74
2017-03-23 09:39:20,2457835.902,18.72
2017-03-23 13:53:00,2457836.078,18.71
2017-05-10 01:34:26,2457883.566,null
2017-05-10 03:20:47,2457883.639,18.73
2017-05-10 07:34:28,2457883.816,18.78
2017-05-10 09:21:02,2457883.890,18.72
2017-05-10 13:34:42,2457884.066,18.72
2017-05-10 15:21:16,2457884.140,untrusted
2017-05-25 03:32:31,2457898.648,18.76
2017-05-25 07:46:11,2457898.824,18.68
2017-05-25 09:32:45,2457898.898,18.75
2017-05-25 13:46:25,2457899.074,18.71
2017-05-25 15:32:59,2457899.148,18.75
2017-05-25 19:46:40,2457899.324,18.70
2017-07-17 09:13:59,2457951.885,18.72
2017-07-17 13:27:39,2457952.061,18.74
2017-08-16 07:15:52,2457981.803,null
2017-09-13 06:59:39,2458009.791,18.69
2017-09-13 08:46:13,2458009.865,18.73
2017-10-23 19:37:17,2458050.318,18.76
2017-10-23 23:50:57,2458050.494,18.68
2017-11-04 07:43:09,2458061.822,null
2017-11-04 11:56:54,2458061.998,null
2017-12-18 18:04:12,2458106.253,untrusted
2017-12-18 22:17:53,2458106.429,18.69
2017-12-30 16:24:11,2458118.183,18.70
2017-12-30 18:10:45,2458118.257,18.70
2018-02-07 11:09:09,2458156.965,null
2018-03-07 03:09:27,2458184.632,18.71
2018-03-07 04:56:01,2458184.706,18.72
2018-04-04 09:03:54,2458212.878,18.77
2018-04-04 10:50:53,2458212.952,null
2018-05-27 02:49:00,2458265.617,18.69
2018-05-27 04:35:34,2458265.691,18.71
2018-05-27 08:49:14,2458265.868,18.72
