Gaia19aau
#Date,JD,averagemag.
2014-08-31 19:50:46,2456901.327,16.15
2014-08-31 21:37:20,2456901.401,16.16
2014-10-05 12:41:01,2456936.028,untrusted
2015-01-07 19:46:58,2457030.324,16.18
2015-01-07 21:33:32,2457030.398,16.18
2015-01-23 19:49:11,2457046.326,16.15
2015-01-23 21:35:45,2457046.400,16.18
2015-02-27 19:01:50,2457081.293,null
2015-02-27 20:48:35,2457081.367,null
2015-04-05 20:18:18,2457118.346,16.14
2015-04-06 00:31:57,2457118.522,16.18
2015-04-06 02:18:31,2457118.596,16.15
2015-04-23 12:40:41,2457136.028,16.16
2015-04-23 14:27:15,2457136.102,16.16
2015-04-23 18:40:55,2457136.278,16.17
2015-04-23 20:27:29,2457136.352,16.13
2015-06-28 00:40:22,2457201.528,16.20
2015-06-28 02:26:56,2457201.602,16.20
2015-06-28 06:40:37,2457201.778,16.20
2015-07-17 12:51:42,2457221.036,16.20
2015-07-17 14:38:16,2457221.110,16.22
2015-08-24 00:31:15,2457258.522,16.19
2015-09-29 23:50:20,2457295.493,16.18
2015-09-30 01:36:55,2457295.567,16.19
2015-10-15 11:56:18,2457310.997,16.20
2015-10-15 13:42:52,2457311.071,16.20
2016-01-17 16:34:03,2457405.190,16.18
2016-02-06 14:44:01,2457425.114,16.19
2016-04-25 09:29:31,2457503.895,16.18
2016-04-25 15:29:44,2457504.146,16.20
2016-04-25 19:43:24,2457504.322,16.17
2016-04-25 21:29:58,2457504.396,16.19
2016-04-26 01:43:38,2457504.572,16.19
2016-04-26 03:30:12,2457504.646,16.19
2016-04-26 07:43:51,2457504.822,16.19
2016-04-26 09:30:25,2457504.896,16.19
2016-04-26 13:44:05,2457505.072,untrusted
2016-04-26 15:31:08,2457505.147,null
2016-04-26 19:44:18,2457505.322,untrusted
2016-04-26 21:30:52,2457505.396,16.20
2016-04-27 01:44:31,2457505.573,16.21
2016-04-27 03:31:05,2457505.647,16.20
2016-04-27 07:44:45,2457505.823,16.21
2016-04-27 09:31:18,2457505.897,16.20
2016-04-27 13:44:58,2457506.073,16.21
2016-04-27 15:31:55,2457506.147,null
2016-04-27 19:45:39,2457506.323,null
2016-04-28 01:45:34,2457506.573,null
2016-04-28 07:46:03,2457506.824,null
2016-04-28 13:45:50,2457507.073,16.21
2016-04-28 19:46:04,2457507.324,16.19
2016-04-29 01:46:17,2457507.574,16.19
2016-04-29 03:32:51,2457507.648,16.19
2016-04-29 07:46:30,2457507.824,16.20
2016-04-29 09:33:04,2457507.898,16.19
2016-04-29 13:46:43,2457508.074,16.19
2016-04-29 15:33:17,2457508.148,16.19
2016-04-29 19:46:57,2457508.324,16.19
2016-04-29 21:33:31,2457508.398,16.20
2016-04-30 01:47:10,2457508.574,16.18
2016-04-30 03:33:53,2457508.649,null
2016-04-30 07:47:24,2457508.825,16.17
2016-04-30 09:33:58,2457508.899,16.21
2016-04-30 13:47:37,2457509.075,16.18
2016-04-30 15:34:11,2457509.149,16.20
2016-04-30 19:47:51,2457509.325,16.17
2016-04-30 21:34:25,2457509.399,16.21
2016-05-01 01:48:05,2457509.575,16.15
2016-05-01 03:34:39,2457509.649,16.20
2016-05-01 09:34:52,2457509.899,16.20
2016-07-08 09:38:48,2457577.902,null
2016-07-08 13:51:58,2457578.078,null
2016-08-02 01:57:04,2457602.581,null
2016-08-02 03:43:50,2457602.655,null
2016-09-03 07:41:03,2457634.820,null
2016-09-03 09:27:48,2457634.894,null
2016-10-13 00:47:52,2457674.533,null
2016-10-13 02:34:03,2457674.607,null
2016-10-13 06:47:48,2457674.783,null
2016-10-24 00:54:52,2457685.538,null
2016-10-24 02:41:37,2457685.612,null
2017-01-26 21:50:43,2457780.410,null
2017-01-26 23:37:27,2457780.484,null
2017-02-19 12:48:45,2457804.034,null
2017-03-21 04:41:16,2457833.695,null
2017-03-21 06:28:01,2457833.769,null
2017-07-20 04:26:15,2457954.685,null
2017-07-20 06:13:01,2457954.759,null
2017-08-17 16:21:58,2457983.182,null
2017-08-17 18:08:43,2457983.256,null
2017-09-14 11:58:25,2458010.999,null
2017-10-27 15:07:08,2458054.130,16.15
2017-10-27 16:53:43,2458054.204,16.16
2017-10-27 21:07:23,2458054.380,16.15
2017-10-27 22:53:58,2458054.454,16.17
2017-10-28 04:54:13,2458054.704,16.18
2017-11-01 09:11:38,2458058.883,null
2017-11-01 10:58:23,2458058.957,null
2017-11-01 15:11:47,2458059.133,16.09
2017-11-01 16:58:22,2458059.207,16.15
2017-11-01 21:12:02,2458059.383,16.20
2017-12-21 01:23:47,2458108.558,16.15
2017-12-21 03:10:21,2458108.632,16.16
2017-12-21 07:24:01,2458108.808,16.14
2017-12-21 09:10:35,2458108.882,16.16
2017-12-27 03:14:58,2458114.635,16.15
2017-12-27 07:28:37,2458114.812,16.18
2017-12-27 09:15:11,2458114.886,16.15
2018-03-05 19:45:18,2458183.323,16.18
2018-03-05 23:58:57,2458183.499,16.15
2018-04-01 13:36:42,2458210.067,16.13
2018-04-01 17:50:21,2458210.243,16.14
2018-07-31 23:37:56,2458331.485,16.08
2018-09-01 11:22:10,2458362.974,15.97
2018-09-01 13:08:45,2458363.048,16.04
2018-09-25 07:05:09,2458386.795,16.00
2018-12-29 20:18:07,2458482.346,15.75
2018-12-29 22:04:41,2458482.420,15.75
2019-01-10 08:23:23,2458493.850,15.72
2019-01-10 10:09:57,2458493.924,15.74
2019-02-17 03:09:56,2458531.632,15.78
2019-03-20 20:44:18,2458563.364,15.75
2019-03-21 00:57:57,2458563.540,15.71
2019-04-12 18:59:45,2458586.291,15.75
2019-04-12 20:46:18,2458586.365,15.74
2019-04-13 00:59:58,2458586.542,15.73
2019-04-13 02:46:34,2458586.616,null
2019-06-18 08:45:50,2458652.865,15.67
2019-06-18 12:59:31,2458653.041,15.71
2019-06-18 14:46:05,2458653.115,15.74
2019-06-18 18:59:46,2458653.292,15.73
2019-06-18 20:46:20,2458653.366,15.67
2019-06-19 01:00:00,2458653.542,15.70
2019-06-19 02:46:35,2458653.616,15.72
