Gaia19abg
#Date,JD,averagemag.
2015-01-02 19:16:12,2457025.303,null
2015-01-02 21:02:21,2457025.377,null
2015-01-19 13:17:52,2457042.054,null
2015-01-19 15:04:37,2457042.128,null
2015-07-05 03:02:18,2457208.627,null
2015-07-05 07:16:04,2457208.803,null
2015-07-25 19:22:15,2457229.307,null
2015-07-25 21:09:00,2457229.381,null
2015-08-26 19:05:30,2457261.295,null
2016-01-11 22:06:15,2457399.421,null
2016-02-03 03:58:44,2457421.666,null
2016-03-02 01:51:43,2457449.578,null
2016-03-02 03:38:27,2457449.652,null
2016-07-14 04:11:32,2457583.675,null
2016-07-14 08:25:19,2457583.851,null
2016-08-09 14:22:24,2457610.099,null
2016-09-05 08:15:24,2457636.844,null
2016-09-05 10:02:10,2457636.918,null
2017-02-16 18:15:37,2457801.261,null
2017-03-12 04:22:32,2457824.682,null
2017-03-12 06:08:42,2457824.756,null
2017-07-24 22:59:09,2457959.458,null
2017-07-25 00:45:55,2457959.532,null
2017-08-24 18:30:35,2457990.271,null
2017-09-15 10:46:24,2458011.949,null
2017-09-15 12:33:10,2458012.023,null
2018-01-30 23:55:54,2458149.497,null
2018-01-31 01:42:39,2458149.571,null
2018-03-03 19:11:14,2458181.299,null
2018-03-03 23:24:58,2458181.476,null
2018-03-21 11:28:39,2458198.978,null
2018-03-21 13:15:24,2458199.052,null
2018-08-05 00:10:43,2458335.507,null
2018-08-05 01:57:29,2458335.582,null
2018-09-09 05:43:22,2458370.738,null
2018-09-09 07:29:33,2458370.812,null
2018-09-24 11:51:44,2458385.994,null
2018-09-24 13:37:55,2458386.068,null
2018-12-26 19:45:06,2458479.323,null
2018-12-26 21:31:51,2458479.397,null
2018-12-27 01:45:35,2458479.573,null
2018-12-27 03:32:19,2458479.647,null
2019-01-04 01:50:35,2458487.577,17.73
2019-01-04 03:37:09,2458487.651,17.79
2019-01-04 07:50:48,2458487.827,17.78
2019-03-21 14:11:40,2458564.091,null
2019-03-21 18:25:24,2458564.268,null
2019-03-21 20:11:33,2458564.341,null
2019-03-22 00:25:17,2458564.518,null
2019-03-22 02:12:01,2458564.592,null
2019-03-22 06:25:45,2458564.768,null
2019-03-27 00:29:30,2458569.520,null
2019-03-27 06:29:24,2458569.770,null
2019-03-27 08:16:08,2458569.845,null
2019-03-27 12:29:52,2458570.021,null
2019-03-27 14:16:37,2458570.095,null
2019-03-27 18:29:46,2458570.271,null
2019-03-27 20:16:30,2458570.345,null
2019-06-27 03:24:42,2458661.642,19.49
2019-06-27 07:38:23,2458661.818,19.62
2019-06-27 09:24:58,2458661.892,19.67
2019-06-27 13:38:39,2458662.069,19.75
2019-07-09 01:48:02,2458673.575,null
2019-07-09 03:34:47,2458673.649,null
2019-08-15 04:37:22,2458710.693,null
2019-08-15 06:24:07,2458710.767,null
2019-09-25 18:33:40,2458752.273,null
2019-09-25 20:19:51,2458752.347,null
2019-09-26 00:33:37,2458752.523,null
2019-09-26 02:20:22,2458752.597,null
2019-09-26 06:34:08,2458752.774,null
2019-09-26 08:20:19,2458752.847,null
2019-09-26 12:34:05,2458753.024,null
2019-09-26 14:20:50,2458753.098,null
2019-09-26 18:34:36,2458753.274,null
2019-09-26 20:21:22,2458753.348,null
2019-09-27 02:21:18,2458753.598,null
2019-09-27 08:21:50,2458753.848,null
2019-09-27 14:21:46,2458754.098,null
2019-09-28 08:22:46,2458754.849,null
2019-09-28 14:22:42,2458755.099,null
2019-09-28 20:23:14,2458755.349,null
2019-09-29 00:37:00,2458755.526,null
2019-09-29 02:23:45,2458755.600,null
2019-09-29 06:36:56,2458755.776,null
2019-09-29 08:23:42,2458755.850,null
2019-09-29 12:37:28,2458756.026,null
2019-09-29 14:24:13,2458756.100,null
2019-09-29 18:37:59,2458756.276,null
2019-09-29 20:24:10,2458756.350,null
2019-09-30 00:37:56,2458756.526,null
2019-09-30 02:24:41,2458756.600,null
2019-09-30 06:38:27,2458756.777,null

