Gaia19aes
#Date,JD,averagemag.
2014-11-15 19:01:03,2456977.292,null
2015-03-11 21:52:40,2457093.412,null
2015-03-11 23:39:25,2457093.486,null
2015-03-26 15:58:45,2457108.166,null
2015-03-26 17:45:30,2457108.240,null
2015-05-03 09:12:29,2457145.884,null
2015-06-06 20:53:54,2457180.371,null
2015-06-06 22:40:40,2457180.445,null
2015-06-30 03:01:54,2457203.626,null
2015-06-30 04:48:39,2457203.700,null
2015-06-30 09:02:25,2457203.877,null
2015-08-30 20:56:29,2457265.373,null
2015-08-30 22:43:14,2457265.447,null
2015-08-31 02:56:24,2457265.623,null
2015-08-31 04:43:09,2457265.697,null
2015-09-16 22:52:57,2457282.453,null
2015-09-17 03:06:41,2457282.630,null
2015-09-17 04:53:26,2457282.704,null
2015-10-26 14:37:07,2457322.109,null
2015-10-26 16:23:52,2457322.183,null
2015-11-29 13:56:36,2457356.081,null
2015-12-17 21:41:29,2457374.404,null
2016-03-20 22:53:16,2457468.454,null
2016-03-21 00:40:02,2457468.528,null
2016-05-13 22:22:25,2457522.432,null
2016-06-22 22:01:34,2457562.418,null
2016-06-22 23:48:19,2457562.492,null
2016-06-23 04:01:30,2457562.668,null
2016-06-23 05:48:15,2457562.742,null
2016-07-10 18:00:19,2457580.250,null
2016-07-10 22:13:29,2457580.426,null
2016-07-11 00:00:14,2457580.500,null
2016-07-11 04:14:00,2457580.676,null
2016-09-10 10:06:24,2457641.921,null
2016-09-10 11:53:09,2457641.995,null
2016-09-10 16:06:53,2457642.171,null
2016-09-10 17:53:38,2457642.246,null
2016-10-02 22:11:47,2457664.425,null
2016-10-02 23:57:56,2457664.499,null
2016-11-05 21:44:47,2457698.406,null
2016-12-12 02:51:13,2457734.619,null
2016-12-12 04:37:58,2457734.693,null
2016-12-26 20:54:32,2457749.371,null
2016-12-26 22:41:16,2457749.445,null
2017-03-31 09:05:51,2457843.879,null
2017-04-22 19:17:16,2457866.304,null
2017-04-22 21:04:02,2457866.378,null
2017-05-25 14:42:28,2457899.113,null
2017-07-13 12:38:49,2457948.027,null
2017-07-13 14:25:35,2457948.101,null
2017-07-13 18:39:20,2457948.277,null
2017-07-13 20:26:05,2457948.351,null
2017-07-14 00:39:51,2457948.528,null
2017-07-14 02:26:01,2457948.601,null
2017-07-14 06:39:46,2457948.778,null
2017-07-14 08:26:31,2457948.852,null
2017-07-14 12:40:17,2457949.028,null
2017-07-14 14:26:27,2457949.102,null
2017-07-14 20:26:57,2457949.352,null
2017-07-20 20:32:09,2457955.356,null
2017-07-21 02:32:39,2457955.606,null
2017-07-21 06:46:25,2457955.782,null
2017-07-21 08:33:10,2457955.856,null
2017-07-21 12:46:20,2457956.032,null
2017-07-21 14:33:05,2457956.106,null
2017-07-21 18:46:50,2457956.283,null
2017-07-21 20:33:35,2457956.357,null
2017-07-22 00:47:21,2457956.533,null
2017-07-22 02:33:31,2457956.607,null
2017-07-22 06:47:16,2457956.783,null
2017-07-22 12:47:46,2457957.033,null
2017-09-22 06:39:25,2458018.777,null
2017-09-22 08:25:35,2458018.851,null
2017-10-18 08:21:34,2458044.848,null
2017-11-16 18:13:45,2458074.260,null
2017-11-16 19:59:55,2458074.333,null
2017-12-25 12:54:33,2458113.038,null
2017-12-25 17:08:17,2458113.214,null
2018-01-05 07:00:14,2458123.792,null
2018-01-05 11:13:58,2458123.968,null
2018-01-05 13:00:43,2458124.042,null
2018-04-11 04:11:09,2458219.674,null
2018-05-07 08:17:09,2458245.845,null
2018-05-07 10:03:55,2458245.919,null
2018-06-06 14:07:07,2458276.088,null
2018-10-03 21:35:08,2458395.399,null
2018-11-01 21:19:40,2458424.389,null
2018-11-02 01:33:24,2458424.565,null
2018-11-27 13:18:46,2458450.055,null
2018-11-27 15:05:30,2458450.129,null
2019-01-08 01:48:59,2458491.576,untrusted
2019-01-08 06:02:38,2458491.752,untrusted
2019-01-08 07:49:12,2458491.826,untrusted
2019-01-14 12:07:27,2458498.005,18.43
2019-01-14 13:54:01,2458498.079,18.55
2019-03-02 10:23:15,2458544.933,18.76
2019-03-02 12:10:08,2458545.007,null
2019-03-02 16:23:53,2458545.183,null
2019-03-13 04:30:54,2458555.688,null
2019-03-13 06:17:04,2458555.762,null
2019-04-22 05:18:48,2458595.721,null
2019-05-22 09:18:39,2458625.888,null
2019-05-22 11:04:57,2458625.962,18.88
2019-06-18 11:05:12,2458652.962,18.75
2019-06-18 15:18:53,2458653.138,18.94
2019-07-17 10:41:26,2458681.945,null
2019-07-17 12:28:02,2458682.019,18.77
2019-07-17 16:41:42,2458682.196,18.94
2019-09-05 01:56:48,2458731.581,null
2019-09-05 03:43:33,2458731.655,null
2019-09-16 08:10:46,2458742.841,18.11
2019-09-16 09:57:47,2458742.915,null
2019-11-24 13:21:11,2458812.056,18.78
2019-11-24 17:35:14,2458812.233,null
2019-12-20 00:23:28,2458837.516,null
2019-12-20 02:10:13,2458837.590,null
2020-02-16 16:09:02,2458896.173,null
2020-02-16 20:22:47,2458896.349,null
2020-02-16 22:09:32,2458896.423,null
2020-02-17 02:22:42,2458896.599,null
2020-02-17 04:09:27,2458896.673,null
2020-02-17 08:23:13,2458896.849,null
2020-02-17 10:09:33,2458896.923,untrusted
2020-02-17 14:23:43,2458897.100,null
2020-02-17 16:09:53,2458897.174,null
2020-02-17 20:23:39,2458897.350,null
2020-02-17 22:10:24,2458897.424,null
2020-02-18 02:24:09,2458897.600,null
2020-02-23 20:30:00,2458903.354,null
2020-02-24 02:29:55,2458903.604,null
2020-02-24 04:16:30,2458903.678,untrusted

