Gaia19aeu
#Date,JD,averagemag.
2014-08-02 17:00:05,2456872.208,null
2014-08-02 18:46:50,2456872.283,null
2014-08-02 23:00:34,2456872.459,null
2014-08-03 00:46:44,2456872.532,null
2014-08-03 05:00:28,2456872.709,null
2014-08-03 06:47:12,2456872.783,null
2014-11-05 04:57:30,2456966.707,null
2014-11-05 06:44:15,2456966.781,null
2014-11-05 10:58:01,2456966.957,null
2014-11-17 23:05:48,2456979.462,null
2014-11-18 00:52:34,2456979.537,null
2015-05-03 23:12:18,2457146.467,null
2015-05-04 00:59:03,2457146.541,null
2015-05-19 23:18:34,2457162.471,null
2015-05-20 01:04:43,2457162.545,null
2015-11-13 18:01:11,2457340.251,null
2015-11-13 19:47:56,2457340.325,null
2015-12-03 00:04:51,2457359.503,null
2015-12-03 01:51:36,2457359.578,null
2016-01-02 05:44:28,2457389.739,null
2016-01-02 07:31:14,2457389.813,null
2016-05-12 00:18:01,2457520.513,null
2016-05-12 02:04:46,2457520.587,null
2016-06-04 02:01:45,2457543.585,null
2016-07-03 23:54:29,2457573.496,null
2016-07-04 01:41:13,2457573.570,null
2016-11-22 07:08:16,2457714.797,null
2016-12-16 13:02:58,2457739.044,null
2016-12-16 14:49:43,2457739.118,null
2017-01-11 08:41:48,2457764.862,null
2017-01-11 12:55:34,2457765.039,null
2017-05-22 08:48:49,2457895.867,null
2017-05-22 10:34:58,2457895.941,null
2017-06-19 14:33:15,2457924.106,null
2017-06-19 16:19:24,2457924.180,null
2017-07-14 14:23:55,2457949.100,null
2017-07-14 16:10:39,2457949.174,null
2017-12-02 09:40:31,2458089.903,null
2017-12-31 03:24:31,2458118.642,null
2017-12-31 05:10:42,2458118.716,null
2018-01-21 03:27:15,2458139.644,null
2018-06-02 03:57:38,2458271.665,null
2018-06-02 05:43:47,2458271.739,null
2018-07-04 23:14:23,2458304.468,null
2018-07-05 03:28:06,2458304.645,null
2018-07-24 15:29:07,2458324.145,null
2018-07-24 17:15:51,2458324.219,null
2018-12-12 16:50:42,2458465.202,16.32
2019-01-15 12:11:12,2458499.008,17.83
2019-01-15 16:24:53,2458499.184,17.76
2019-01-29 10:33:57,2458512.940,18.19
2019-01-29 12:20:31,2458513.014,18.23
2019-01-29 16:34:13,2458513.190,18.24
2019-06-13 05:06:16,2458647.713,null
2019-06-13 06:53:01,2458647.787,null
2019-07-19 02:12:48,2458683.592,20.49
2019-07-19 06:26:53,2458683.769,null
2019-07-19 08:13:02,2458683.842,null
2019-08-02 06:43:25,2458697.780,null
2019-08-02 08:29:34,2458697.854,null

