Gaia19ahn
#Date,JD,averagemag.
2014-11-04 10:23:52,2456965.933,19.24
2014-11-25 20:31:27,2456987.355,19.22
2014-11-25 22:18:00,2456987.429,19.23
2015-02-12 09:21:40,2457065.890,19.20
2015-02-12 13:35:20,2457066.066,19.17
2015-02-12 15:21:54,2457066.140,19.22
2015-02-12 19:35:34,2457066.316,19.21
2015-02-12 21:22:08,2457066.390,untrusted
2015-02-13 01:35:48,2457066.567,19.19
2015-02-13 03:22:45,2457066.641,null
2015-02-13 07:36:01,2457066.817,19.18
2015-02-13 09:22:35,2457066.891,19.17
2015-02-13 13:36:15,2457067.067,19.20
2015-02-13 15:23:09,2457067.141,null
2015-02-13 19:36:29,2457067.317,19.21
2015-02-13 21:23:03,2457067.391,untrusted
2015-02-14 01:36:42,2457067.567,19.22
2015-02-14 03:23:16,2457067.641,19.18
2015-02-14 07:36:56,2457067.817,19.18
2015-02-14 09:23:30,2457067.891,untrusted
2015-02-14 13:37:09,2457068.067,19.21
2015-02-14 15:23:43,2457068.141,19.16
2015-02-14 19:37:23,2457068.318,19.17
2015-02-14 21:23:57,2457068.392,19.18
2015-02-15 01:37:37,2457068.568,19.20
2015-02-15 03:24:11,2457068.642,19.14
2015-02-15 07:37:50,2457068.818,19.20
2015-02-15 09:24:24,2457068.892,19.23
2015-02-15 13:38:04,2457069.068,19.18
2015-02-15 15:24:38,2457069.142,untrusted
2015-02-15 19:38:18,2457069.318,19.17
2015-02-15 21:24:52,2457069.392,19.16
2015-02-16 01:38:31,2457069.568,19.19
2015-02-16 03:25:05,2457069.642,untrusted
2015-02-16 07:38:45,2457069.819,19.18
2015-02-16 09:25:19,2457069.893,19.23
2015-02-16 13:38:59,2457070.069,19.19
2015-02-16 15:25:33,2457070.143,19.17
2015-02-16 19:39:13,2457070.319,19.17
2015-02-16 21:25:47,2457070.393,19.17
2015-02-17 03:26:01,2457070.643,19.18
2015-04-21 09:23:33,2457133.891,19.13
2015-04-21 13:37:37,2457134.068,null
2015-05-17 13:39:27,2457160.069,null
2015-06-17 09:11:00,2457190.883,19.03
2015-06-17 13:24:45,2457191.059,null
2015-07-28 18:29:12,2457232.270,null
2015-07-28 20:15:57,2457232.344,null
2015-08-08 18:36:41,2457243.275,null
2015-08-08 20:23:26,2457243.350,null
2015-09-27 22:54:01,2457293.454,null
2015-09-28 00:40:46,2457293.528,null
2015-09-28 04:54:31,2457293.705,null
2015-09-28 06:40:41,2457293.778,null
2015-09-28 10:54:21,2457293.954,19.20
2015-09-28 12:40:55,2457294.028,19.24
2015-09-28 18:41:08,2457294.279,19.17
2015-10-01 12:43:30,2457297.030,19.21
2015-10-01 16:57:09,2457297.206,19.23
