Gaia19ajz
#Date,JD,averagemag.
2014-09-06 21:11:12,2456907.383,untrusted
2014-09-06 22:57:47,2456907.457,untrusted
2015-01-16 12:32:38,2457039.023,18.83
2015-02-11 08:02:36,2457064.835,18.85
2015-07-07 02:01:35,2457210.584,19.13
2015-08-30 15:37:27,2457265.151,19.05
2015-08-30 19:51:08,2457265.327,19.12
2016-01-01 07:52:09,2457388.828,18.71
2016-01-01 09:38:43,2457388.902,18.64
2016-01-30 19:27:40,2457418.311,18.72
2016-05-30 05:41:29,2457538.737,18.99
2016-05-30 09:55:10,2457538.913,19.06
2016-05-30 11:41:44,2457538.987,19.00
2016-05-30 15:55:25,2457539.163,19.07
2016-05-30 17:41:59,2457539.237,18.93
2016-05-30 21:55:40,2457539.414,19.01
2016-06-03 09:59:30,2457542.916,null
2016-06-03 11:45:39,2457542.990,19.03
2016-06-03 15:59:20,2457543.166,19.03
2016-06-03 17:45:54,2457543.240,19.02
2016-06-03 21:59:35,2457543.416,19.08
2016-06-03 23:46:10,2457543.490,19.02
2016-07-17 03:11:24,2457586.633,18.80
2016-07-17 04:57:59,2457586.707,18.61
2016-08-19 20:52:50,2457620.370,18.43
2016-08-19 22:39:25,2457620.444,18.34
2016-09-08 22:47:58,2457640.450,18.26
2016-09-09 03:01:39,2457640.626,18.31
2017-01-11 03:00:48,2457764.626,18.54
2017-02-12 23:31:01,2457797.480,18.75
2017-03-02 03:45:54,2457814.657,18.75
2017-06-20 12:22:00,2457925.015,18.76
2017-06-20 14:08:35,2457925.089,18.73
2017-07-28 11:45:25,2457962.990,null
2017-09-06 17:21:50,2458003.223,18.97
2017-09-06 19:08:24,2458003.298,18.92
2017-09-06 23:22:05,2458003.474,18.85
2017-09-07 01:08:40,2458003.548,18.94
2017-09-07 05:22:21,2458003.724,18.92
2017-09-07 07:08:55,2458003.798,18.93
2017-09-16 17:30:49,2458013.230,18.90
2017-09-16 19:17:23,2458013.304,18.97
2017-09-16 23:31:04,2458013.480,18.89
2017-09-17 01:17:38,2458013.554,18.89
2017-09-17 05:31:19,2458013.730,18.93
2017-12-03 05:56:57,2458090.748,18.89
2017-12-03 07:43:31,2458090.822,18.89
2017-12-03 11:57:10,2458090.998,18.89
2017-12-03 13:43:44,2458091.072,18.89
2017-12-16 19:51:03,2458104.327,18.76
2017-12-17 00:04:42,2458104.503,18.81
2018-01-21 17:31:18,2458140.230,18.77
2018-01-21 19:17:51,2458140.304,18.75
2018-03-10 16:44:46,2458188.198,null
2018-03-10 18:31:30,2458188.272,null
2018-06-16 07:16:13,2458285.803,19.04
2018-07-05 19:20:38,2458305.306,18.93
2018-07-05 21:07:13,2458305.380,18.93
2018-08-08 18:56:28,2458339.289,18.57
2018-08-08 20:43:02,2458339.363,untrusted
2018-12-12 01:03:47,2458464.544,17.99
2018-12-12 02:50:21,2458464.618,18.04
2019-01-02 01:04:44,2458485.545,17.83
2019-01-02 02:51:18,2458485.619,17.81
2019-02-01 06:38:35,2458515.777,17.76
2019-02-01 08:25:08,2458515.851,17.75
2019-06-26 14:22:03,2458661.099,17.43
2019-08-05 12:30:50,2458701.021,17.39
2020-01-19 14:23:17,2458868.100,17.53
2020-01-19 16:09:51,2458868.174,17.51
2020-02-16 15:28:46,2458896.145,17.58
2020-02-16 17:15:19,2458896.219,17.56

