Gaia19aki
#Date,JD,averagemag.
2014-09-28 05:09:07,2456928.715,untrusted
2014-10-28 03:06:11,2456958.629,untrusted
2014-10-28 04:52:45,2456958.703,untrusted
2014-12-31 08:52:14,2457022.870,19.16
2014-12-31 10:38:49,2457022.944,19.12
2014-12-31 16:39:03,2457023.194,19.15
2015-02-13 14:30:29,2457067.105,18.90
2015-02-13 16:17:04,2457067.179,18.89
2015-03-15 16:02:15,2457097.168,18.80
2015-04-10 15:53:27,2457123.162,18.90
2015-05-21 19:01:11,2457164.292,18.81
2015-05-21 20:47:46,2457164.367,18.81
2015-07-19 05:36:40,2457222.734,untrusted
2015-07-19 07:23:14,2457222.808,19.45
2015-08-04 05:41:01,2457238.737,null
2015-08-04 07:27:46,2457238.811,null
2015-09-12 10:42:56,2457277.946,null
2015-09-12 12:29:06,2457278.020,null
2015-10-12 16:22:07,2457308.182,19.54
2015-10-12 18:08:41,2457308.256,19.55
2015-11-09 04:15:20,2457335.677,19.09
2015-11-09 06:01:54,2457335.751,19.08
2015-12-27 05:39:24,2457383.736,19.33
2015-12-27 09:53:04,2457383.912,19.33
2015-12-27 11:39:39,2457383.986,19.33
2016-01-16 10:03:28,2457403.919,19.40
2016-01-16 11:50:03,2457403.993,untrusted
2016-02-25 05:26:56,2457443.727,19.02
2016-03-28 15:15:45,2457476.136,18.89
2016-03-28 17:02:19,2457476.210,18.90
2016-04-20 21:12:09,2457499.383,19.19
2016-06-02 19:57:33,2457542.332,19.23
2016-06-02 21:44:07,2457542.406,19.31
2016-06-14 03:51:01,2457553.660,null
2016-06-14 08:04:42,2457553.837,19.21
2016-08-17 00:37:01,2457617.526,null
2016-08-17 02:23:30,2457617.600,19.38
2016-09-22 23:48:40,2457654.492,19.38
2016-09-23 01:35:13,2457654.566,19.43
2016-10-26 13:10:14,2457688.049,19.38
2016-10-26 17:23:53,2457688.225,19.34
2016-11-20 05:24:51,2457712.726,19.10
2016-11-20 07:11:25,2457712.800,19.11
2016-11-20 11:25:04,2457712.976,19.07
2016-11-20 13:11:38,2457713.050,19.12
2017-01-08 11:04:19,2457761.961,19.43
2017-01-08 12:50:53,2457762.035,19.40
2017-01-08 17:04:34,2457762.212,19.41
2017-01-31 00:58:22,2457784.541,19.32
2017-01-31 05:12:03,2457784.717,19.44
2017-01-31 06:58:37,2457784.791,19.46
2017-03-07 19:58:57,2457820.333,untrusted
2017-04-11 11:37:29,2457854.984,null
2017-04-11 13:23:50,2457855.058,19.57
2017-05-01 23:38:08,2457875.485,19.48
2017-06-15 04:15:47,2457919.678,19.45
2017-06-15 06:02:21,2457919.752,19.47
2017-06-15 10:16:02,2457919.928,19.47
2017-06-26 04:22:50,2457930.683,null
2017-06-26 06:09:35,2457930.757,null
2017-08-09 14:59:20,2457975.125,19.30
2017-08-31 02:56:02,2457996.622,19.20
2017-10-04 16:04:48,2458031.170,19.16
2017-11-11 01:50:51,2458068.577,19.14
2017-11-11 03:37:25,2458068.651,19.14
2017-12-03 01:57:50,2458090.582,19.19
2017-12-03 03:44:25,2458090.656,19.16
2018-01-20 21:24:20,2458139.392,19.17
2018-01-21 01:38:01,2458139.568,19.13
2018-02-15 03:26:25,2458164.643,18.94
2018-03-19 07:21:12,2458196.806,19.09
2018-03-19 09:07:46,2458196.880,19.07
2018-04-25 06:35:32,2458233.775,untrusted
2018-04-25 08:22:07,2458233.849,18.99
2018-05-12 20:26:01,2458251.351,18.92
2018-05-13 00:39:42,2458251.528,18.92
2018-06-27 00:58:02,2458296.540,18.92
2018-06-27 05:11:42,2458296.716,18.92
2018-07-08 17:18:06,2458308.221,18.79
2018-07-08 19:04:40,2458308.295,18.74
2018-07-08 23:18:20,2458308.471,18.74
2018-08-20 22:01:56,2458351.418,null
2018-09-14 03:53:05,2458375.662,18.79
2018-09-14 05:39:39,2458375.736,18.80
2018-10-16 11:12:43,2458407.967,18.75
2018-11-26 22:45:17,2458449.448,18.37
2018-11-27 02:58:56,2458449.624,18.41
2018-11-27 04:45:30,2458449.698,18.38
2018-12-16 15:09:10,2458469.131,null
2018-12-16 16:55:55,2458469.205,null
2019-02-01 22:35:05,2458516.441,17.94
2019-02-02 02:48:46,2458516.617,17.90
2019-03-01 20:43:12,2458544.363,17.61
2019-03-30 16:15:30,2458573.177,18.46
2019-05-08 19:33:02,2458612.315,18.44
2019-05-08 21:19:36,2458612.389,18.42
2019-05-23 21:25:37,2458627.393,18.47
2019-05-24 01:39:17,2458627.569,18.38
2019-07-08 12:07:55,2458673.005,18.50
2019-07-08 13:54:29,2458673.080,18.51
2019-08-06 08:35:31,2458701.858,18.41
2019-08-06 10:22:05,2458701.932,18.39
2019-09-04 15:36:15,2458731.150,null
2019-09-04 17:22:24,2458731.224,18.53
2019-10-03 22:44:33,2458760.448,18.50
2019-10-04 00:31:07,2458760.522,18.55
2019-11-11 12:55:08,2458799.038,18.24
2019-11-11 14:41:57,2458799.112,null
2019-11-25 19:16:38,2458813.303,18.57
2019-11-25 21:03:12,2458813.377,18.52
2020-01-07 16:11:53,2458856.175,untrusted
2020-01-20 10:31:07,2458868.938,18.36
2020-01-20 12:17:41,2458869.012,18.33
2020-02-28 08:40:42,2458907.862,18.46
2020-04-25 04:59:33,2458964.708,18.66
2020-04-25 09:13:14,2458964.884,18.67

