Gaia19amo
#Date,JD,averagemag.
2014-09-14 10:34:54,2456914.941,untrusted
2014-09-27 12:00:39,2456928.000,untrusted
2015-02-16 23:59:28,2457070.500,19.64
2015-02-17 01:46:02,2457070.574,19.62
2015-03-21 11:24:59,2457102.976,19.62
2015-03-21 13:11:33,2457103.050,19.59
2015-04-09 17:24:26,2457122.225,null
2015-04-09 19:11:11,2457122.299,null
2015-07-17 08:00:42,2457220.834,19.56
2015-07-17 09:47:17,2457220.908,19.63
2015-07-30 08:09:12,2457233.840,null
2015-07-30 09:55:23,2457233.913,null
2015-09-06 15:14:25,2457272.135,19.55
2015-09-06 19:28:06,2457272.311,19.54
2015-10-14 01:05:14,2457309.545,19.51
2015-10-14 02:51:49,2457309.619,19.52
2015-10-28 09:02:07,2457323.876,null
2015-10-28 13:15:53,2457324.053,null
2015-10-28 15:02:38,2457324.127,null
2015-10-28 19:16:24,2457324.303,null
2016-01-09 07:32:57,2457396.815,19.62
2016-01-09 09:19:31,2457396.889,19.59
2016-01-09 13:33:10,2457397.065,19.57
2016-01-09 15:19:46,2457397.139,null
2016-01-20 21:27:05,2457408.394,19.59
2016-01-21 01:40:43,2457408.570,19.63
2016-01-21 03:27:17,2457408.644,19.62
2016-01-21 07:40:56,2457408.820,19.65
2016-02-27 20:54:13,2457446.371,19.60
2016-04-04 00:19:53,2457482.514,null
2016-04-04 02:06:14,2457482.588,19.63
2016-04-18 06:24:35,2457496.767,19.66
2016-04-18 08:11:09,2457496.841,19.70
2016-07-25 21:02:12,2457595.377,null
2016-07-25 22:48:57,2457595.451,null
2016-09-16 22:25:47,2457648.435,null
2017-01-16 20:39:54,2457770.361,null
2017-01-16 22:26:38,2457770.435,null
2017-02-05 20:42:51,2457790.363,null
2017-02-05 22:29:35,2457790.437,null
2017-03-09 17:24:30,2457822.225,null
2017-04-19 10:24:26,2457862.934,null
2017-04-19 14:38:11,2457863.110,null
2017-04-19 16:24:55,2457863.184,null
2017-04-19 20:38:39,2457863.360,null
2017-04-26 02:43:04,2457869.613,null
2017-04-26 04:29:49,2457869.687,null
2017-04-26 08:42:58,2457869.863,null
2017-04-26 10:29:43,2457869.937,null
2017-08-05 01:16:14,2457970.553,null
2017-08-05 05:30:00,2457970.729,null
2017-08-28 11:29:03,2457993.979,null
2017-09-28 01:00:01,2458024.542,null
2017-09-28 05:13:47,2458024.718,null
2018-01-26 23:10:47,2458145.466,19.40
2018-01-27 00:57:20,2458145.540,19.35
2018-03-20 10:44:26,2458197.948,19.42
2018-03-20 12:30:59,2458198.022,19.43
2018-08-15 20:23:40,2458346.350,19.42
2018-09-12 06:28:01,2458373.769,untrusted
2018-09-12 08:14:36,2458373.843,19.46
2018-10-09 00:24:32,2458400.517,null
2018-10-09 02:11:18,2458400.591,null
2019-02-06 12:19:33,2458521.014,18.43
2019-02-06 14:06:07,2458521.088,18.43
2019-03-07 11:58:56,2458549.999,untrusted
2019-03-30 19:36:03,2458573.317,19.02
2019-07-09 20:33:40,2458674.357,19.24
2019-07-09 22:20:15,2458674.431,19.26
2019-07-10 02:33:55,2458674.607,19.12
2019-07-10 04:20:30,2458674.681,19.26
2019-07-10 08:34:11,2458674.857,19.23
2019-07-10 10:20:45,2458674.931,19.24
2019-07-10 14:34:26,2458675.107,19.27
2019-07-13 14:37:21,2458678.109,19.28
2019-07-13 20:37:36,2458678.359,19.26
2019-07-13 22:24:11,2458678.433,untrusted
2019-07-14 02:37:52,2458678.610,19.29
2019-07-14 04:24:26,2458678.684,19.23
2019-07-14 10:24:42,2458678.934,19.26
2019-08-11 00:59:51,2458706.542,19.24
2019-08-11 05:13:32,2458706.718,19.24
2019-09-10 12:31:38,2458737.022,19.22
2019-09-10 14:18:18,2458737.096,null
2019-10-04 01:24:31,2458760.559,19.33
2019-10-04 03:11:06,2458760.633,19.32
2020-01-08 13:48:06,2458857.075,19.31
2020-01-08 15:34:40,2458857.149,19.33
2020-01-08 19:48:19,2458857.325,19.30
2020-01-08 21:34:53,2458857.399,19.36
2020-01-13 03:38:53,2458861.652,null
2020-01-13 07:52:34,2458861.828,19.30
2020-01-13 09:39:08,2458861.902,untrusted
2020-01-13 13:52:47,2458862.078,19.26
2020-02-23 04:03:21,2458902.669,19.41
2020-02-23 05:49:54,2458902.743,19.40
2020-03-25 13:07:42,2458934.047,untrusted
2020-04-15 23:55:11,2458955.497,19.48
2020-04-16 01:41:44,2458955.571,19.45
2020-04-16 05:55:23,2458955.747,19.40
2020-04-16 07:41:57,2458955.821,19.43

