Gaia19aqy
#Date,JD,averagemag.
2014-10-21 02:29:11,2456951.604,untrusted
2014-10-21 04:15:44,2456951.678,untrusted
2015-02-26 02:51:24,2457079.619,null
2015-02-26 04:38:10,2457079.693,null
2015-03-19 14:55:42,2457101.122,null
2015-04-18 08:39:49,2457130.861,18.58
2015-04-18 10:26:24,2457130.935,18.57
2015-09-09 16:03:50,2457275.169,18.59
2015-09-09 17:50:24,2457275.243,18.59
2015-10-04 03:54:05,2457299.663,18.57
2015-10-04 05:40:36,2457299.737,null
2015-10-31 15:37:41,2457327.151,18.59
2016-03-06 22:01:06,2457454.417,18.55
2016-03-06 23:47:41,2457454.491,18.59
2016-04-27 21:49:29,2457506.409,18.58
2016-09-19 05:10:35,2457650.716,18.57
2016-10-18 04:49:06,2457679.701,18.51
2016-11-09 10:45:19,2457701.948,18.56
2016-11-09 12:31:52,2457702.022,18.53
2017-03-17 08:21:10,2457829.848,untrusted
2017-03-17 12:34:51,2457830.024,18.46
2017-04-17 12:15:42,2457861.011,null
2017-04-17 14:02:07,2457861.085,18.56
2017-05-07 18:19:22,2457881.263,18.56
2017-05-07 20:05:57,2457881.337,18.56
2017-09-29 19:40:46,2458026.320,18.57
2017-09-29 21:27:19,2458026.394,18.57
2017-11-02 14:54:42,2458060.121,18.57
2017-11-02 19:08:21,2458060.297,18.54
2017-11-18 07:13:44,2458075.801,18.59
2017-11-18 09:00:18,2458075.875,18.60
2017-11-18 13:13:57,2458076.051,18.61
2018-03-28 01:46:11,2458205.574,untrusted
2018-03-28 03:32:46,2458205.648,18.56
2018-05-03 01:14:44,2458241.552,18.57
2018-05-03 03:01:19,2458241.626,18.60
2018-05-16 15:09:44,2458255.132,18.57
2018-05-16 19:23:25,2458255.308,18.57
2018-05-16 21:10:00,2458255.382,18.56
2018-08-22 09:26:25,2458352.893,18.57
2018-08-22 11:12:59,2458352.967,18.51
2018-08-22 15:26:38,2458353.143,18.57
2018-08-22 17:13:12,2458353.218,18.57
2018-09-03 17:19:04,2458365.222,18.52
2018-09-03 21:32:42,2458365.398,18.56
2018-10-10 14:49:08,2458402.117,18.55
2018-10-10 16:35:42,2458402.191,18.52
2019-02-17 21:12:48,2458532.384,untrusted
2019-02-17 22:59:22,2458532.458,18.24
2019-02-18 03:13:03,2458532.634,18.20
2019-03-03 21:22:15,2458546.390,18.31
2019-03-03 23:09:04,2458546.465,null
2019-04-07 20:57:35,2458581.373,18.43
2019-04-07 22:44:10,2458581.447,18.45
2019-08-22 20:42:09,2458718.363,untrusted
2019-08-22 22:29:04,2458718.437,null
2019-09-07 03:01:06,2458733.626,18.57
2019-09-07 04:47:40,2458733.700,18.58
2019-10-12 04:31:10,2458768.688,18.54
2020-02-27 07:30:14,2458906.813,18.59
2020-03-17 08:07:14,2458925.838,null
2020-03-17 09:53:43,2458925.912,18.60
2020-04-17 21:36:46,2458957.401,null
2020-04-17 23:22:56,2458957.474,18.59

