Gaia19atj
#Date,JD,averagemag.
2014-10-30 17:53:45,2456961.246,null
2015-02-15 05:18:54,2457068.721,20.96
2015-02-15 07:05:28,2457068.795,20.84
2015-03-10 05:23:52,2457091.725,null
2015-03-10 07:10:21,2457091.799,21.05
2015-04-14 18:43:41,2457127.280,null
2015-05-20 18:00:33,2457163.250,null
2015-06-09 16:13:53,2457183.176,null
2015-06-09 18:00:03,2457183.250,null
2015-07-24 20:46:09,2457228.365,null
2015-07-24 22:32:54,2457228.440,null
2015-08-04 02:53:18,2457238.620,null
2015-08-04 04:39:28,2457238.694,null
2015-09-17 01:33:32,2457282.565,null
2015-09-17 03:20:17,2457282.639,null
2015-11-11 02:49:11,2457337.617,null
2015-11-11 07:02:42,2457337.794,untrusted
2015-12-19 00:39:31,2457375.527,20.85
2015-12-19 02:26:27,2457375.602,null
2015-12-19 06:39:46,2457375.778,untrusted
2015-12-19 08:26:21,2457375.852,untrusted
2016-01-08 18:49:28,2457396.284,untrusted
2016-01-08 20:36:02,2457396.358,20.84
2016-01-09 00:49:50,2457396.535,null
2016-02-27 12:28:55,2457446.020,20.77
2016-02-27 14:15:29,2457446.094,20.85
2016-03-24 12:26:50,2457472.019,untrusted
2016-03-24 14:13:31,2457472.093,null
2016-04-25 12:04:00,2457504.003,null
2016-04-25 13:50:32,2457504.077,untrusted
2016-06-02 17:10:14,2457542.215,null
2016-06-02 18:56:38,2457542.289,20.69
2016-06-19 17:13:28,2457559.218,null
2016-06-19 19:00:13,2457559.292,null
2016-08-04 09:41:35,2457604.904,null
2016-08-04 11:28:21,2457604.978,null
2016-08-15 21:48:46,2457616.409,untrusted
2016-08-15 23:35:21,2457616.483,20.77
2016-09-27 04:24:48,2457658.684,null
2016-10-21 14:32:00,2457683.106,null
2016-10-21 16:18:46,2457683.180,null
2016-11-21 15:58:51,2457714.166,20.90
2016-11-21 20:12:40,2457714.342,null
2017-01-03 07:50:03,2457756.826,20.92
2017-01-03 09:36:38,2457756.900,null
2017-01-21 09:47:39,2457774.908,20.98
2017-01-21 14:01:19,2457775.084,20.82
2017-01-21 15:48:21,2457775.159,null
2017-01-21 20:01:33,2457775.334,20.90
2017-03-10 15:00:55,2457823.126,null
2017-03-10 16:47:31,2457823.200,20.91
2017-04-08 04:36:30,2457851.692,null
2017-04-08 08:49:52,2457851.868,untrusted
2017-05-07 02:32:51,2457880.606,null
2017-06-16 09:14:51,2457920.885,null
2017-06-16 13:28:35,2457921.062,null
2017-06-30 15:20:33,2457935.139,null
2017-06-30 19:34:17,2457935.315,null
2017-08-15 13:47:33,2457981.075,null
2017-08-15 18:01:18,2457981.251,null
2017-08-29 00:07:56,2457994.506,null
2017-08-29 01:54:15,2457994.579,20.96
2017-10-08 06:52:49,2458034.787,null
2017-11-04 16:55:17,2458062.205,null
2017-11-04 18:41:27,2458062.279,null
2017-12-03 10:45:17,2458090.948,untrusted
2017-12-03 12:31:53,2458091.022,null
2018-01-19 04:25:01,2458137.684,null
2018-01-19 06:11:46,2458137.758,null
2018-01-19 12:11:41,2458138.008,null
2018-02-06 00:22:37,2458155.516,null
2018-02-06 04:36:22,2458155.692,null
2018-02-06 06:22:32,2458155.766,null
2018-02-06 10:36:17,2458155.942,null
2018-03-22 11:56:41,2458199.998,null
2018-04-22 17:35:25,2458231.233,null
2018-05-18 09:37:17,2458256.901,null
2018-05-18 11:24:02,2458256.975,null
2018-06-29 20:23:56,2458299.350,null
2018-06-29 22:10:41,2458299.424,null
2018-07-11 20:30:41,2458311.355,null
2018-07-11 22:17:26,2458311.429,null
2018-08-26 12:59:39,2458357.041,null
2018-08-26 14:46:25,2458357.116,null
2018-09-11 13:05:09,2458373.045,null
2018-09-11 14:51:54,2458373.119,null
2018-10-19 14:00:19,2458411.084,null
2018-11-18 23:57:21,2458441.498,null
2018-11-19 01:43:31,2458441.572,null
2018-12-15 05:56:18,2458467.747,null
2018-12-15 07:42:28,2458467.821,20.57
2019-02-02 11:36:46,2458516.984,20.52
2019-02-02 13:23:20,2458517.058,20.62
2019-02-22 11:46:00,2458536.990,18.64
2019-02-22 13:32:34,2458537.064,18.88
2019-02-22 17:46:24,2458537.241,null
2019-04-03 11:18:45,2458576.971,null
2019-05-06 22:45:57,2458610.449,20.78
2019-05-07 00:32:42,2458610.523,null
2019-05-29 16:40:19,2458633.195,untrusted
2019-05-29 18:26:53,2458633.269,untrusted
2019-07-12 21:19:26,2458677.388,untrusted
2019-07-12 23:06:21,2458677.463,null
2019-08-06 19:35:01,2458702.316,null
2019-08-06 23:48:46,2458702.492,null
2019-08-07 01:34:56,2458702.566,null
2019-08-07 05:48:42,2458702.742,null
2019-08-28 06:19:10,2458723.763,null
2019-08-28 08:05:20,2458723.837,21.02
2019-08-28 12:19:06,2458724.013,null
2019-10-07 15:48:57,2458764.159,20.97
2019-12-01 10:26:18,2458818.935,null
2020-01-11 19:08:58,2458860.298,null
2020-01-11 20:55:08,2458860.372,null
2020-01-21 13:20:59,2458870.056,null
2020-01-21 15:07:26,2458870.130,20.65
2020-03-04 10:10:21,2458912.924,null
2020-03-04 11:56:46,2458912.998,20.99

