Gaia19aue
#Date,JD,averagemag.
2014-11-02 03:24:59,2456963.642,null
2015-01-07 14:51:54,2457030.119,null
2015-01-07 16:38:39,2457030.194,null
2015-02-08 04:19:07,2457061.680,null
2015-04-06 15:37:06,2457119.151,null
2015-05-16 06:46:38,2457158.782,null
2015-05-16 08:33:23,2457158.857,null
2015-06-05 02:33:44,2457178.607,null
2015-07-15 05:44:39,2457218.739,null
2015-07-15 07:31:24,2457218.813,null
2015-08-09 07:22:30,2457243.807,null
2015-08-09 11:36:15,2457243.984,null
2015-09-13 11:02:23,2457278.960,null
2015-10-17 06:26:34,2457312.768,null
2015-10-17 10:39:43,2457312.944,null
2015-11-15 06:18:39,2457341.763,null
2015-12-22 11:54:56,2457378.996,null
2015-12-22 16:08:42,2457379.173,null
2016-01-21 05:42:03,2457408.738,null
2016-02-19 23:25:29,2457438.476,null
2016-03-26 14:55:56,2457474.122,null
2016-04-17 10:39:09,2457495.944,null
2016-05-27 19:46:18,2457536.324,null
2016-06-16 21:32:32,2457556.398,null
2016-06-17 01:46:16,2457556.574,null
2016-07-26 08:34:13,2457595.857,null
2016-08-22 06:36:33,2457622.775,null
2016-10-30 07:31:47,2457691.814,null
2016-10-30 11:45:32,2457691.990,null
2016-11-27 17:39:58,2457720.236,null
2016-11-27 19:26:08,2457720.310,null
2017-01-03 01:02:34,2457756.543,null
2017-01-03 05:16:20,2457756.720,null
2017-02-02 18:44:57,2457787.281,null
2017-03-02 18:07:21,2457815.255,null
2017-03-02 19:53:31,2457815.329,null
2017-04-08 11:17:41,2457851.971,null
2017-04-08 13:04:26,2457852.045,null
2017-04-29 11:16:31,2457872.970,null
2017-06-08 23:55:36,2457913.497,null
2017-06-29 23:53:56,2457934.496,null
2017-06-30 04:07:41,2457934.672,null
2017-08-07 15:14:44,2457973.135,null
2017-08-07 17:00:54,2457973.209,null
2017-09-05 04:45:51,2458001.699,null
2017-10-07 14:38:38,2458034.110,null
2017-11-13 04:00:40,2458070.667,null
2017-11-13 08:14:25,2458070.843,null
2017-12-11 08:09:18,2458098.840,null
2017-12-11 09:55:28,2458098.914,null
2018-01-15 09:33:14,2458133.898,null
2018-02-16 07:23:24,2458165.808,null
2018-03-14 13:11:56,2458192.050,null
2018-04-21 08:03:50,2458229.836,null
2018-05-11 12:17:07,2458250.012,null
2018-05-11 14:03:52,2458250.086,null
2018-06-21 05:09:32,2458290.715,null
2018-06-21 06:56:17,2458290.789,null
2018-07-13 11:06:38,2458312.963,null
2018-08-19 22:19:07,2458350.430,null
2018-08-20 00:05:52,2458350.504,null
2018-09-19 05:47:51,2458380.742,null
2018-09-19 10:01:35,2458380.918,null
2018-10-20 09:45:58,2458411.907,null
2018-10-20 11:32:43,2458411.981,null
2018-11-26 17:07:34,2458449.214,null
2018-11-26 21:21:19,2458449.390,null
2018-12-25 03:15:17,2458477.636,null
2018-12-25 05:02:02,2458477.710,null
2019-01-27 10:40:14,2458510.945,18.85
2019-03-01 14:24:08,2458544.100,18.76
2019-03-01 16:10:42,2458544.174,18.80
2019-03-26 04:02:29,2458568.668,18.82
2019-05-04 01:16:06,2458607.553,19.08
2019-05-04 03:02:40,2458607.627,19.01
2019-05-23 19:16:34,2458627.303,19.21
2019-05-23 21:03:08,2458627.377,19.18
2019-07-03 07:57:19,2458667.831,19.45
2019-07-31 14:19:55,2458696.097,19.44
2019-07-31 16:06:29,2458696.171,19.54
2019-09-04 09:54:28,2458730.913,19.72
2019-09-04 11:41:02,2458730.987,19.72
2019-09-29 10:49:21,2458755.951,19.94
2019-09-29 12:35:55,2458756.025,untrusted
2019-11-06 20:49:51,2458794.368,null
2019-11-25 19:39:09,2458813.319,20.41

