Gaia19avy
#Date,JD,averagemag.
2015-03-01 16:49:39,2457083.201,null
2015-03-01 21:02:50,2457083.377,null
2015-03-20 22:55:02,2457102.455,null
2015-04-21 02:49:30,2457133.618,null
2015-04-21 04:36:15,2457133.692,null
2015-09-08 15:51:15,2457274.161,null
2015-09-08 17:37:24,2457274.234,null
2015-10-01 09:46:25,2457296.907,null
2015-10-29 21:25:15,2457325.393,null
2015-10-29 23:11:25,2457325.466,null
2016-03-10 04:11:06,2457457.674,null
2016-03-10 05:57:52,2457457.749,null
2016-04-03 23:53:38,2457482.496,null
2016-04-30 16:00:34,2457509.167,null
2016-04-30 17:46:44,2457509.241,null
2016-09-17 18:44:47,2457649.281,null
2016-10-15 06:27:37,2457676.769,null
2016-11-07 22:32:37,2457700.439,null
2016-11-08 00:18:46,2457700.513,null
2017-03-20 08:30:06,2457832.854,null
2017-04-19 02:15:06,2457862.594,null
2017-05-10 18:32:07,2457884.272,null
2017-05-10 20:18:18,2457884.346,null
2017-09-28 09:15:14,2458024.886,null
2017-10-30 08:44:51,2458056.864,null
2017-11-17 07:00:20,2458074.792,null
2017-11-17 08:47:05,2458074.866,null
2018-03-30 21:41:47,2458208.404,null
2018-05-04 19:28:25,2458243.311,null
2018-05-04 21:15:11,2458243.386,null
2018-05-19 13:37:30,2458258.068,null
2018-05-19 15:24:16,2458258.142,null
2018-05-19 19:38:02,2458258.318,null
2018-08-25 09:17:07,2458355.887,null
2018-08-25 15:17:36,2458356.137,null
2018-08-25 17:03:45,2458356.211,null
2018-08-25 21:17:29,2458356.387,null
2018-08-25 23:04:14,2458356.461,null
2018-08-26 03:17:58,2458356.637,null
2018-08-26 05:04:07,2458356.711,null
2018-08-26 09:17:51,2458356.887,null
2018-08-26 11:04:36,2458356.962,null
2018-08-26 15:18:19,2458357.138,null
2018-08-26 17:05:04,2458357.212,null
2018-08-26 21:18:13,2458357.388,null
2018-08-26 23:04:57,2458357.462,null
2018-08-27 03:18:41,2458357.638,null
2018-08-27 05:05:26,2458357.712,null
2018-08-27 09:18:35,2458357.888,null
2018-08-27 11:05:19,2458357.962,null
2018-08-27 15:19:03,2458358.138,null
2018-08-27 17:05:48,2458358.212,null
2018-08-27 21:19:32,2458358.389,null
2018-08-27 23:05:41,2458358.462,null
2018-08-28 03:19:25,2458358.638,null
2018-08-28 05:06:09,2458358.713,null
2018-08-28 09:19:53,2458358.889,null
2018-10-09 02:37:08,2458400.609,null
2018-10-09 04:23:53,2458400.683,null
2018-11-15 15:41:48,2458438.154,null
2018-11-15 19:55:32,2458438.330,null
2018-11-15 21:42:16,2458438.404,null
2018-11-16 01:56:00,2458438.581,null
2018-11-24 02:01:13,2458446.584,null
2018-11-24 03:47:57,2458446.658,null
2018-11-24 08:01:41,2458446.835,null
2018-11-24 09:47:51,2458446.908,null
2019-02-22 03:27:22,2458536.644,null
2019-02-22 05:14:07,2458536.718,null
2019-02-22 09:27:53,2458536.894,null
2019-03-05 03:35:53,2458547.650,17.59
2019-03-05 05:22:27,2458547.724,17.58
2019-03-05 09:36:09,2458547.900,17.62
2019-04-10 16:53:28,2458584.204,null
2019-08-27 04:23:07,2458722.683,null
2019-08-27 08:36:16,2458722.859,null
2019-08-27 10:23:01,2458722.933,null
2019-09-08 10:36:53,2458734.942,null
2019-09-08 14:50:36,2458735.118,null

