Gaia19azo
#Date,JD,averagemag.
2015-02-28 11:27:43,2457081.978,null
2015-03-30 03:26:07,2457111.643,null
2015-03-30 05:12:17,2457111.717,null
2015-04-22 05:16:00,2457134.719,null
2015-04-22 09:29:46,2457134.896,null
2015-08-29 03:35:03,2457263.649,null
2015-08-29 05:21:47,2457263.723,null
2015-09-30 09:05:37,2457295.879,null
2015-09-30 10:52:22,2457295.953,null
2015-10-20 15:03:31,2457316.127,null
2015-10-20 16:49:40,2457316.201,null
2016-01-22 23:30:18,2457410.479,null
2016-01-23 01:17:03,2457410.554,null
2016-01-31 17:37:30,2457419.234,null
2016-01-31 19:24:16,2457419.309,null
2016-03-10 04:51:18,2457457.702,null
2016-04-14 04:28:49,2457492.687,null
2016-04-14 06:15:34,2457492.761,null
2016-04-30 18:25:42,2457509.268,null
2016-04-30 22:39:28,2457509.444,null
2016-05-01 00:26:13,2457509.518,null
2016-07-22 23:12:14,2457592.467,null
2016-07-23 05:12:43,2457592.717,null
2016-07-23 06:58:53,2457592.791,null
2016-07-23 11:12:37,2457592.967,null
2016-07-23 12:59:22,2457593.041,null
2016-07-23 17:13:06,2457593.217,null
2016-07-23 18:59:51,2457593.292,null
2016-07-23 23:13:00,2457593.467,null
2016-07-24 00:59:44,2457593.541,null
2016-07-24 05:13:29,2457593.718,null
2016-07-24 07:00:13,2457593.792,null
2016-07-24 11:13:57,2457593.968,null
2016-07-24 13:00:07,2457594.042,null
2016-07-24 17:13:51,2457594.218,null
2016-07-24 19:00:36,2457594.292,null
2016-07-24 23:14:20,2457594.468,null
2016-07-25 01:00:29,2457594.542,null
2016-07-25 05:14:14,2457594.718,null
2016-07-25 07:00:58,2457594.792,null
2016-07-25 11:14:42,2457594.969,null
2016-07-25 17:14:36,2457595.218,null
2016-09-08 10:44:14,2457639.947,null
2016-10-14 04:00:27,2457675.667,null
2016-10-28 22:04:31,2457690.420,null
2016-10-28 23:51:15,2457690.494,null
2017-01-30 02:15:25,2457783.594,null
2017-01-30 06:29:11,2457783.770,null
2017-02-14 13:57:54,2457799.082,null
2017-02-14 15:44:39,2457799.156,null
2017-03-21 01:24:31,2457833.559,null
2017-07-28 07:37:19,2457962.818,null
2017-07-28 09:24:03,2457962.892,null
2017-08-15 13:43:59,2457981.072,null
2017-08-15 15:30:43,2457981.146,null
2017-09-19 13:15:09,2458016.052,null
2017-10-29 08:04:59,2458055.837,null
2017-10-29 12:18:43,2458056.013,null
2017-10-29 14:04:53,2458056.087,null
2017-11-05 18:23:51,2458063.267,null
2017-11-05 20:10:00,2458063.340,null
2017-11-06 00:23:45,2458063.516,null
2017-11-06 02:10:29,2458063.591,null
2018-02-08 10:41:41,2458157.946,null
2018-02-28 22:42:32,2458178.446,null
2018-03-31 22:22:11,2458209.432,null
2018-08-07 08:45:38,2458337.865,null
2018-08-07 10:32:22,2458337.939,null
2018-08-31 16:29:40,2458362.187,null
2018-08-31 20:43:24,2458362.363,null
2018-09-30 08:22:14,2458391.849,null
2018-09-30 10:08:23,2458391.922,null
2019-02-18 10:01:48,2458532.918,null
2019-03-15 09:54:12,2458557.913,17.57
2019-03-15 11:40:47,2458557.987,17.59
2019-04-11 21:47:23,2458585.408,null
2019-04-11 23:34:08,2458585.482,null
2019-08-23 13:54:57,2458719.080,null
2019-08-23 15:41:41,2458719.154,null
2019-09-18 20:51:43,2458745.369,null

