Gaia19azx
#Date,JD,averagemag.
2014-09-05 04:40:35,2456905.695,untrusted
2014-09-05 06:27:08,2456905.769,untrusted
2014-11-22 00:39:22,2456983.527,null
2014-11-22 02:25:25,2456983.601,untrusted
2014-11-22 06:39:05,2456983.777,19.69
2014-11-27 06:43:01,2456988.780,19.90
2014-11-27 08:29:35,2456988.854,untrusted
2014-11-27 12:43:15,2456989.030,19.68
2014-11-27 14:29:49,2456989.104,untrusted
2015-03-03 17:33:24,2457085.232,19.23
2015-03-29 21:38:04,2457111.401,19.39
2015-04-27 03:31:08,2457139.647,null
2015-04-27 05:17:54,2457139.721,null
2015-08-28 09:21:35,2457262.890,19.44
2015-09-26 22:51:21,2457292.452,null
2015-10-21 20:52:54,2457317.370,null
2015-10-21 22:39:03,2457317.444,null
2016-01-25 07:32:07,2457412.814,untrusted
2016-01-25 11:45:48,2457412.990,19.65
2016-01-25 13:32:23,2457413.064,19.58
2016-02-02 05:52:04,2457420.744,19.59
2016-02-02 07:38:39,2457420.819,19.74
2016-02-02 11:52:20,2457420.995,19.71
2016-02-02 13:39:13,2457421.069,null
2016-03-13 10:54:53,2457460.955,19.61
2016-03-13 12:41:28,2457461.029,untrusted
2016-04-12 18:25:36,2457491.268,16.86
2016-05-07 10:42:43,2457515.946,null
2016-05-07 12:29:11,2457516.020,untrusted
2016-09-07 18:17:20,2457639.262,null
2016-10-10 10:00:09,2457671.917,19.17
2016-10-31 05:42:25,2457692.738,19.51
2017-02-02 02:29:29,2457786.604,null
2017-02-02 06:42:37,2457786.780,17.22
2017-02-15 14:11:46,2457800.092,19.18
2017-02-15 15:58:21,2457800.166,19.02
2017-03-24 13:26:53,2457837.060,19.34
2017-04-28 19:05:41,2457872.296,19.48
2017-04-28 20:52:16,2457872.370,19.27
2017-05-18 09:02:41,2457891.877,19.53
2017-05-18 13:16:22,2457892.053,untrusted
2017-05-18 15:02:57,2457892.127,untrusted
2017-07-26 07:21:44,2457960.807,19.65
2017-07-26 09:08:18,2457960.881,19.43
2017-07-26 13:21:58,2457961.057,19.85
2017-07-26 15:08:32,2457961.131,19.68
2017-07-26 19:22:11,2457961.307,19.76
2017-07-26 21:08:45,2457961.381,untrusted
2017-08-09 19:31:18,2457975.313,19.59
2017-08-09 21:17:52,2457975.387,19.25
2017-08-10 01:31:31,2457975.564,20.00
2017-08-10 03:18:05,2457975.638,19.62
2017-09-19 07:01:39,2458015.793,18.21
2017-10-24 14:04:08,2458051.086,17.02
2017-11-10 06:19:40,2458067.764,19.34
2018-02-11 15:05:40,2458161.129,19.12
2018-02-11 16:52:15,2458161.203,untrusted
2018-03-01 15:09:11,2458179.131,18.65
2018-03-01 16:55:45,2458179.205,17.83
2018-04-04 16:23:41,2458213.183,18.87
2018-05-17 14:15:55,2458256.094,19.06
2018-05-17 20:16:10,2458256.345,18.94
2018-05-17 22:03:08,2458256.419,null
2018-05-18 02:16:26,2458256.595,19.13
2018-05-18 04:03:00,2458256.669,18.98
2018-05-18 10:03:15,2458256.919,19.00
2018-05-27 04:11:14,2458265.674,19.53
2018-05-27 08:24:54,2458265.851,19.01
2018-05-27 10:11:29,2458265.925,18.99
2018-05-27 14:25:09,2458266.101,19.04
2018-05-27 16:11:44,2458266.175,19.23
2018-05-27 20:25:24,2458266.351,18.99
2018-05-27 22:12:04,2458266.425,null
2018-08-05 20:30:54,2458336.355,18.82
2018-08-05 22:17:28,2458336.429,18.83
2018-08-27 14:35:56,2458358.108,19.27
2018-08-27 16:22:30,2458358.182,19.17
2018-11-07 14:58:55,2458430.124,null
2018-11-07 19:12:24,2458430.300,16.81
2018-11-19 13:17:46,2458442.054,18.89
2018-11-19 15:04:30,2458442.128,null
2019-02-21 16:09:28,2458536.173,untrusted
2019-02-21 17:56:03,2458536.247,18.74
2019-03-15 16:07:16,2458558.172,16.79
2019-03-15 17:53:51,2458558.246,16.80
2019-04-15 23:34:42,2458589.482,18.47
2019-08-27 01:53:11,2458722.579,19.02
2019-09-19 02:38:43,2458745.610,17.03
2019-10-20 03:55:51,2458776.664,18.94
2019-10-20 05:42:25,2458776.738,18.92
2020-02-13 21:37:34,2458893.401,19.99
2020-02-14 01:51:16,2458893.577,untrusted
2020-03-10 08:45:56,2458918.865,17.57
2020-03-10 10:32:31,2458918.939,17.63
2020-04-07 23:46:11,2458947.490,18.98

