Gaia19bak
#Date,JD,averagemag.
2015-01-05 10:11:04,2457027.924,null
2015-01-05 11:57:49,2457027.998,null
2015-01-19 04:18:33,2457041.680,null
2015-01-19 06:05:19,2457041.754,null
2015-02-22 11:32:54,2457075.981,null
2015-07-06 04:19:46,2457209.680,null
2015-07-06 06:06:30,2457209.755,null
2015-07-23 06:12:21,2457226.759,null
2015-07-23 10:26:05,2457226.935,null
2015-08-27 03:55:16,2457261.663,null
2016-01-14 01:01:29,2457401.543,null
2016-01-14 05:15:15,2457401.719,null
2016-02-02 23:17:02,2457421.470,null
2016-02-03 01:03:48,2457421.544,null
2016-03-04 04:57:45,2457451.707,null
2016-07-14 17:26:26,2457584.227,null
2016-07-14 19:13:10,2457584.301,null
2016-08-07 13:09:51,2457608.049,null
2016-09-05 23:02:50,2457637.460,null
2017-01-22 18:22:18,2457776.265,null
2017-03-14 13:31:39,2457827.064,null
2017-03-14 15:17:49,2457827.137,null
2017-07-25 07:57:41,2457959.832,null
2017-08-22 21:27:36,2457988.394,null
2017-09-16 07:31:47,2458012.814,null
2017-09-16 09:18:31,2458012.888,null
2018-02-01 20:53:57,2458151.371,null
2018-03-24 10:27:43,2458201.936,null
2018-03-24 14:41:30,2458202.112,null
2018-08-05 03:06:29,2458335.630,null
2018-08-05 04:53:14,2458335.704,null
2018-09-07 02:35:50,2458368.608,null
2018-09-26 02:36:30,2458387.609,null
2018-09-26 04:23:15,2458387.683,null
2018-12-31 06:30:01,2458483.771,null
2018-12-31 12:30:33,2458484.021,null
2018-12-31 16:44:19,2458484.197,null
2018-12-31 18:30:29,2458484.271,null
2018-12-31 22:44:15,2458484.447,null
2019-01-01 00:31:01,2458484.522,null
2019-01-01 04:44:47,2458484.698,null
2019-01-01 06:31:32,2458484.772,null
2019-01-01 10:44:43,2458484.948,null
2019-01-01 12:31:29,2458485.022,null
2019-01-01 16:45:15,2458485.198,null
2019-01-01 18:32:00,2458485.272,null
2019-01-01 22:45:11,2458485.448,null
2019-01-02 00:31:57,2458485.522,null
2019-01-02 06:32:28,2458485.773,null
2019-02-12 05:50:42,2458526.744,null
2019-03-19 03:38:34,2458561.652,17.02
2019-03-19 05:25:09,2458561.726,17.07
2019-04-01 21:48:42,2458575.409,null
2019-04-01 23:34:58,2458575.483,20.72
2019-04-02 03:48:39,2458575.659,null
2019-08-17 01:40:04,2458712.569,null
2019-08-17 03:26:49,2458712.644,null
2019-09-22 17:00:41,2458749.209,null
2019-09-22 21:14:25,2458749.385,null
2019-09-22 23:01:09,2458749.459,null

