Gaia19bdx
#Date,JD,averagemag.
2014-10-31 00:10:56,2456961.508,null
2015-01-01 11:52:13,2457023.995,null
2015-01-01 13:38:58,2457024.069,null
2015-01-01 17:52:43,2457024.245,null
2015-02-11 17:26:52,2457065.227,null
2015-03-13 05:12:20,2457094.717,null
2015-03-13 06:58:30,2457094.791,null
2015-04-10 22:54:19,2457123.454,null
2015-04-11 00:41:03,2457123.529,null
2015-05-19 09:57:10,2457161.915,null
2015-06-06 15:59:09,2457180.166,null
2015-06-06 17:45:19,2457180.240,null
2015-07-19 20:39:14,2457223.361,null
2015-08-06 08:42:42,2457240.863,null
2015-08-06 10:29:27,2457240.937,null
2015-09-14 19:46:14,2457280.324,null
2015-11-12 01:20:13,2457338.556,null
2015-11-12 03:06:59,2457338.630,null
2015-12-22 06:57:06,2457378.790,null
2015-12-22 08:43:16,2457378.863,null
2016-01-15 19:01:05,2457403.292,null
2016-01-15 20:47:50,2457403.367,null
2016-02-23 18:34:49,2457442.274,null
2016-02-23 20:20:59,2457442.348,null
2016-03-26 06:12:18,2457473.759,null
2016-05-31 12:40:35,2457540.028,null
2016-06-17 10:57:40,2457556.957,null
2016-06-17 12:44:25,2457557.031,null
2016-07-30 11:25:09,2457599.976,null
2016-07-30 15:38:55,2457600.152,null
2016-08-18 15:40:59,2457619.153,null
2016-08-18 17:27:44,2457619.228,null
2016-09-25 14:52:48,2457657.120,null
2016-10-25 14:37:19,2457687.109,null
2016-10-25 16:24:04,2457687.183,null
2016-11-23 10:16:05,2457715.928,null
2017-01-04 03:52:29,2457757.661,null
2017-01-04 08:06:14,2457757.838,null
2017-01-04 09:52:24,2457757.911,null
2017-01-29 08:08:27,2457782.839,null
2017-01-29 09:55:12,2457782.913,null
2017-03-06 21:04:56,2457819.378,null
2017-03-06 22:51:05,2457819.452,null
2017-04-09 02:33:26,2457852.607,null
2017-06-13 09:00:20,2457917.875,null
2017-06-29 13:18:30,2457934.055,null
2017-06-29 15:04:40,2457934.128,null
2017-08-11 06:02:48,2457976.752,null
2017-09-01 06:02:45,2457997.752,null
2017-09-01 07:48:56,2457997.826,null
2017-10-07 07:09:03,2458033.798,null
2017-11-08 23:04:12,2458066.461,null
2017-11-09 00:50:22,2458066.535,null
2017-12-06 00:48:23,2458093.534,null
2017-12-06 05:02:09,2458093.710,null
2018-01-17 16:37:39,2458136.193,null
2018-01-17 18:24:24,2458136.267,null
2018-02-12 22:36:05,2458162.442,null
2018-02-13 00:22:50,2458162.516,null
2018-03-18 16:11:39,2458196.175,null
2018-03-18 17:57:49,2458196.248,null
2018-04-22 17:18:03,2458231.221,null
2018-06-25 21:57:32,2458295.415,null
2018-07-11 22:02:45,2458311.419,null
2018-08-22 19:05:43,2458353.296,null
2018-10-19 06:31:08,2458410.772,null
2018-11-23 12:09:46,2458446.007,null
2018-11-23 13:55:56,2458446.081,null
2018-12-19 01:58:07,2458471.582,null
2018-12-19 06:11:52,2458471.758,null
2019-01-30 11:46:47,2458513.991,null
2019-01-30 13:33:32,2458514.065,null
2019-02-27 07:25:48,2458541.810,null
2019-03-30 11:17:27,2458572.970,18.10
2019-03-30 13:04:00,2458573.044,18.06
2019-05-06 06:15:02,2458609.760,19.31
2019-05-26 10:27:56,2458629.936,null
2019-07-08 03:08:48,2458672.631,null
2019-07-08 04:55:33,2458672.705,null
2019-08-03 17:32:50,2458699.231,null
2019-08-03 19:19:35,2458699.305,null
2019-09-02 02:21:54,2458728.599,null

