Gaia19beo
#Date,JD,averagemag.
2014-08-27 04:51:55,2456896.703,18.44
2014-08-27 06:38:28,2456896.777,18.66
2014-09-29 07:34:29,2456929.816,untrusted
2014-09-29 09:21:03,2456929.890,untrusted
2014-11-16 23:50:28,2456978.493,null
2014-11-17 01:36:58,2456978.567,untrusted
2014-11-17 05:50:58,2456978.744,null
2014-11-17 07:37:43,2456978.818,null
2014-11-17 11:50:54,2456978.994,null
2014-11-17 13:37:39,2456979.068,null
2014-11-17 17:51:08,2456979.244,20.44
2014-11-19 23:53:15,2456981.495,20.52
2014-11-20 05:53:30,2456981.745,20.36
2014-11-20 07:40:04,2456981.819,20.60
2014-11-20 11:53:45,2456981.996,20.47
2014-11-20 13:40:19,2456982.070,untrusted
2014-11-20 17:54:00,2456982.246,20.23
2014-11-20 19:40:34,2456982.320,untrusted
2015-01-02 22:41:48,2457025.446,20.31
2015-01-27 04:34:49,2457049.691,null
2015-01-27 06:21:00,2457049.765,null
2015-02-25 06:07:55,2457078.755,null
2015-02-25 10:21:06,2457078.931,null
2015-06-23 16:03:15,2457197.169,null
2015-06-23 17:49:35,2457197.243,20.42
2015-07-23 03:51:08,2457226.661,null
2015-08-19 15:36:12,2457254.150,null
2015-08-19 17:22:56,2457254.224,null
2015-10-01 22:10:01,2457297.424,untrusted
2015-10-02 02:23:40,2457297.600,19.94
2015-10-02 04:10:14,2457297.674,20.00
2015-10-02 08:23:54,2457297.850,19.97
2015-10-08 08:28:42,2457303.853,null
2015-10-08 10:15:27,2457303.927,null
2015-10-08 14:29:11,2457304.104,null
2015-10-08 16:15:21,2457304.177,null
2015-11-25 14:30:01,2457352.104,20.23
2015-11-25 18:43:42,2457352.280,19.99
2015-11-25 20:30:17,2457352.354,20.08
2015-12-04 18:50:26,2457361.285,20.31
2015-12-04 20:37:00,2457361.359,20.12
2016-01-13 11:48:44,2457400.992,null
2016-02-10 11:34:38,2457428.982,20.18
2016-03-07 13:18:54,2457455.055,null
2016-03-07 17:32:40,2457455.231,null
2016-07-04 12:59:22,2457574.041,null
2016-08-05 22:47:57,2457606.450,null
2016-08-06 00:34:41,2457606.524,null
2016-08-29 16:40:35,2457630.195,null
2016-08-29 18:27:19,2457630.269,null
2016-12-04 01:40:44,2457726.570,null
2016-12-04 03:26:54,2457726.644,null
2016-12-17 07:47:13,2457739.824,null
2016-12-17 09:33:23,2457739.898,null
2017-01-23 06:57:07,2457776.790,null
2017-02-24 07:59:48,2457808.833,null
2017-02-24 09:46:33,2457808.907,null
2017-03-18 21:52:35,2457831.412,null
2017-03-19 02:06:20,2457831.588,null
2017-03-19 03:53:06,2457831.662,null
2017-05-19 20:01:18,2457893.334,null
2017-05-19 21:48:03,2457893.408,null
2017-05-20 02:01:47,2457893.585,null
2017-05-20 03:48:32,2457893.659,null
2017-05-20 09:48:27,2457893.909,null
2017-06-03 14:11:58,2457908.092,null
2017-06-03 15:58:08,2457908.165,null
2017-06-03 20:11:52,2457908.342,null
2017-06-03 21:58:37,2457908.416,null
2017-07-16 09:30:18,2457950.896,null
2017-08-20 13:07:09,2457986.047,null
2017-08-20 14:53:18,2457986.120,null
2017-09-09 07:05:46,2458005.796,null
2017-09-09 08:52:31,2458005.870,null
2017-12-13 17:49:19,2458101.243,null
2017-12-13 22:02:53,2458101.419,20.19
2017-12-30 22:06:30,2458118.421,null
2017-12-30 23:53:15,2458118.495,null
2018-02-03 05:15:10,2458152.719,untrusted
2018-03-12 09:05:40,2458189.879,15.90
2018-03-12 10:52:16,2458189.953,null
2018-03-12 15:06:02,2458190.129,null
2018-03-12 16:52:30,2458190.203,15.94
2018-03-30 03:17:01,2458207.637,20.06
2018-03-30 05:03:50,2458207.711,null
2018-03-30 09:17:16,2458207.887,20.37
2018-05-31 03:11:27,2458269.633,20.30
2018-05-31 04:58:01,2458269.707,20.16
2018-05-31 09:11:51,2458269.883,null
2018-05-31 10:58:36,2458269.957,null
2018-06-21 17:05:10,2458291.212,null
2018-06-21 21:18:41,2458291.388,20.24
2018-07-28 02:51:52,2458327.619,19.92
2018-07-28 04:38:26,2458327.693,19.81
2018-09-03 20:02:00,2458365.335,null
2018-09-03 21:48:45,2458365.409,null
2018-09-19 14:06:02,2458381.088,null
2018-09-19 15:52:12,2458381.161,20.24
2018-12-23 18:51:52,2458476.286,20.45
2018-12-23 23:05:35,2458476.462,null
2019-02-14 06:25:18,2458528.768,20.30
2019-02-14 10:38:57,2458528.944,null
2019-03-31 22:19:15,2458574.430,null
2019-04-01 00:05:41,2458574.504,15.69
2019-04-01 04:19:46,2458574.680,null
2019-04-01 06:05:56,2458574.754,null
2019-04-01 10:19:36,2458574.930,15.77
2019-04-01 12:06:11,2458575.004,15.71
2019-04-01 16:19:51,2458575.180,15.78
2019-04-01 18:06:25,2458575.254,15.80
2019-04-02 00:06:53,2458575.505,null
2019-04-08 06:12:39,2458581.759,null
2019-04-08 12:12:43,2458582.009,19.82
2019-04-08 16:26:55,2458582.185,null
2019-04-08 18:13:05,2458582.259,null
2019-04-08 22:26:38,2458582.435,19.85
2019-04-09 00:13:12,2458582.509,19.81
2019-04-09 04:27:21,2458582.686,null
2019-04-09 06:13:31,2458582.759,null
2019-04-09 10:27:16,2458582.936,null
2019-04-09 12:13:42,2458583.010,19.89
2019-04-09 16:27:22,2458583.186,19.93
2019-06-11 22:21:42,2458646.432,19.93
2019-06-12 00:08:16,2458646.506,19.87
2019-07-08 00:06:58,2458672.505,19.90
2019-08-19 07:09:26,2458714.798,null
2019-08-19 08:55:39,2458714.872,20.55
2019-10-06 04:44:09,2458762.697,19.41
2019-10-06 08:58:09,2458762.874,null
2019-10-06 10:44:53,2458762.948,null
2019-10-06 14:58:03,2458763.124,null
2019-10-06 16:44:36,2458763.198,untrusted
2019-10-06 20:58:32,2458763.374,null
2019-10-06 22:45:17,2458763.448,null
2019-10-07 02:58:30,2458763.624,19.54
2019-10-07 04:45:12,2458763.698,null
2019-10-07 08:58:43,2458763.874,19.58
2019-10-07 10:45:41,2458763.948,null
2019-10-07 14:58:57,2458764.124,19.62
2019-10-11 21:03:01,2458768.377,19.90
2019-10-12 03:03:15,2458768.627,19.58
2019-10-12 04:50:21,2458768.702,null
2019-10-12 09:03:30,2458768.877,null
2019-10-12 10:50:03,2458768.951,19.82
2019-10-12 15:04:00,2458769.128,null
2019-10-12 16:50:45,2458769.202,null
2019-10-12 21:03:55,2458769.378,null
2019-10-12 22:50:31,2458769.452,19.72
2019-10-13 03:04:24,2458769.628,null
2019-10-13 04:51:09,2458769.702,null
2019-10-13 09:04:24,2458769.878,19.84
2019-10-13 10:51:03,2458769.952,null
2019-10-13 16:51:33,2458770.202,null
2019-12-13 18:55:09,2458831.288,null
2019-12-13 23:08:38,2458831.464,20.62
2020-01-07 11:58:59,2458855.999,null
2020-01-07 13:45:19,2458856.073,untrusted
2020-02-05 21:03:44,2458885.378,20.53
2020-02-06 01:17:25,2458885.554,20.44

