Gaia19bgh
#Date,JD,averagemag.
2014-10-30 08:41:31,2456960.862,null
2014-11-30 14:16:22,2456992.095,19.29
2014-11-30 16:03:27,2456992.169,null
2014-12-23 16:03:24,2457015.169,untrusted
2015-02-21 21:55:57,2457075.414,null
2015-02-22 02:09:42,2457075.590,null
2015-02-22 03:55:52,2457075.664,null
2015-02-22 08:09:38,2457075.840,null
2015-02-22 09:56:23,2457075.914,null
2015-02-22 14:10:08,2457076.090,null
2015-02-22 15:56:18,2457076.164,null
2015-03-05 08:18:52,2457086.846,18.10
2015-03-05 10:05:26,2457086.920,18.29
2015-03-05 14:19:07,2457087.097,18.31
2015-03-05 16:05:41,2457087.171,18.34
2015-03-05 20:19:22,2457087.347,18.44
2015-03-05 22:05:56,2457087.421,18.45
2015-04-17 19:57:58,2457130.332,18.27
2015-04-17 21:44:33,2457130.406,18.31
2015-05-22 01:30:22,2457164.563,18.31
2015-06-11 19:32:21,2457185.314,null
2015-09-18 22:33:16,2457284.440,18.15
2015-09-19 00:19:50,2457284.514,18.38
2015-10-05 16:35:31,2457301.191,untrusted
2015-10-05 18:22:04,2457301.265,untrusted
2015-11-10 09:48:31,2457336.909,untrusted
2015-12-16 05:05:04,2457372.712,18.12
2015-12-16 09:18:43,2457372.888,untrusted
2015-12-16 11:05:17,2457372.962,17.99
2016-01-03 15:26:59,2457391.144,null
2016-01-03 17:13:09,2457391.217,null
2016-03-03 11:05:53,2457450.962,18.29
2016-03-03 15:19:34,2457451.139,18.14
2016-03-03 17:06:08,2457451.213,18.44
2016-03-22 21:29:48,2457470.396,18.02
2016-03-22 23:16:23,2457470.470,18.08
2016-04-28 09:08:26,2457506.881,18.33
2016-04-28 10:55:01,2457506.955,18.31
2016-06-04 08:28:29,2457543.853,18.27
2016-06-04 10:15:04,2457543.927,18.24
2016-06-21 04:20:55,2457560.681,18.13
2016-06-21 08:34:36,2457560.857,18.09
2016-09-28 05:34:16,2457659.732,null
2016-09-28 07:21:01,2457659.806,null
2016-10-18 19:17:17,2457680.304,18.12
2016-11-20 10:56:14,2457712.956,18.13
2016-11-20 12:42:48,2457713.030,18.25
2017-01-02 10:27:12,2457755.936,18.32
2017-01-02 12:13:46,2457756.010,18.15
2017-01-02 16:27:26,2457756.186,18.23
2017-01-02 18:14:00,2457756.260,18.10
2017-01-02 22:27:39,2457756.436,18.13
2017-01-03 00:14:13,2457756.510,18.10
2017-01-03 04:27:52,2457756.686,18.29
2017-01-11 22:34:48,2457765.441,18.03
2017-01-12 04:35:02,2457765.691,18.16
2017-01-12 06:21:36,2457765.765,18.26
2017-01-12 10:35:15,2457765.941,18.27
2017-01-12 12:22:02,2457766.015,null
2017-01-12 16:35:29,2457766.191,18.02
2017-01-12 18:22:03,2457766.265,18.19
2017-01-13 00:22:17,2457766.515,18.41
2017-03-14 17:53:08,2457827.245,18.28
2017-03-14 19:39:42,2457827.319,18.25
2017-04-07 19:43:47,2457851.322,17.94
2017-05-09 19:27:02,2457883.310,18.16
2017-06-18 22:48:47,2457923.451,18.16
2017-06-19 00:35:21,2457923.525,18.09
2017-07-01 10:56:27,2457935.956,18.32
2017-07-01 12:43:01,2457936.030,18.17
2017-10-08 19:59:31,2458035.333,untrusted
2017-10-08 21:46:05,2458035.407,18.36
2017-11-01 21:35:37,2458059.400,18.46
2017-12-01 15:13:42,2458089.135,19.03
2018-03-26 02:50:55,2458203.619,19.05
2018-04-23 00:59:29,2458231.541,19.06
2018-04-23 02:46:04,2458231.615,18.78
2018-05-21 00:48:54,2458259.534,18.53
2018-05-21 02:35:29,2458259.608,18.50
2018-07-03 11:45:58,2458302.990,18.54
2018-07-03 13:32:32,2458303.064,18.48
2018-07-03 17:46:13,2458303.240,18.41
2018-07-03 19:32:47,2458303.314,18.40
2018-07-10 23:52:19,2458310.495,18.23
2018-07-11 01:38:53,2458310.569,18.26
2018-07-11 05:52:34,2458310.745,18.32
2018-08-30 10:08:19,2458360.922,null
2018-08-30 11:54:45,2458360.996,18.29
2018-08-30 16:08:24,2458361.173,18.25
2018-08-30 17:54:58,2458361.247,18.47
2018-09-07 12:00:29,2458369.000,18.38
2018-09-07 16:14:09,2458369.176,18.25
2018-09-07 18:01:13,2458369.251,null
2018-10-19 15:04:09,2458411.128,18.32
2018-10-19 16:50:43,2458411.202,18.28
2018-11-16 04:32:37,2458438.689,18.46
2018-12-12 20:36:12,2458465.358,18.34
2018-12-12 22:22:46,2458465.432,18.35
2019-04-06 14:15:39,2458580.094,19.67
2019-04-06 16:02:13,2458580.168,19.44
2019-06-01 03:42:19,2458635.654,19.16
2019-10-10 23:10:58,2458767.466,null
2019-10-11 00:57:42,2458767.540,null
2019-11-10 12:26:14,2458798.018,null
2019-11-10 14:12:47,2458798.092,19.22
2019-12-03 13:14:33,2458821.052,19.41
2019-12-03 15:01:06,2458821.126,19.40
2020-03-06 20:58:03,2458915.374,19.60
2020-03-07 01:11:43,2458915.550,19.36
2020-03-19 19:30:42,2458928.313,18.95
2020-03-19 21:17:17,2458928.387,19.05
2020-04-27 09:41:56,2458966.904,18.77
2020-04-27 11:28:30,2458966.978,18.98

