Gaia19bjo
#Date,JD,averagemag.
2014-08-30 10:49:54,2456899.951,untrusted
2014-08-30 12:36:28,2456900.025,18.75
2014-10-03 19:43:07,2456934.322,untrusted
2014-10-03 21:29:41,2456934.396,untrusted
2015-01-06 06:25:30,2457028.768,18.84
2015-01-06 10:39:11,2457028.944,18.82
2015-01-24 22:40:53,2457047.445,untrusted
2015-01-25 00:27:27,2457047.519,18.82
2015-02-27 05:55:36,2457080.747,null
2015-04-09 03:46:39,2457121.657,null
2015-04-09 05:33:24,2457121.732,null
2015-04-09 09:47:10,2457121.908,null
2015-04-09 11:33:20,2457121.981,null
2015-04-23 03:57:38,2457135.665,18.79
2015-04-23 05:44:13,2457135.739,18.68
2015-04-23 09:57:53,2457135.915,18.81
2015-04-23 11:44:28,2457135.989,18.79
2015-04-23 15:58:08,2457136.165,18.74
2015-06-25 21:54:01,2457199.413,null
2015-06-25 23:40:03,2457199.486,18.83
2015-06-26 03:53:42,2457199.662,18.84
2015-06-26 05:40:16,2457199.736,18.85
2015-07-19 11:44:04,2457222.989,18.82
2015-07-19 15:57:43,2457223.165,18.85
2015-08-22 15:32:37,2457257.148,18.82
2015-08-22 17:19:11,2457257.222,18.84
2015-09-30 04:23:29,2457295.683,18.81
2015-10-13 20:42:09,2457309.363,null
2015-10-13 22:28:54,2457309.437,null
2016-01-16 11:42:46,2457403.988,18.81
2016-02-07 17:39:03,2457426.235,18.79
2016-02-07 19:25:38,2457426.309,18.80
2016-03-09 13:06:10,2457457.046,null
2016-07-06 18:50:08,2457576.285,18.77
2016-07-06 23:03:47,2457576.461,18.71
2016-08-03 06:44:27,2457603.781,null
2016-08-03 10:58:11,2457603.957,null
2016-09-01 22:39:08,2457633.444,18.81
2016-09-02 00:25:42,2457633.518,18.80
2016-10-13 05:18:21,2457674.721,18.80
2016-10-13 09:32:01,2457674.897,18.84
2016-10-22 03:37:39,2457683.651,18.80
2016-10-22 05:24:13,2457683.725,18.83
2016-10-22 09:38:13,2457683.902,null
2016-10-22 11:24:27,2457683.975,18.76
2016-12-09 09:38:00,2457731.901,18.79
2016-12-09 13:51:41,2457732.078,18.73
2016-12-09 15:38:15,2457732.152,18.82
2016-12-09 19:51:55,2457732.328,18.72
2016-12-15 01:56:35,2457737.581,18.83
2016-12-15 03:43:09,2457737.655,18.75
2017-01-25 20:35:03,2457779.358,18.79
2017-02-20 20:00:59,2457805.334,18.76
2017-02-20 21:47:34,2457805.408,18.79
2017-03-20 21:39:24,2457833.402,18.78
2017-03-21 01:53:05,2457833.579,18.78
2017-07-18 19:35:59,2457953.317,18.81
2017-07-18 21:22:33,2457953.391,18.83
2017-08-18 09:04:56,2457983.878,18.78
2017-09-13 01:06:53,2458009.546,18.71
2017-09-13 02:53:26,2458009.620,18.74
2017-10-27 19:36:50,2458054.317,null
2017-10-27 23:50:02,2458054.493,18.81
2017-10-28 01:36:36,2458054.567,untrusted
2017-10-28 05:50:16,2458054.743,18.74
2017-10-28 07:36:50,2458054.817,18.82
2017-10-28 11:50:30,2458054.993,18.73
2017-10-28 13:37:04,2458055.067,18.76
2017-10-28 17:50:43,2458055.244,18.78
2017-10-28 19:37:17,2458055.318,18.79
2017-10-28 23:50:56,2458055.494,18.78
2017-10-29 05:51:10,2458055.744,18.79
2017-10-29 11:51:23,2458055.994,18.77
2017-10-29 17:51:36,2458056.244,18.78
2017-10-29 23:51:50,2458056.494,18.79
2017-10-30 01:38:24,2458056.568,18.79
2017-10-30 05:52:03,2458056.744,18.78
2017-10-30 07:38:37,2458056.818,18.78
2017-10-30 11:52:17,2458056.995,18.84
2017-10-30 13:38:51,2458057.069,18.76
2017-10-30 17:52:31,2458057.245,untrusted
2017-10-30 19:39:05,2458057.319,18.73
2017-10-31 01:39:43,2458057.569,null
2017-12-18 05:54:59,2458105.747,18.82
2017-12-18 10:08:40,2458105.923,18.79
2017-12-18 11:55:14,2458105.997,18.76
2017-12-28 22:15:30,2458116.427,18.82
2017-12-29 00:02:04,2458116.501,18.80
2018-02-05 15:18:43,2458155.138,18.80
2018-03-07 09:02:09,2458184.876,18.78
2018-03-07 10:48:44,2458184.951,18.76
2018-04-01 09:04:19,2458209.878,18.75
2018-04-01 10:50:53,2458209.952,18.78
2018-06-04 21:03:12,2458274.377,18.71
2018-06-04 22:49:46,2458274.451,untrusted
2018-06-05 03:03:26,2458274.627,18.77
2018-06-05 04:50:00,2458274.701,18.80
2018-06-05 09:03:40,2458274.878,18.70
2018-06-05 10:50:14,2458274.952,18.75
2018-06-05 15:03:54,2458275.128,18.76
2018-06-05 16:50:35,2458275.202,null
2018-06-05 21:04:07,2458275.378,18.84
2018-06-05 22:50:41,2458275.452,18.81
2018-06-06 03:04:21,2458275.628,18.79
2018-06-06 04:50:55,2458275.702,18.74
2018-06-06 09:04:44,2458275.878,null
2018-06-06 10:51:08,2458275.952,18.81
2018-06-06 16:51:22,2458276.202,18.81
2018-06-06 22:51:35,2458276.452,18.79
2018-06-07 04:51:48,2458276.703,18.70
2018-06-09 16:54:00,2458279.204,18.79
2018-06-09 22:54:13,2458279.454,18.79
2018-06-10 04:54:27,2458279.704,18.75
2018-06-10 09:08:06,2458279.881,18.81
2018-06-10 10:54:40,2458279.955,18.81
2018-06-10 15:08:19,2458280.131,18.85
2018-06-10 16:54:53,2458280.205,18.79
2018-06-10 21:08:33,2458280.381,18.79
2018-06-10 22:55:07,2458280.455,18.76
2018-06-11 03:08:46,2458280.631,18.80
2018-06-11 04:55:20,2458280.705,18.81
2018-06-11 09:09:00,2458280.881,18.83
2018-06-11 10:55:34,2458280.955,18.82
2018-06-11 15:09:14,2458281.131,18.74
2018-06-11 16:55:48,2458281.205,18.78
2018-06-11 21:09:28,2458281.382,18.85
2018-07-30 14:45:08,2458330.115,18.73
2018-07-30 16:31:41,2458330.189,18.81
2018-09-02 02:15:10,2458363.594,null
2018-09-23 20:10:26,2458385.341,18.82
2018-12-27 18:53:06,2458480.287,18.77
2019-01-11 17:12:22,2458495.217,18.94
2019-02-16 10:27:42,2458530.936,null
2019-02-16 12:14:03,2458531.010,19.13
2019-03-22 22:06:12,2458565.421,19.13
2019-03-22 23:52:46,2458565.495,19.09
2019-04-12 16:15:37,2458586.178,19.34
2019-04-12 18:02:11,2458586.252,19.30
2019-04-12 22:16:04,2458586.428,null
2019-06-14 16:11:58,2458649.175,19.18
2019-06-14 17:58:32,2458649.249,19.16
2019-06-14 22:12:11,2458649.425,19.14
2019-06-14 23:58:45,2458649.499,19.17
2019-07-02 12:08:16,2458667.006,19.25
2019-07-02 16:22:19,2458667.182,null
2019-07-02 18:08:29,2458667.256,19.18
2019-07-02 22:22:08,2458667.432,19.19
2019-08-21 13:25:06,2458717.059,null
2019-08-21 15:11:15,2458717.133,18.93
2019-09-26 10:39:45,2458752.944,18.94
2019-09-26 14:53:24,2458753.120,untrusted
2019-10-16 21:22:15,2458773.390,18.87
2019-10-16 23:08:49,2458773.464,18.85
2019-10-17 03:22:28,2458773.641,18.86
2019-10-17 05:09:02,2458773.715,18.84
2019-12-16 07:10:07,2458833.799,null
2019-12-16 11:23:19,2458833.975,18.99
2019-12-16 13:09:53,2458834.049,18.96
2019-12-16 17:23:34,2458834.225,19.01
2020-01-02 17:47:27,2458851.241,18.94
2020-01-02 19:34:02,2458851.315,19.02
2020-02-08 13:27:37,2458888.061,untrusted
2020-03-31 15:50:16,2458940.160,19.00

