Gaia19bmc
#Date,JD,averagemag.
2014-08-26 15:26:09,2456896.143,null
2014-11-12 21:10:30,2456974.382,null
2014-11-27 05:00:58,2456988.709,null
2014-11-27 09:14:42,2456988.885,null
2015-01-29 03:37:11,2457051.651,20.94
2015-01-29 07:50:50,2457051.827,untrusted
2015-03-01 21:09:49,2457083.382,null
2015-04-10 06:56:46,2457122.789,null
2015-04-10 08:43:31,2457122.864,null
2015-05-04 19:03:57,2457147.294,null
2015-05-04 20:50:42,2457147.369,null
2015-05-05 01:03:52,2457147.544,null
2015-06-19 00:43:05,2457192.530,null
2015-06-19 02:29:50,2457192.604,null
2015-07-19 18:35:21,2457223.275,null
2015-08-18 12:22:24,2457253.016,null
2015-08-18 14:09:09,2457253.090,null
2015-09-26 05:28:47,2457291.728,null
2015-09-26 07:15:32,2457291.802,null
2015-10-13 07:19:18,2457308.805,null
2015-11-23 22:07:34,2457350.422,null
2015-11-23 23:54:19,2457350.496,null
2015-12-09 16:10:32,2457366.174,null
2016-02-11 20:49:25,2457430.368,null
2016-02-11 22:36:10,2457430.442,null
2016-03-13 02:31:24,2457460.605,null
2016-04-24 14:06:17,2457503.088,null
2016-04-24 15:53:02,2457503.162,null
2016-04-24 20:06:12,2457503.338,null
2016-05-19 02:14:31,2457527.593,null
2016-05-19 04:00:41,2457527.667,null
2016-06-30 19:53:19,2457570.329,null
2016-06-30 21:40:04,2457570.403,null
2016-08-02 07:37:10,2457602.817,null
2016-08-02 09:23:56,2457602.892,null
2016-08-29 07:29:00,2457629.812,null
2016-10-08 02:12:45,2457669.592,null
2016-10-23 12:31:09,2457685.022,null
2016-10-23 14:17:54,2457685.096,null
2016-12-03 23:05:41,2457726.462,20.20
2016-12-21 05:06:42,2457743.713,null
2016-12-21 06:53:26,2457743.787,null
2017-01-26 10:10:08,2457779.924,null
2017-01-26 11:56:33,2457779.998,20.19
2017-02-24 18:58:25,2457809.291,null
2017-02-24 23:12:09,2457809.467,null
2017-03-25 11:02:40,2457837.960,null
2017-03-25 12:49:25,2457838.034,null
2017-05-09 10:38:59,2457882.944,19.94
2017-05-09 12:25:34,2457883.018,20.05
2017-06-03 18:32:41,2457908.273,19.97
2017-06-03 22:46:21,2457908.449,19.95
2017-06-04 00:32:56,2457908.523,19.93
2017-07-13 10:25:41,2457947.935,20.09
2017-08-16 16:00:45,2457982.167,null
2017-08-16 17:47:30,2457982.241,null
2017-09-09 17:42:28,2458006.238,20.34
2017-10-20 14:45:31,2458047.115,20.34
2017-10-20 16:32:05,2458047.189,20.28
2017-11-03 20:50:40,2458061.369,null
2017-11-03 22:37:25,2458061.443,null
2017-12-14 19:27:43,2458102.311,null
2018-01-03 01:25:26,2458121.559,null
2018-01-03 03:11:42,2458121.633,20.84
2018-02-06 18:38:02,2458156.276,null
2018-02-06 20:24:47,2458156.351,null
2018-03-11 08:00:32,2458188.834,19.81
2018-04-07 06:12:14,2458215.758,null
2018-04-07 07:58:28,2458215.832,20.46
2018-05-23 13:36:22,2458262.067,19.87
2018-05-23 17:50:02,2458262.243,untrusted
2018-06-19 11:54:00,2458288.996,19.76
2018-06-19 13:40:34,2458289.070,null
2018-07-25 17:34:56,2458325.233,20.73
2018-07-25 19:21:31,2458325.307,null
2018-09-21 04:59:26,2458382.708,20.07
2018-11-01 15:42:12,2458424.154,19.76
2018-11-15 11:33:30,2458437.982,20.04
2018-11-15 15:47:10,2458438.158,20.06
2018-12-25 14:28:34,2458478.103,null
2018-12-25 16:15:19,2458478.177,null
2019-01-16 04:08:25,2458499.673,20.13
2019-02-18 09:31:08,2458532.897,untrusted
2019-03-26 07:18:30,2458568.805,19.53
2019-03-26 09:05:04,2458568.879,19.43
2019-04-20 19:21:54,2458594.307,19.08
2019-04-20 21:08:29,2458594.381,19.03
2019-06-06 02:47:15,2458640.616,20.01
2019-06-06 07:00:55,2458640.792,20.08
2019-07-05 01:00:23,2458669.542,null
2019-07-05 02:46:33,2458669.616,null
2019-07-19 14:30:27,2458684.104,19.50
2019-07-19 16:17:01,2458684.178,19.43
2019-08-23 16:12:14,2458719.175,null
2019-08-23 17:58:24,2458719.249,null
2019-09-29 17:47:44,2458756.241,null
2019-09-29 19:34:29,2458756.316,null

