Gaia19bmo
#Date,JD,averagemag.
2014-10-23 07:39:56,2456953.819,untrusted
2014-10-23 09:26:29,2456953.893,untrusted
2014-11-17 07:30:55,2456978.813,19.12
2014-11-17 09:17:29,2456978.887,19.14
2014-12-13 15:00:12,2457005.125,untrusted
2015-05-02 14:42:13,2457145.113,null
2015-06-25 08:31:38,2457198.855,untrusted
2015-06-25 10:18:13,2457198.929,19.28
2015-11-02 20:48:33,2457329.367,19.29
2015-12-01 20:25:39,2457358.351,19.28
2015-12-23 10:05:21,2457379.920,19.22
2016-05-12 09:51:43,2457520.911,19.15
2016-06-14 09:33:20,2457553.898,19.15
2016-06-14 11:19:55,2457553.972,19.13
2016-07-04 09:41:38,2457573.904,19.24
2016-07-04 11:28:12,2457573.978,19.16
2016-07-04 15:41:54,2457574.154,19.15
2016-11-12 09:57:05,2457704.915,19.16
2016-11-12 11:43:38,2457704.989,19.15
2016-12-15 03:19:47,2457737.639,19.17
2016-12-15 05:06:21,2457737.713,19.17
2016-12-31 15:21:41,2457754.140,19.17
2016-12-31 17:08:14,2457754.214,19.19
2017-04-04 08:42:04,2457847.863,19.08
2017-04-04 12:55:45,2457848.039,19.12
2017-04-04 14:42:20,2457848.113,19.12
2017-04-14 19:03:39,2457858.294,19.06
2017-04-14 20:50:14,2457858.368,19.11
2017-05-23 08:11:40,2457896.841,19.09
2017-05-23 12:25:21,2457897.018,19.16
2017-07-02 06:01:07,2457936.751,19.14
2017-07-02 07:47:42,2457936.825,19.14
2017-07-02 12:01:23,2457937.001,19.15
2017-07-02 13:47:57,2457937.075,19.15
2017-07-11 19:56:17,2457946.331,19.14
2017-07-12 00:09:58,2457946.507,19.13
2017-07-12 01:56:33,2457946.581,19.13
2017-07-12 06:10:22,2457946.757,null
2017-07-12 07:56:48,2457946.831,untrusted
2017-10-06 00:56:07,2458032.539,19.11
2017-10-06 02:42:41,2458032.613,19.13
2017-10-06 06:56:20,2458032.789,19.13
2017-10-06 08:42:53,2458032.863,19.12
2017-10-16 08:49:41,2458042.868,null
2017-10-16 13:03:08,2458043.044,19.16
2017-10-16 14:49:42,2458043.118,19.09
2017-10-16 19:03:21,2458043.294,19.18
2017-11-23 00:27:51,2458080.519,19.14
2017-11-23 02:14:48,2458080.594,null
2017-12-30 05:37:22,2458117.734,19.13
2017-12-30 07:23:56,2458117.808,19.19
2018-01-08 11:42:51,2458126.988,19.17
2018-01-08 13:29:25,2458127.062,19.13
2018-01-08 17:43:04,2458127.238,19.15
2018-01-08 19:29:37,2458127.312,19.17
2018-04-12 19:56:40,2458221.331,19.22
2018-04-12 21:43:14,2458221.405,19.15
2018-04-30 09:49:15,2458238.909,19.15
2018-06-03 13:36:54,2458273.067,untrusted
2018-06-03 15:23:29,2458273.141,19.09
2018-10-13 20:00:52,2458405.334,19.19
2018-10-13 21:47:26,2458405.408,19.14
2018-11-02 14:03:23,2458425.086,19.20
2018-12-03 13:35:34,2458456.066,19.15
2018-12-03 15:22:08,2458456.140,19.16
2019-04-22 10:48:34,2458595.950,18.80
2019-04-22 15:02:15,2458596.127,18.82
2019-05-15 15:01:46,2458619.126,null
2019-06-14 16:35:13,2458649.191,18.86
2019-06-14 20:48:54,2458649.367,18.90
2019-10-26 10:54:16,2458782.954,18.77
2019-10-26 12:40:49,2458783.028,18.72
2019-11-18 01:25:37,2458805.559,18.71
2019-12-16 08:32:42,2458833.856,18.75
2020-04-20 04:29:48,2458959.687,18.83
2020-04-20 06:16:23,2458959.761,18.84

