Gaia19bne
#Date,JD,averagemag.
2014-08-29 04:44:14,2456898.697,13.19
2014-08-29 06:30:48,2456898.771,13.17
2014-10-03 13:36:32,2456934.067,untrusted
2014-11-17 00:04:26,2456978.503,13.43
2014-11-17 01:51:00,2456978.577,13.44
2014-11-17 06:04:40,2456978.753,13.45
2014-11-24 06:10:09,2456985.757,13.45
2014-11-24 07:56:43,2456985.831,13.45
2015-01-06 04:46:20,2457028.699,13.29
2015-01-06 06:32:55,2457028.773,13.32
2015-01-26 10:45:16,2457048.948,13.46
2015-01-26 12:31:51,2457049.022,13.46
2015-02-28 10:15:01,2457081.927,null
2015-02-28 12:01:46,2457082.001,null
2015-04-09 03:52:55,2457121.662,13.38
2015-04-09 05:39:29,2457121.736,13.31
2015-04-28 05:50:55,2457140.744,13.12
2015-04-28 10:04:35,2457140.920,13.18
2015-04-28 11:51:17,2457140.994,null
2015-04-28 16:04:50,2457141.170,13.15
2015-06-22 21:49:51,2457196.410,null
2015-06-22 23:36:36,2457196.484,null
2015-07-19 05:36:33,2457222.734,13.43
2015-08-21 05:14:17,2457255.718,null
2015-09-28 10:18:27,2457293.929,13.46
2015-09-28 14:32:07,2457294.106,13.49
2015-10-13 22:22:10,2457309.432,13.43
2015-11-27 14:44:58,2457354.115,13.45
2015-11-27 18:58:39,2457354.291,13.46
2015-11-27 20:45:13,2457354.365,13.47
2015-12-06 07:04:47,2457362.795,13.48
2015-12-06 08:51:22,2457362.869,13.49
2015-12-06 13:05:02,2457363.045,13.45
2015-12-06 14:51:36,2457363.119,untrusted
2016-01-16 17:50:20,2457404.243,13.38
2016-03-10 23:25:15,2457458.476,13.26
2016-03-11 01:11:50,2457458.550,13.27
2016-04-25 17:05:16,2457504.212,13.28
2016-04-25 23:05:31,2457504.462,untrusted
2016-04-26 00:52:05,2457504.536,13.28
2016-04-26 05:05:49,2457504.712,null
2016-04-26 06:52:20,2457504.786,13.27
2016-05-11 07:03:47,2457519.794,13.26
2016-05-11 11:17:27,2457519.970,13.24
2016-05-11 13:04:01,2457520.044,13.27
2016-05-11 17:17:41,2457520.221,13.27
2016-05-11 19:04:15,2457520.295,13.27
2016-07-04 11:00:24,2457573.959,null
2016-07-04 12:46:33,2457574.032,null
2016-08-02 16:51:08,2457603.202,null
2016-08-31 16:33:29,2457632.190,null
2016-08-31 18:20:13,2457632.264,null
2016-10-10 23:14:08,2457672.468,null
2016-10-11 03:27:17,2457672.644,null
2016-10-23 05:19:23,2457684.722,null
2016-10-23 09:33:08,2457684.898,null
2016-12-06 21:40:26,2457729.403,null
2016-12-07 01:54:11,2457729.579,null
