Gaia19bpf
#Date,JD,averagemag.
2014-07-29 16:40:35,2456868.195,untrusted
2014-07-29 20:54:16,2456868.371,20.21
2014-07-29 22:41:12,2456868.445,null
2014-07-30 02:54:57,2456868.621,null
2014-07-30 04:41:06,2456868.695,20.15
2014-07-30 08:54:54,2456868.871,null
2014-07-30 10:41:21,2456868.945,20.17
2014-10-22 13:16:27,2456953.053,untrusted
2014-10-22 15:03:01,2456953.127,untrusted
2014-11-10 07:23:25,2456971.808,null
2014-11-10 09:09:34,2456971.882,untrusted
2015-01-19 23:58:55,2457042.499,20.06
2015-01-20 01:45:29,2457042.573,20.27
2015-02-01 18:03:50,2457055.253,20.13
2015-02-01 19:50:24,2457055.327,20.05
2015-05-08 16:39:11,2457151.194,null
2015-05-30 08:53:52,2457172.871,null
2015-07-02 10:18:47,2457205.930,null
2015-07-02 14:32:33,2457206.106,null
2015-11-02 02:25:34,2457328.601,20.23
2015-11-02 04:12:07,2457328.675,20.33
2015-11-25 20:23:08,2457352.349,20.51
2015-11-25 22:09:42,2457352.423,19.91
2015-12-25 03:47:04,2457381.658,null
2016-02-03 08:40:16,2457421.861,20.00
2016-02-03 12:53:55,2457422.037,19.99
2016-02-03 14:40:29,2457422.111,20.22
2016-02-10 00:58:43,2457428.541,20.31
2016-02-10 02:45:17,2457428.615,untrusted
2016-05-18 09:58:45,2457526.916,20.15
2016-06-13 03:52:56,2457552.662,20.18
2016-06-13 05:39:31,2457552.736,20.25
2016-07-13 03:43:41,2457582.655,20.37
2016-07-13 05:30:15,2457582.729,20.35
2016-11-11 21:34:39,2457704.399,20.25
2016-11-11 23:21:12,2457704.473,20.22
2016-12-09 09:20:45,2457731.889,null
2016-12-09 11:06:54,2457731.963,untrusted
2017-01-03 15:05:55,2457757.129,null
2017-01-03 16:52:04,2457757.203,20.40
2017-04-10 21:09:33,2457854.382,20.43
2017-04-11 01:23:13,2457854.558,20.31
2017-04-11 03:09:48,2457854.632,20.32
2017-04-11 07:23:57,2457854.808,null
2017-04-11 09:10:03,2457854.882,20.40
2017-04-11 13:23:43,2457855.058,20.29
2017-04-15 07:27:15,2457858.811,20.38
2017-04-15 13:27:29,2457859.061,20.29
2017-04-15 15:14:04,2457859.135,untrusted
2017-04-15 19:27:45,2457859.311,20.42
2017-04-15 21:14:19,2457859.385,20.34
2017-05-29 08:15:39,2457902.844,20.28
2017-06-28 12:16:26,2457933.011,20.34
2017-06-28 14:03:00,2457933.085,20.25
2017-07-24 14:04:22,2457959.086,untrusted
2017-07-24 18:18:03,2457959.263,20.26
2017-11-23 00:06:06,2458080.504,20.29
2017-12-23 11:38:27,2458110.985,20.51
2017-12-23 13:25:00,2458111.059,20.44
2018-01-13 19:18:20,2458132.304,20.23
2018-04-19 04:04:36,2458227.670,20.14
2018-04-19 08:18:17,2458227.846,20.23
2018-05-01 02:25:47,2458239.601,20.38
2018-05-01 04:12:22,2458239.675,20.14
2018-06-09 15:25:09,2458279.142,20.43
2018-07-14 13:20:13,2458314.056,null
2018-07-14 15:06:19,2458314.129,20.05
2018-08-04 15:15:37,2458335.136,20.10
2018-08-04 19:29:34,2458335.312,null
2018-08-04 21:15:52,2458335.386,20.15
2018-10-14 01:38:16,2458405.568,null
2018-10-14 07:38:02,2458405.818,20.35
2018-10-14 09:24:36,2458405.892,20.26
2018-10-14 13:38:15,2458406.068,20.16
2018-10-14 15:24:49,2458406.142,untrusted
2018-10-14 19:38:28,2458406.318,untrusted
2018-10-14 21:25:02,2458406.392,untrusted
2018-10-22 15:31:12,2458414.147,20.03
2018-10-22 19:44:51,2458414.323,20.06
2018-10-22 21:31:25,2458414.397,untrusted
2018-10-23 01:45:04,2458414.573,20.19
2018-10-23 03:31:38,2458414.647,20.32
2018-10-23 07:45:17,2458414.823,20.30
2018-12-03 21:00:51,2458456.376,20.07
2019-01-06 08:19:38,2458489.847,20.18
2019-01-23 14:20:01,2458507.097,20.30
2019-04-28 17:04:25,2458602.211,14.37
2019-04-28 21:18:06,2458602.388,14.39
2019-05-15 21:23:42,2458619.391,18.73
2019-05-15 23:10:17,2458619.465,18.80
2019-06-21 04:35:47,2458655.692,19.85
2019-07-27 06:19:19,2458691.763,19.83
2019-07-27 10:33:00,2458691.940,19.92
2019-11-01 16:50:37,2458789.202,19.79
2019-11-18 11:17:36,2458805.971,untrusted
2019-12-22 12:57:44,2458840.040,20.05
2020-01-30 22:22:45,2458879.432,20.13
2020-01-31 02:36:25,2458879.609,20.09
2020-01-31 04:22:58,2458879.683,untrusted
2020-01-31 08:36:42,2458879.859,null
2020-02-10 20:47:33,2458890.366,20.12
2020-02-10 22:34:07,2458890.440,20.14
2020-02-11 02:47:47,2458890.617,20.08
2020-02-11 04:34:20,2458890.691,20.12
2020-02-11 08:48:00,2458890.867,20.12
2020-02-11 10:34:34,2458890.941,20.10
2020-04-19 06:38:08,2458958.776,20.16
2020-04-19 10:51:49,2458958.953,20.12
2020-04-19 12:38:23,2458959.027,19.94
2020-05-09 05:22:39,2458978.724,20.02
2020-05-09 07:09:14,2458978.798,untrusted

