Gaia19bpn
#Date,JD,averagemag.
2014-07-25 11:25:41,2456863.976,null
2014-07-25 15:39:17,2456864.152,20.78
2014-07-25 17:26:11,2456864.227,null
2014-07-25 21:39:56,2456864.403,null
2014-07-25 23:26:06,2456864.476,null
2014-07-26 03:39:51,2456864.653,null
2014-07-26 05:26:36,2456864.727,null
2014-07-26 09:40:21,2456864.903,null
2014-07-26 11:27:06,2456864.977,null
2014-07-26 15:40:16,2456865.153,null
2014-07-26 17:27:01,2456865.227,null
2014-07-26 21:40:46,2456865.403,null
2014-07-26 23:27:31,2456865.477,null
2014-07-27 03:40:42,2456865.653,20.73
2014-07-27 05:27:26,2456865.727,null
2014-07-27 09:41:11,2456865.904,null
2014-07-27 11:27:56,2456865.978,null
2014-07-27 15:41:41,2456866.154,null
2014-07-27 17:27:51,2456866.228,null
2014-07-27 21:41:36,2456866.404,null
2014-07-27 23:28:21,2456866.478,null
2014-07-28 03:42:06,2456866.654,null
2014-07-28 05:28:16,2456866.728,null
2014-07-28 09:42:01,2456866.904,null
2014-07-28 11:28:46,2456866.978,null
2014-07-28 15:42:31,2456867.155,null
2014-07-28 17:28:41,2456867.228,null
2014-07-28 21:42:22,2456867.404,untrusted
2014-07-28 23:29:11,2456867.479,null
2014-07-29 03:42:56,2456867.655,null
2014-07-29 05:29:41,2456867.729,null
2014-07-29 09:42:51,2456867.905,null
2014-07-29 11:29:36,2456867.979,null
2014-07-29 15:43:21,2456868.155,null
2014-07-29 17:30:06,2456868.229,null
2014-07-29 21:43:19,2456868.405,20.69
2014-07-29 23:30:01,2456868.479,null
2014-07-30 03:43:46,2456868.655,null
2014-07-30 05:30:31,2456868.730,null
2014-07-30 09:44:16,2456868.906,null
2014-07-30 11:30:26,2456868.979,null
2014-07-30 15:44:11,2456869.156,null
2014-07-30 17:30:56,2456869.230,null
2014-07-30 21:44:41,2456869.406,null
2014-07-30 23:30:51,2456869.480,null
2014-07-31 03:44:36,2456869.656,null
2014-07-31 05:31:21,2456869.730,null
2014-07-31 09:45:06,2456869.906,null
2014-07-31 11:31:51,2456869.980,null
2014-07-31 15:45:01,2456870.156,null
2014-07-31 17:31:46,2456870.230,null
2014-07-31 21:45:31,2456870.407,null
2014-07-31 23:32:16,2456870.481,null
2014-08-01 03:45:26,2456870.657,null
2014-08-01 05:32:11,2456870.731,null
