Gaia19bpy
#Date,JD,averagemag.
2014-07-26 04:06:38,2456864.671,null
2014-07-26 10:06:33,2456864.921,null
2014-07-26 11:53:17,2456864.995,null
2014-07-26 16:07:02,2456865.172,null
2014-07-26 17:53:47,2456865.246,null
2014-07-26 22:07:31,2456865.422,null
2014-07-26 23:53:41,2456865.496,null
2014-07-27 04:07:25,2456865.672,null
2014-07-27 05:54:10,2456865.746,null
2014-07-27 10:07:55,2456865.922,null
2014-07-27 11:54:02,2456865.996,untrusted
2014-07-27 17:54:15,2456866.246,20.69
2014-09-27 01:00:27,2456927.542,untrusted
2014-11-05 23:51:12,2456967.494,null
2014-11-06 01:37:57,2456967.568,null
2014-12-31 17:16:23,2457023.220,20.56
2014-12-31 19:02:57,2457023.294,20.53
2015-02-05 10:53:44,2457058.954,19.52
2015-02-05 12:40:19,2457059.028,19.53
2015-03-02 22:57:36,2457084.457,null
2015-03-03 00:43:46,2457084.530,null
2015-04-14 22:33:14,2457127.440,null
2015-04-15 00:19:27,2457127.514,untrusted
2015-05-14 12:10:56,2457157.008,null
2015-05-14 16:24:06,2457157.183,20.51
2015-06-14 22:05:08,2457188.420,null
2015-06-14 23:51:18,2457188.494,null
2015-07-23 03:13:49,2457226.635,null
2015-07-23 04:59:59,2457226.708,null
2015-08-11 15:14:02,2457246.135,null
2015-08-11 17:00:12,2457246.208,null
2015-09-23 01:54:04,2457288.579,null
2015-10-09 09:44:14,2457304.906,19.61
2015-11-17 06:55:08,2457343.788,20.62
2015-12-12 12:45:21,2457369.031,20.84
2015-12-12 14:32:05,2457369.106,null
2016-01-12 12:25:26,2457400.018,null
2016-01-12 14:11:39,2457400.091,20.73
2016-02-20 00:02:01,2457438.501,null
2016-02-20 01:48:11,2457438.575,null
2016-02-20 06:01:49,2457438.751,untrusted
2016-03-16 01:53:10,2457463.579,20.57
2016-03-16 06:07:12,2457463.755,null
2016-04-26 17:42:10,2457505.238,null
2016-04-26 19:28:20,2457505.311,null
2016-05-28 05:25:16,2457536.726,untrusted
2016-06-25 23:10:36,2457565.466,null
2016-06-26 00:56:45,2457565.539,null
2016-08-04 11:57:02,2457604.998,null
2016-08-04 16:10:47,2457605.174,null
2016-08-22 10:13:38,2457622.926,null
2016-10-03 14:53:09,2457665.120,null
2016-10-21 02:55:34,2457682.622,null
2016-10-21 04:42:19,2457682.696,null
2016-11-27 14:00:36,2457720.084,untrusted
2016-12-25 03:33:32,2457747.648,null
2017-01-23 13:34:41,2457777.066,null
2017-01-23 15:20:50,2457777.139,untrusted
2017-03-05 14:33:24,2457818.107,null
2017-03-05 16:19:53,2457818.180,20.70
2017-03-30 20:38:09,2457843.360,null
2017-03-30 22:24:54,2457843.434,null
2017-05-09 08:12:44,2457882.842,null
2017-05-09 09:59:29,2457882.916,null
2017-06-11 13:47:47,2457916.075,null
2017-06-11 15:34:32,2457916.149,null
2017-07-07 19:36:48,2457942.317,20.70
2017-07-07 21:23:22,2457942.391,20.73
2017-08-17 14:16:36,2457983.095,null
2017-09-03 00:33:53,2457999.524,19.55
2017-09-03 02:20:27,2457999.598,19.60
2017-10-14 19:02:07,2458041.293,null
2017-10-14 23:15:19,2458041.469,untrusted
2017-11-03 01:02:29,2458060.543,null
2017-12-08 22:29:58,2458096.437,null
2018-02-04 22:06:35,2458154.421,null
2018-02-04 23:53:20,2458154.495,null
2018-03-19 15:42:55,2458197.155,20.73
2018-03-19 17:29:47,2458197.229,null
2018-04-14 21:44:46,2458223.406,untrusted
2018-04-14 23:31:26,2458223.480,null
2018-06-25 20:46:30,2458295.366,null
2018-07-19 14:40:02,2458319.111,null
2018-07-19 16:26:47,2458319.185,null
2018-08-30 07:27:27,2458360.811,null
2018-09-15 01:31:42,2458376.564,untrusted
2018-09-15 03:18:47,2458376.638,null
2018-10-26 02:03:18,2458417.586,null
2018-12-20 07:23:26,2458472.808,null
2019-01-22 05:16:13,2458505.720,20.58
2019-01-22 07:02:48,2458505.794,20.67
2019-02-17 19:02:41,2458532.294,null
2019-02-17 23:16:26,2458532.470,null
2019-04-02 04:52:28,2458575.703,untrusted
2019-04-02 06:39:02,2458575.777,20.75
2019-04-29 22:49:44,2458603.451,19.06
2019-04-30 00:36:18,2458603.525,19.14
2019-06-03 00:13:41,2458637.510,20.59
2019-07-09 17:31:04,2458674.230,null
2019-07-26 05:47:37,2458690.741,20.65
2019-08-23 00:38:56,2458718.527,null
2019-08-23 02:25:27,2458718.601,20.41
2019-08-23 06:39:26,2458718.777,null
2019-10-06 14:26:02,2458763.101,untrusted
2019-10-06 16:12:56,2458763.176,null
2019-11-03 03:21:44,2458790.640,20.34
2019-11-03 05:08:19,2458790.714,20.40
2019-12-05 10:46:49,2458822.949,untrusted
2019-12-05 12:33:52,2458823.024,null
2020-01-09 00:38:11,2458857.527,null
2020-01-09 02:24:16,2458857.600,20.68
2020-01-29 03:06:03,2458877.629,20.44
2020-03-09 09:55:16,2458917.913,20.64
2020-03-09 11:41:50,2458917.987,20.70
2020-03-24 22:20:27,2458933.431,untrusted
2020-05-04 06:45:45,2458973.782,20.61

