Gaia19bqr
#Date,JD,averagemag.
2014-11-04 05:23:23,2456965.725,null
2014-11-04 07:09:33,2456965.798,null
2014-11-24 11:24:05,2456985.975,null
2015-04-23 22:50:52,2457136.452,null
2015-04-24 00:37:37,2457136.526,null
2015-04-24 04:51:21,2457136.702,null
2015-05-18 04:50:54,2457160.702,null
2015-05-18 06:37:04,2457160.776,null
2015-06-18 16:28:03,2457192.186,null
2015-06-18 18:14:48,2457192.260,null
2015-07-31 11:12:03,2457234.967,null
2015-07-31 15:25:47,2457235.143,null
2015-07-31 17:11:56,2457235.217,null
2015-08-07 09:30:40,2457241.896,null
2015-08-07 11:17:24,2457241.970,null
2015-08-07 15:30:34,2457242.146,null
2015-08-07 17:17:18,2457242.220,null
2015-11-14 12:28:56,2457341.020,null
2015-12-08 12:22:33,2457365.016,null
2015-12-08 14:09:19,2457365.090,null
2016-01-05 18:09:59,2457393.257,null
2016-01-05 19:56:44,2457393.331,null
2016-05-04 06:00:27,2457512.750,null
2016-05-04 07:47:12,2457512.824,null
2016-06-01 13:35:18,2457541.066,null
2016-10-09 10:20:41,2457670.931,null
2016-10-09 16:21:12,2457671.181,null
2016-10-09 20:34:23,2457671.357,null
2016-10-09 22:21:08,2457671.431,null
2016-10-10 02:34:53,2457671.608,null
2016-10-10 04:21:39,2457671.682,null
2016-10-10 08:35:24,2457671.858,null
2016-10-10 10:21:35,2457671.932,null
2016-10-10 14:35:20,2457672.108,null
2016-10-10 16:22:06,2457672.182,null
2016-10-10 20:35:51,2457672.358,null
2016-10-10 22:22:02,2457672.432,null
2016-10-11 02:35:47,2457672.608,null
2016-10-11 04:22:33,2457672.682,null
2016-11-23 21:22:30,2457716.391,null
2016-12-21 19:22:09,2457744.307,null
2016-12-21 21:08:54,2457744.381,null
2017-01-15 13:21:13,2457769.056,null
2017-01-15 15:07:58,2457769.131,null
2017-05-15 14:32:10,2457889.106,null
2017-05-15 16:18:54,2457889.180,null
2017-06-16 14:07:21,2457921.088,null
2017-06-16 15:54:06,2457921.163,null
2017-10-16 12:36:45,2458043.026,null
2017-10-16 16:49:55,2458043.201,null
2017-10-27 04:57:11,2458053.706,null
2017-10-27 06:43:57,2458053.781,null
2017-12-04 11:53:54,2458091.996,null
2018-01-05 21:46:39,2458124.407,null
2018-01-25 21:54:41,2458144.413,null
2018-01-25 23:40:52,2458144.487,null
2018-01-26 03:54:38,2458144.663,null
2018-04-06 10:04:44,2458214.920,null
2018-04-06 16:05:13,2458215.170,null
2018-04-06 17:51:23,2458215.244,null
2018-04-06 22:05:07,2458215.420,null
2018-04-06 23:51:52,2458215.494,null
2018-04-07 04:05:36,2458215.671,null
2018-04-07 05:51:46,2458215.744,null
2018-04-07 10:05:30,2458215.920,null
2018-04-07 11:52:15,2458215.995,null
2018-04-07 16:05:59,2458216.171,null
2018-04-07 17:52:44,2458216.245,null
2018-04-07 22:05:53,2458216.421,null
2018-04-07 23:52:38,2458216.495,null
2018-04-08 04:06:23,2458216.671,null
2018-04-08 05:53:07,2458216.745,null
2018-04-08 10:06:17,2458216.921,null
2018-04-08 11:53:01,2458216.995,null
2018-04-08 17:53:31,2458217.245,null
2018-04-08 23:53:25,2458217.495,null
2018-04-09 05:53:54,2458217.746,null
2018-04-09 11:53:48,2458217.996,null
2018-04-09 17:54:17,2458218.246,null
2018-04-09 23:54:11,2458218.496,null
2018-04-10 04:07:55,2458218.672,null
2018-04-10 05:54:40,2458218.746,null
2018-04-10 10:08:24,2458218.923,null
2018-04-10 11:55:09,2458218.997,null
2018-04-10 16:08:18,2458219.172,null
2018-04-10 17:55:03,2458219.247,null
2018-04-10 22:08:47,2458219.423,null
2018-04-10 23:55:32,2458219.497,null
2018-04-11 04:08:41,2458219.673,null
2018-04-11 05:55:26,2458219.747,null
2018-04-11 10:09:10,2458219.923,null
2018-04-11 11:55:55,2458219.997,null
2018-04-11 16:09:39,2458220.173,null
2018-04-11 17:55:49,2458220.247,null
2018-04-11 22:09:33,2458220.423,null
2018-05-27 03:41:26,2458265.654,null
2018-05-27 05:27:36,2458265.728,null
2018-07-01 10:49:40,2458300.951,null
2018-07-20 03:04:10,2458319.628,null
2018-07-20 04:50:54,2458319.702,null
2018-10-25 17:49:09,2458417.242,null
2018-10-25 19:35:54,2458417.317,null
2018-11-10 17:55:16,2458433.247,null
2018-12-15 07:03:36,2458467.794,null
2019-01-22 16:53:31,2458506.204,null
2019-01-22 18:39:41,2458506.278,null
2019-02-03 18:49:26,2458518.284,null
2019-02-03 23:03:11,2458518.461,null
2019-02-04 00:49:57,2458518.535,null
2019-02-04 05:03:42,2458518.711,null
2019-02-04 06:50:28,2458518.785,null
2019-04-13 17:10:24,2458587.216,null
2019-04-13 18:57:09,2458587.290,null
2019-04-13 23:10:53,2458587.466,null
2019-04-14 00:57:03,2458587.540,null
2019-05-02 01:04:34,2458605.545,18.03
2019-05-02 05:18:14,2458605.721,18.07
2019-06-07 16:49:30,2458642.201,null
2019-07-16 05:44:49,2458680.739,null
2019-07-26 19:58:04,2458691.332,null
2019-07-27 00:11:48,2458691.508,null
2019-07-27 01:58:33,2458691.582,null
2019-07-27 06:12:17,2458691.759,null
2019-08-08 00:24:27,2458703.517,null
2019-08-08 02:11:12,2458703.591,null
2019-08-08 06:24:56,2458703.767,null
2019-08-08 08:11:06,2458703.841,null
2019-08-08 12:24:51,2458704.017,null
2019-08-08 14:11:35,2458704.091,null

