Gaia19bve
#Date,JD,averagemag.
2014-10-27 20:42:05,2456958.363,null
2014-10-28 00:55:14,2456958.538,null
2014-10-28 02:41:59,2456958.612,null
2014-10-28 06:55:44,2456958.789,null
2014-10-28 08:42:29,2456958.863,null
2014-10-28 12:55:39,2456959.039,null
2014-10-28 14:42:24,2456959.113,null
2014-10-28 18:56:09,2456959.289,null
2015-01-14 07:57:30,2457036.832,null
2015-02-07 17:58:28,2457061.249,null
2015-02-07 19:45:13,2457061.323,null
2015-03-21 06:27:51,2457102.769,null
2015-03-21 10:41:36,2457102.946,null
2015-03-29 22:47:14,2457111.449,null
2015-03-30 00:33:59,2457111.524,null
2015-05-15 15:09:57,2457158.132,null
2015-05-15 16:56:43,2457158.206,null
2015-05-29 21:17:07,2457172.387,null
2015-05-29 23:03:18,2457172.461,null
2015-07-08 16:11:24,2457212.175,null
2015-07-08 20:25:10,2457212.351,null
2015-08-09 14:09:25,2457244.090,null
2015-08-09 15:56:11,2457244.164,null
2015-09-05 03:58:09,2457270.665,null
2015-09-05 08:11:20,2457270.841,null
2015-10-30 13:58:48,2457326.083,null
2015-10-30 15:44:57,2457326.156,null
2015-10-30 19:58:42,2457326.332,null
2015-10-30 21:45:27,2457326.407,null
2015-11-15 15:55:22,2457342.163,null
2015-11-15 20:09:07,2457342.340,null
2015-11-15 21:55:51,2457342.414,null
2015-11-16 02:09:36,2457342.590,null
2015-12-27 01:40:36,2457383.570,null
2015-12-27 03:26:45,2457383.644,null
2016-01-28 01:07:32,2457415.547,null
2016-01-28 02:54:16,2457415.621,null
2016-02-18 07:01:26,2457436.793,null
2016-02-18 08:48:10,2457436.867,null
2016-04-02 01:22:24,2457480.557,null
2016-04-02 05:36:09,2457480.733,null
2016-04-02 07:22:19,2457480.807,null
2016-04-02 11:36:04,2457480.983,null
2016-04-08 05:41:03,2457486.737,null
2016-04-08 11:40:58,2457486.987,null
2016-04-08 13:27:43,2457487.061,null
2016-05-25 04:09:43,2457533.673,null
2016-05-25 05:56:28,2457533.748,null
2016-06-11 22:14:25,2457551.427,null
2016-06-12 00:01:10,2457551.501,null
2016-07-19 11:20:37,2457588.973,null
2016-08-24 09:14:34,2457624.885,null
2016-08-24 11:01:19,2457624.959,null
2016-09-16 09:22:55,2457647.891,null
2016-09-16 11:09:40,2457647.965,null
2016-09-16 15:23:26,2457648.141,null
2016-11-10 21:09:14,2457703.381,null
2016-11-10 22:55:59,2457703.456,null
2016-11-11 03:09:44,2457703.632,null
2016-11-11 04:56:28,2457703.706,null
2016-12-01 15:16:52,2457724.137,null
2016-12-01 17:03:36,2457724.211,null
2017-01-06 08:47:47,2457759.867,null
2017-02-09 15:25:32,2457794.143,null
2017-02-27 15:25:05,2457812.142,null
2017-02-27 17:11:49,2457812.217,null
2017-04-14 01:52:22,2457857.578,null
2017-04-14 03:39:07,2457857.652,null
2017-04-14 07:52:52,2457857.828,null
2017-04-14 09:39:02,2457857.902,null
2017-04-19 19:57:29,2457863.332,null
2017-04-19 21:43:39,2457863.405,null
2017-04-20 01:57:24,2457863.582,null
2017-04-20 03:44:09,2457863.656,null
2017-06-05 00:34:42,2457909.524,null
2017-06-05 02:20:52,2457909.598,null
2017-06-26 06:35:13,2457930.774,null
2017-06-26 08:21:59,2457930.849,null
2017-07-31 07:53:13,2457965.829,null
2017-09-10 05:45:31,2458006.740,null
2017-09-10 07:32:16,2458006.814,null
2017-09-10 11:45:27,2458006.990,null
2017-09-10 13:32:12,2458007.064,null
2017-09-28 17:57:04,2458025.248,null
2017-09-28 19:43:49,2458025.322,null
2017-09-28 23:57:34,2458025.498,null
2017-09-29 01:44:19,2458025.572,null
2017-11-22 23:42:23,2458080.488,null
2017-11-23 01:29:07,2458080.562,null
2017-12-17 01:28:39,2458104.562,null
2018-03-09 22:24:16,2458187.434,null
2018-03-10 00:11:00,2458187.508,null
2018-04-24 22:32:28,2458233.439,null
2018-04-25 02:46:13,2458233.615,null
2018-04-25 04:32:58,2458233.690,null
2018-05-02 14:52:38,2458241.120,null
2018-05-02 16:38:48,2458241.194,null
2018-05-02 20:52:34,2458241.370,null
2018-05-02 22:39:19,2458241.444,null
2018-06-16 03:25:23,2458285.643,null
2018-07-10 19:34:59,2458310.316,null
2018-07-10 21:21:44,2458310.390,null
2018-08-12 07:17:17,2458342.804,null
2018-08-12 09:04:03,2458342.878,null
2018-09-28 18:59:08,2458390.291,null
2018-09-28 20:45:18,2458390.365,null
2018-09-29 00:59:04,2458390.541,null
2018-09-29 02:45:49,2458390.615,null
2018-09-29 08:45:44,2458390.865,null
2018-10-11 20:55:48,2458403.372,null
2018-10-12 01:09:33,2458403.548,null
2018-10-12 02:56:18,2458403.622,null
2018-10-12 07:10:03,2458403.799,null
2018-10-12 08:56:48,2458403.873,null
2018-10-12 13:09:58,2458404.049,null
2018-12-04 12:51:32,2458457.036,null
2018-12-04 14:38:16,2458457.110,null
2018-12-31 14:28:39,2458484.103,null
2019-01-28 06:22:54,2458511.766,null
2019-01-28 08:09:39,2458511.840,null
2019-03-08 07:01:32,2458550.793,null
2019-03-08 11:15:16,2458550.969,null
2019-03-19 23:20:46,2458562.473,null
2019-03-20 01:07:30,2458562.547,null
2019-05-05 11:27:38,2458608.978,untrusted
2019-05-05 15:41:19,2458609.154,19.38
2019-05-16 03:48:13,2458619.658,17.98
2019-05-16 05:34:48,2458619.733,18.01
2019-05-16 09:48:28,2458619.909,18.01
2019-06-27 10:31:43,2458661.939,19.50
2019-08-01 06:39:08,2458696.777,20.36
2019-09-11 13:17:13,2458738.054,null
2019-09-11 15:03:58,2458738.128,null
2019-09-23 03:19:56,2458749.639,null
2019-09-23 07:33:41,2458749.815,null

