Gaia19bvf
#Date,JD,averagemag.
2014-08-03 11:54:17,2456872.996,null
2014-08-03 13:41:02,2456873.070,null
2014-08-03 17:54:46,2456873.246,null
2014-08-03 19:40:55,2456873.320,null
2014-08-03 23:54:40,2456873.496,null
2014-08-04 01:41:24,2456873.570,null
2014-08-04 05:55:09,2456873.747,null
2014-08-04 07:41:18,2456873.820,null
2014-11-08 10:09:28,2456969.923,null
2014-11-08 11:56:13,2456969.997,null
2015-02-03 03:10:44,2457056.632,null
2015-05-30 18:03:18,2457173.252,null
2015-05-30 19:50:03,2457173.326,null
2015-07-04 05:29:30,2457207.729,null
2015-07-04 07:16:14,2457207.803,null
2015-08-18 18:49:08,2457253.284,null
2015-08-18 23:02:52,2457253.460,null
2015-08-19 00:49:37,2457253.534,null
2015-08-19 05:03:22,2457253.711,null
2015-08-19 06:50:06,2457253.785,null
2015-08-19 11:03:16,2457253.961,null
2015-08-19 12:50:01,2457254.035,null
2015-08-19 17:03:45,2457254.211,null
2015-08-28 05:10:26,2457262.716,null
2015-08-28 06:57:11,2457262.790,null
2015-08-28 11:10:56,2457262.966,null
2015-08-28 12:57:41,2457263.040,null
2015-08-28 17:10:50,2457263.216,null
2015-08-28 18:57:35,2457263.290,null
2015-08-28 23:11:20,2457263.466,null
2015-08-29 00:58:05,2457263.540,null
2015-10-31 18:56:10,2457327.289,null
2015-10-31 23:09:56,2457327.465,null
2015-11-01 00:56:41,2457327.539,null
2015-11-24 05:14:45,2457350.719,null
2015-11-24 07:00:55,2457350.792,null
2015-12-25 04:56:05,2457381.706,null
2016-01-31 22:02:18,2457419.418,null
2016-01-31 23:49:03,2457419.492,null
2016-02-12 11:55:57,2457430.997,null
2016-02-12 16:09:43,2457431.173,null
2016-05-19 19:08:35,2457528.298,null
2016-06-13 08:46:23,2457552.866,null
2016-06-13 12:59:32,2457553.041,null
2016-07-15 00:38:46,2457584.527,null
2016-07-15 02:25:31,2457584.601,null
2016-11-11 02:07:40,2457703.589,null
2016-11-11 06:21:26,2457703.765,null
2016-12-08 00:16:22,2457730.511,null
2017-01-03 19:50:43,2457757.327,null
2017-02-13 18:21:15,2457798.265,null
2017-02-13 20:08:00,2457798.339,null
2017-02-14 00:21:46,2457798.515,null
2017-02-14 02:08:31,2457798.589,null
2017-02-20 08:13:46,2457804.843,null
2017-02-20 12:27:32,2457805.019,null
2017-02-20 14:13:42,2457805.093,null
2017-04-10 16:40:46,2457854.195,null
2017-04-10 18:27:31,2457854.269,null
2017-04-10 22:41:16,2457854.445,null
2017-04-11 00:27:26,2457854.519,null
2017-04-17 12:32:31,2457861.023,null
2017-04-17 16:46:16,2457861.199,null
2017-04-17 18:33:00,2457861.273,null
2017-06-28 11:06:29,2457932.963,null
2017-07-26 21:10:59,2457961.383,null
2017-07-26 22:57:44,2457961.457,null
2017-11-22 08:54:48,2458079.871,null
2017-11-22 10:41:33,2458079.946,null
2017-12-22 02:38:44,2458109.610,null
2017-12-22 04:24:55,2458109.684,null
2018-01-14 08:32:52,2458132.856,null
2018-04-19 23:35:50,2458228.483,null
2018-04-20 01:22:00,2458228.557,null
2018-05-02 01:27:41,2458240.561,null
2018-05-02 05:41:26,2458240.737,null
2018-06-11 04:42:53,2458280.696,null
2018-06-11 06:29:03,2458280.770,null
2018-07-14 00:05:58,2458313.504,null
2018-07-14 04:19:07,2458313.680,null
2018-08-07 10:20:37,2458337.931,null
2018-08-07 12:07:22,2458338.005,null
2018-08-07 16:21:06,2458338.181,null
2018-08-07 18:07:16,2458338.255,null
2018-10-11 00:04:01,2458402.503,null
2018-10-11 04:17:47,2458402.679,null
2018-10-11 06:04:32,2458402.753,null
2018-10-11 10:18:18,2458402.929,null
2018-10-11 12:04:28,2458403.003,null
2018-10-11 16:18:13,2458403.179,null
2018-10-11 18:04:58,2458403.253,null
2018-10-11 22:18:44,2458403.430,null
2018-10-20 10:26:14,2458411.935,null
2018-10-20 16:26:45,2458412.185,null
2018-10-20 18:12:55,2458412.259,null
2018-10-20 22:26:41,2458412.435,null
2018-10-21 00:13:26,2458412.509,null
2018-10-21 04:27:12,2458412.686,null
2018-10-21 06:13:22,2458412.759,null
2018-12-03 11:52:11,2458455.995,null
2019-01-04 21:37:09,2458488.401,null
2019-01-04 23:23:19,2458488.475,null
2019-01-24 11:23:59,2458507.975,null
2019-04-30 00:33:58,2458603.524,null
2019-05-16 12:36:26,2458620.025,18.71
2019-05-16 14:23:00,2458620.099,18.71
2019-06-22 17:49:51,2458657.243,19.81
2019-06-22 19:36:25,2458657.317,19.69

