Gaia19bvh
#Date,JD,averagemag.
2014-09-28 04:53:45,2456928.704,untrusted
2014-10-23 15:04:05,2456954.128,untrusted
2014-10-23 16:50:39,2456954.202,untrusted
2015-02-15 08:45:14,2457068.865,19.09
2015-03-19 02:22:15,2457100.599,19.07
2015-04-09 20:21:30,2457122.348,null
2015-07-17 19:09:04,2457221.298,19.09
2015-07-17 23:22:43,2457221.474,untrusted
2015-08-01 19:13:48,2457236.301,19.09
2015-08-01 23:27:51,2457236.478,null
2015-10-13 17:54:32,2457309.246,null
2015-10-13 22:08:06,2457309.422,19.15
2015-11-03 16:13:37,2457330.176,19.12
2015-11-03 18:00:11,2457330.250,19.12
2016-01-03 16:08:07,2457391.172,null
2016-01-03 17:54:17,2457391.246,null
2016-01-03 22:08:03,2457391.422,null
2016-01-03 23:54:35,2457391.496,19.13
2016-01-04 04:08:34,2457391.673,null
2016-01-19 04:19:05,2457406.680,null
2016-01-19 06:05:51,2457406.754,null
2016-02-26 11:42:08,2457444.988,19.10
2016-04-01 03:20:24,2457479.639,19.11
2016-04-01 05:06:59,2457479.713,19.14
2016-04-19 03:24:27,2457497.642,19.11
2016-04-19 05:11:01,2457497.716,19.16
2016-07-27 06:22:36,2457596.766,null
2016-08-15 08:09:27,2457615.840,null
2016-09-19 11:43:07,2457650.988,19.10
2016-09-19 13:29:41,2457651.062,19.06
2016-10-29 23:13:26,2457691.468,19.09
2016-10-30 01:00:00,2457691.542,19.07
2016-10-30 05:13:40,2457691.718,19.09
2016-10-30 07:00:13,2457691.792,19.11
2016-11-12 23:22:45,2457705.474,19.07
2016-11-13 01:09:19,2457705.548,untrusted
2016-11-13 05:22:58,2457705.724,19.11
2016-11-13 07:09:32,2457705.798,19.10
2017-01-13 07:04:50,2457766.795,19.02
2017-01-13 11:18:31,2457766.971,19.14
2017-02-03 13:12:11,2457788.050,19.02
2017-02-03 17:25:52,2457788.226,19.08
2017-03-08 14:14:23,2457821.093,untrusted
2017-04-15 05:40:26,2457858.736,19.05
2017-04-15 07:27:00,2457858.810,19.10
2017-04-29 05:47:34,2457872.741,19.05
2017-04-29 07:34:08,2457872.815,19.09
2017-08-06 20:47:10,2457972.366,19.02
2017-08-06 22:33:44,2457972.440,19.06
2017-08-29 20:41:00,2457995.362,19.11
2017-08-29 22:27:34,2457995.436,19.09
2017-10-01 02:14:13,2458027.593,19.11
2018-01-24 07:51:55,2458142.828,19.07
2018-01-24 09:38:51,2458142.902,null
2018-03-19 13:36:39,2458197.067,untrusted
2018-03-19 15:23:13,2458197.141,19.09
2018-04-29 12:37:35,2458238.026,19.09
2018-04-29 14:24:10,2458238.100,19.13
2018-05-08 18:44:44,2458247.281,19.06
2018-05-08 20:31:18,2458247.355,null
2018-05-09 00:45:04,2458247.531,null
2018-06-29 05:01:06,2458298.709,19.07
2018-06-29 06:47:40,2458298.783,19.10
2018-06-29 11:01:20,2458298.959,untrusted
2018-06-29 12:47:54,2458299.033,19.15
2018-06-29 17:01:33,2458299.209,19.09
2018-06-29 18:48:07,2458299.283,19.10
2018-06-30 00:48:20,2458299.534,19.07
2018-07-02 18:50:43,2458302.285,untrusted
2018-07-02 23:04:22,2458302.461,19.10
2018-07-03 00:50:56,2458302.535,19.12
2018-07-03 05:04:35,2458302.712,19.08
2018-07-03 06:51:09,2458302.786,19.19
2018-07-03 11:04:49,2458302.962,19.09
2018-08-17 21:51:25,2458348.411,19.11
2018-09-13 11:24:08,2458374.975,19.13
2018-09-13 15:37:47,2458375.151,19.07
2018-10-12 09:23:08,2458403.891,19.03
2018-10-12 11:09:42,2458403.965,19.00
2019-02-04 10:49:29,2458518.951,19.08
2019-03-05 02:51:40,2458547.619,19.08
2019-03-05 04:38:15,2458547.693,19.09
2019-03-30 08:44:02,2458572.864,19.13
2019-03-30 10:30:36,2458572.938,19.06
2019-05-14 19:35:19,2458618.316,19.11
2019-05-15 01:35:34,2458618.566,19.10
2019-05-15 03:22:09,2458618.640,19.11
2019-05-15 07:35:49,2458618.817,19.11
2019-05-15 09:22:24,2458618.891,19.14
2019-05-15 13:36:04,2458619.067,19.13
2019-05-15 15:22:39,2458619.141,19.10
2019-05-15 19:36:19,2458619.317,19.05
2019-05-15 21:22:53,2458619.391,untrusted
2019-05-16 01:36:34,2458619.567,19.10
2019-05-16 03:23:08,2458619.641,untrusted
2019-05-16 07:36:49,2458619.817,19.04
2019-05-16 09:23:23,2458619.891,19.08
2019-05-16 13:37:03,2458620.067,19.10
2019-05-16 15:23:38,2458620.141,19.11
2019-05-16 19:37:18,2458620.318,17.97
2019-05-16 21:23:53,2458620.392,18.74
2019-05-17 01:37:33,2458620.568,19.04
2019-05-17 03:24:08,2458620.642,19.09
2019-05-17 07:38:21,2458620.818,null
2019-07-08 05:54:51,2458672.746,null
2019-07-08 07:40:57,2458672.820,19.10
2019-08-08 20:25:47,2458704.351,19.12
2019-08-08 22:12:20,2458704.425,19.11
2019-09-08 03:33:54,2458734.649,19.05
2019-09-08 05:20:28,2458734.723,19.06
2019-10-03 16:28:57,2458760.187,untrusted
2019-10-03 18:15:31,2458760.261,19.12
2019-11-17 20:51:08,2458805.369,19.08
2019-11-18 02:51:21,2458805.619,19.09
2019-11-18 07:05:01,2458805.795,19.13
2019-11-18 08:51:35,2458805.869,19.09
2019-11-18 13:05:14,2458806.045,19.15
2019-11-18 14:51:48,2458806.119,19.12
2019-11-18 20:52:10,2458806.370,null
2019-11-19 02:52:15,2458806.620,19.10
2020-01-07 06:11:17,2458855.758,19.08
2020-01-07 10:24:57,2458855.934,19.12
2020-01-17 04:37:59,2458865.693,19.20
2020-01-17 06:24:34,2458865.767,19.12
2020-02-25 06:56:50,2458904.789,19.07
2020-02-25 08:43:25,2458904.863,19.13
2020-03-26 08:16:10,2458934.845,19.16
2020-03-26 10:02:45,2458934.919,19.08
2020-04-20 10:52:47,2458959.953,19.06
2020-04-20 15:06:28,2458960.129,19.12

