Gaia19bvn
#Date,JD,averagemag.
2014-09-19 05:15:20,2456919.719,untrusted
2014-09-19 07:01:53,2456919.793,untrusted
2014-10-22 14:21:08,2456953.098,untrusted
2014-10-22 16:07:42,2456953.172,untrusted
2015-03-02 22:37:24,2457084.443,null
2015-03-03 02:50:39,2457084.619,14.35
2015-03-03 04:37:13,2457084.693,14.43
2015-03-16 21:00:05,2457098.375,14.34
2015-03-16 22:46:40,2457098.449,14.35
2015-04-21 02:34:57,2457133.608,14.47
2015-04-21 04:21:32,2457133.682,14.49
2015-09-12 15:59:39,2457278.166,14.59
2015-09-12 17:46:13,2457278.240,14.58
2015-10-01 11:47:06,2457296.991,14.68
2016-03-10 09:57:13,2457457.915,null
2016-03-10 11:43:44,2457457.989,14.55
2016-03-31 17:47:43,2457479.241,14.52
2016-04-30 21:46:25,2457509.407,null
2016-10-15 10:55:28,2457676.955,null
2016-11-11 16:38:30,2457704.193,null
2016-11-11 18:24:40,2457704.267,null
2017-03-20 08:16:08,2457832.845,null
2017-05-11 08:04:45,2457884.837,null
2017-05-11 12:18:31,2457885.013,null
2017-10-01 15:20:10,2458028.139,null
2017-10-30 07:12:17,2458056.800,14.99
2017-10-30 08:58:51,2458056.874,untrusted
2017-11-21 13:08:03,2458079.047,14.95
2017-11-21 14:54:37,2458079.121,14.94
2018-03-30 19:40:28,2458208.320,untrusted
2018-05-01 01:21:51,2458239.557,14.92
2018-05-21 09:12:38,2458259.884,14.87
2018-11-14 15:54:59,2458437.163,14.75
2018-11-14 20:08:37,2458437.339,14.86
2018-11-30 08:13:38,2458452.843,14.77
2018-11-30 10:00:12,2458452.917,14.81
2019-04-10 14:52:05,2458584.120,15.67
2019-05-16 14:21:10,2458620.098,15.81
2019-05-16 16:07:45,2458620.172,15.71
2019-05-30 04:16:42,2458633.678,15.32
2019-05-30 08:30:24,2458633.854,15.55
2019-10-14 16:41:38,2458771.196,15.21
2019-10-14 18:28:12,2458771.270,15.04
2019-11-19 06:21:36,2458806.765,14.78
2019-11-19 08:08:10,2458806.839,14.88
2019-12-01 12:36:31,2458819.025,14.61
2019-12-01 14:23:04,2458819.099,14.63
2020-03-02 07:39:01,2458910.819,14.67
2020-03-02 09:25:36,2458910.893,14.77
2020-03-02 13:39:17,2458911.069,14.83
2020-03-14 01:55:21,2458922.580,14.83
2020-03-14 03:41:56,2458922.654,14.83
2020-04-19 15:47:30,2458959.158,14.82

