Gaia19bvr
#Date,JD,averagemag.
2015-01-07 09:11:02,2457029.883,null
2015-01-07 10:57:48,2457029.957,null
2015-02-12 14:48:06,2457066.117,null
2015-03-19 02:11:56,2457100.592,null
2015-04-06 22:00:58,2457119.417,null
2015-05-23 00:47:05,2457165.533,null
2015-05-23 02:33:15,2457165.606,null
2015-05-23 06:47:00,2457165.783,null
2015-05-23 08:33:45,2457165.857,null
2015-05-29 02:38:14,2457171.610,null
2015-05-29 06:51:59,2457171.786,null
2015-05-29 08:38:44,2457171.860,null
2015-07-14 19:11:14,2457218.299,null
2015-08-04 17:22:45,2457239.224,null
2015-08-04 19:09:30,2457239.298,null
2015-09-08 16:45:35,2457274.198,null
2015-09-08 18:32:20,2457274.272,null
2015-10-18 04:17:35,2457313.679,null
2015-10-18 06:03:45,2457313.753,null
2015-10-18 10:17:29,2457313.929,null
2015-11-05 22:26:48,2457332.435,null
2015-11-06 00:13:33,2457332.509,null
2015-11-06 04:27:18,2457332.686,null
2015-11-06 06:13:28,2457332.759,null
2015-12-29 23:58:39,2457386.499,null
2015-12-30 04:12:24,2457386.675,null
2016-01-22 18:02:58,2457410.252,null
2016-02-23 17:43:40,2457442.239,null
2016-03-31 16:55:39,2457479.205,null
2016-04-16 09:15:13,2457494.886,null
2016-04-16 11:01:23,2457494.959,null
2016-06-02 07:40:40,2457541.820,null
2016-06-02 09:27:25,2457541.894,null
2016-06-09 21:32:55,2457549.398,null
2016-06-10 01:46:40,2457549.574,null
2016-06-10 03:33:25,2457549.648,null
2016-08-18 02:06:06,2457618.588,null
2016-09-19 11:53:46,2457650.996,null
2016-09-19 13:40:31,2457651.070,null
2016-11-03 19:14:21,2457696.302,null
2016-11-03 23:28:05,2457696.478,null
2016-11-04 01:14:15,2457696.552,null
2016-11-04 05:28:00,2457696.728,null
2016-11-04 07:14:45,2457696.802,null
2016-11-04 11:28:29,2457696.978,null
2016-11-17 17:38:22,2457710.235,null
2016-11-17 19:24:32,2457710.309,null
2016-11-17 23:38:17,2457710.485,null
2016-11-18 01:25:02,2457710.559,null
2016-11-18 05:38:47,2457710.735,null
2016-11-18 07:25:32,2457710.809,null
2017-01-09 17:23:39,2457763.225,null
2017-01-09 19:10:24,2457763.299,null
2017-02-05 11:19:22,2457789.972,null
2017-02-05 13:06:07,2457790.046,null
2017-03-05 18:27:59,2457818.269,null
2017-03-05 20:14:09,2457818.343,null
2017-04-14 07:15:14,2457857.802,null
2017-04-14 11:29:00,2457857.978,null
2017-04-26 17:36:03,2457870.233,null
2017-04-26 19:22:14,2457870.307,null
2017-06-12 21:57:45,2457917.415,null
2017-06-12 23:44:30,2457917.489,null
2017-06-23 16:04:14,2457928.170,null
2017-06-23 17:50:59,2457928.244,null
2017-08-05 04:40:40,2457970.695,null
2017-09-01 16:25:57,2457998.185,null
2017-10-01 08:25:28,2458027.851,null
2017-10-01 10:12:12,2458027.925,null
2017-11-21 15:51:40,2458079.161,null
2017-11-21 20:04:50,2458079.337,null
2017-11-21 21:51:35,2458079.411,null
2017-11-22 02:05:20,2458079.587,null
2017-11-22 03:52:05,2458079.661,null
2017-11-22 08:05:50,2458079.837,null
2017-12-03 08:14:30,2458090.843,null
2017-12-03 10:01:15,2458090.918,null
2017-12-03 14:15:00,2458091.094,null
2017-12-03 16:01:45,2458091.168,null
2017-12-03 20:14:55,2458091.344,null
2017-12-03 22:01:40,2458091.418,null
2018-01-21 03:43:32,2458139.655,null
2018-03-16 19:34:26,2458194.316,null
2018-04-27 18:25:01,2458236.267,null
2018-04-27 20:11:46,2458236.342,null
2018-04-28 00:25:31,2458236.518,null
2018-04-28 02:11:42,2458236.591,null
2018-05-07 02:18:20,2458245.596,null
2018-05-07 06:32:06,2458245.772,null
2018-05-07 08:18:51,2458245.846,null
2018-06-23 10:54:11,2458292.954,null
2018-06-23 12:40:56,2458293.028,null
2018-07-07 12:45:58,2458307.032,null
2018-07-07 16:59:43,2458307.208,null
2018-08-16 15:59:52,2458347.167,null
2018-08-16 17:46:36,2458347.241,null
2018-09-16 15:38:59,2458378.152,null
2018-09-16 17:25:44,2458378.226,null
2018-10-13 03:35:03,2458404.649,null
2018-10-13 05:21:12,2458404.723,null
2018-12-05 23:04:18,2458458.461,null
2018-12-06 03:18:03,2458458.638,null
2018-12-06 05:04:48,2458458.712,null
2018-12-06 09:18:33,2458458.888,null
2018-12-21 15:29:44,2458474.146,null
2018-12-21 17:15:54,2458474.219,null
2018-12-21 21:29:39,2458474.396,null
2018-12-21 23:16:25,2458474.470,null
2019-02-01 10:53:22,2458515.954,null
2019-02-01 15:07:08,2458516.130,null
2019-03-05 14:42:06,2458548.113,null
2019-03-27 14:39:41,2458570.111,null
2019-05-11 01:20:40,2458614.556,20.07
2019-05-11 03:07:14,2458614.630,20.12
2019-05-17 19:26:16,2458621.310,18.33
2019-05-17 21:12:50,2458621.384,18.35
2019-05-18 01:26:30,2458621.560,18.29
2019-07-04 05:52:35,2458668.745,19.59
2019-07-04 07:39:08,2458668.819,19.64
2019-08-05 20:16:49,2458701.345,null
2019-08-05 22:02:59,2458701.419,null
2019-09-08 11:31:16,2458734.980,null
2019-09-08 15:45:00,2458735.156,null

