Gaia19bvu
#Date,JD,averagemag.
2014-09-17 21:25:59,2456918.393,untrusted
2014-09-18 01:39:40,2456918.569,untrusted
2014-10-20 10:54:52,2456950.955,untrusted
2014-11-22 22:26:33,2456984.435,19.50
2014-11-23 00:13:08,2456984.509,untrusted
2015-03-10 18:30:26,2457092.271,19.43
2015-03-10 20:16:59,2457092.345,19.45
2015-03-11 00:30:39,2457092.521,19.50
2015-03-11 02:17:12,2457092.595,19.45
2015-03-18 18:35:56,2457100.275,19.50
2015-03-18 20:22:29,2457100.349,untrusted
2015-03-19 00:36:08,2457100.525,19.45
2015-04-26 17:49:20,2457139.243,null
2015-04-26 19:36:05,2457139.317,null
2015-06-05 12:59:01,2457179.041,null
2015-06-05 17:12:44,2457179.217,null
2015-06-05 18:58:54,2457179.291,null
2015-06-05 23:12:38,2457179.467,null
2015-06-06 00:59:22,2457179.541,null
2015-06-13 05:17:56,2457186.721,19.52
2015-06-13 11:18:08,2457186.971,19.48
2015-06-13 13:04:42,2457187.045,19.46
2015-06-13 17:18:21,2457187.221,19.48
2015-06-13 19:04:55,2457187.295,19.48
2015-09-13 00:23:57,2457278.517,null
2015-09-13 02:10:43,2457278.591,null
2015-09-13 06:24:29,2457278.767,null
2015-09-13 08:11:14,2457278.841,null
2015-09-23 12:33:15,2457289.023,null
2015-09-23 14:20:01,2457289.097,null
2015-09-23 18:33:12,2457289.273,null
2015-09-23 20:19:57,2457289.347,null
2015-10-31 00:06:31,2457326.505,null
2015-10-31 01:53:17,2457326.579,null
2015-12-09 05:27:08,2457365.727,19.46
2015-12-09 07:13:43,2457365.801,19.48
2015-12-09 11:27:24,2457365.977,19.50
2015-12-09 13:13:58,2457366.051,19.47
2015-12-14 07:18:35,2457370.805,19.46
2015-12-14 11:32:14,2457370.981,null
2015-12-14 13:18:50,2457371.055,untrusted
2015-12-14 17:32:31,2457371.231,untrusted
2015-12-14 19:19:06,2457371.305,19.49
2015-12-14 23:32:47,2457371.481,19.45
2016-03-17 07:29:33,2457464.812,19.56
2016-03-17 09:16:06,2457464.886,19.48
2016-04-03 01:32:25,2457481.564,19.47
2016-04-03 03:18:58,2457481.638,19.47
2016-05-06 18:57:50,2457515.290,19.53
2016-05-06 20:44:23,2457515.364,19.51
2016-09-19 19:29:14,2457651.312,19.44
2016-09-19 21:15:48,2457651.386,19.43
2016-10-09 13:36:10,2457671.067,19.48
2016-10-09 15:22:45,2457671.141,19.51
2016-11-09 13:17:06,2457702.054,19.52
2016-11-09 15:03:40,2457702.128,19.46
2017-03-26 15:55:50,2457839.164,19.51
2017-04-18 03:49:39,2457861.659,19.45
2017-04-18 05:36:12,2457861.733,19.38
2017-05-17 15:29:08,2457891.145,untrusted
2017-05-17 17:15:42,2457891.219,19.52
2017-09-29 11:47:34,2458025.991,19.47
2017-09-29 16:01:15,2458026.168,19.50
2017-10-24 15:58:17,2458051.165,19.55
2017-10-24 17:44:51,2458051.239,19.55
2017-11-19 21:49:33,2458077.409,19.44
2018-04-05 17:01:56,2458214.210,19.54
2018-04-05 18:48:30,2458214.284,19.49
2018-05-03 06:31:02,2458241.772,19.56
2018-05-28 04:37:57,2458266.693,null
2018-05-28 06:24:06,2458266.767,null
2018-10-09 23:12:03,2458401.467,19.52
2018-10-10 00:58:38,2458401.541,19.56
2018-11-29 12:43:56,2458452.031,19.51
2018-11-29 16:57:38,2458452.207,untrusted
2019-04-16 06:09:28,2458589.757,19.53
2019-04-16 07:56:01,2458589.831,19.46
2019-05-18 23:40:45,2458622.487,18.52
2019-05-19 01:27:19,2458622.561,19.14
2019-06-06 23:44:34,2458641.489,19.51
2019-06-07 01:31:13,2458641.563,null
2019-10-20 09:21:59,2458776.890,19.52
2019-11-21 09:06:34,2458808.880,19.41
2019-11-21 10:53:08,2458808.954,19.39
2019-12-08 21:36:15,2458826.400,untrusted
2019-12-08 23:22:49,2458826.474,untrusted
2019-12-09 03:36:30,2458826.650,19.41
2020-04-17 07:09:22,2458956.798,19.46

