Gaia19bwx
#Date,JD,averagemag.
2014-09-15 10:56:39,2456915.956,untrusted
2014-09-15 12:43:13,2456916.030,untrusted
2014-10-19 03:51:46,2456949.661,untrusted
2014-11-27 09:04:32,2456988.878,19.31
2014-11-27 13:18:30,2456989.055,null
2014-11-27 15:04:45,2456989.128,19.29
2014-11-27 19:18:24,2456989.304,19.36
2014-11-27 21:04:57,2456989.378,untrusted
2014-11-28 01:18:36,2456989.555,19.30
2014-12-02 07:21:52,2456993.807,untrusted
2014-12-02 15:08:39,2456994.131,untrusted
2014-12-02 19:22:18,2456994.307,untrusted
2014-12-02 21:08:51,2456994.381,untrusted
2015-03-05 15:11:59,2457087.133,19.33
2015-03-05 16:58:34,2457087.207,19.30
2015-03-21 03:19:41,2457102.639,19.30
2015-03-21 05:06:16,2457102.713,untrusted
2015-04-24 04:39:48,2457136.694,null
2015-04-24 08:53:35,2457136.871,null
2015-09-09 03:40:13,2457274.653,null
2015-09-09 05:26:23,2457274.727,null
2015-09-27 23:28:52,2457293.478,null
2015-09-28 03:42:36,2457293.655,null
2016-03-13 16:17:36,2457461.179,19.32
2016-04-04 10:18:44,2457482.930,19.33
2016-04-04 12:05:19,2457483.004,19.32
2016-05-03 23:51:11,2457512.494,untrusted
2016-05-04 04:05:12,2457512.670,null
2016-09-17 16:46:17,2457649.199,19.32
2016-09-17 18:32:50,2457649.273,19.32
2016-10-12 06:24:18,2457673.767,19.33
2017-03-23 12:48:35,2457836.034,19.35
2017-03-23 14:35:10,2457836.108,19.21
2017-05-14 12:38:01,2457888.026,19.30
2017-05-14 14:24:36,2457888.100,untrusted
2017-09-28 01:16:46,2458024.553,19.27
2017-09-28 03:03:20,2458024.627,19.38
2017-10-27 02:41:14,2458053.612,19.31
2017-11-17 20:35:56,2458075.358,19.33
2018-04-02 21:45:18,2458211.406,19.38
2018-05-04 19:39:40,2458243.319,19.28
2018-05-04 21:26:15,2458243.393,19.35
2018-05-24 07:47:03,2458262.824,19.32
2018-05-24 09:33:38,2458262.898,19.31
2018-11-11 01:49:24,2458433.576,19.36
2018-11-11 03:35:57,2458433.650,19.34
2018-11-26 19:53:03,2458449.329,19.29
2018-11-26 21:39:37,2458449.403,19.29
2019-02-27 17:28:18,2458542.228,19.31
2019-02-27 21:42:00,2458542.404,19.32
2019-02-27 23:28:34,2458542.478,19.27
2019-02-28 03:42:15,2458542.654,19.31
2019-02-28 05:28:50,2458542.728,19.34
2019-02-28 09:42:31,2458542.905,19.27
2019-02-28 11:29:06,2458542.979,19.26
2019-02-28 15:42:47,2458543.155,19.25
2019-03-03 15:45:47,2458546.157,19.31
2019-03-03 21:46:03,2458546.407,19.27
2019-03-03 23:32:37,2458546.481,19.36
2019-03-04 03:46:18,2458546.657,19.31
2019-03-04 05:32:53,2458546.731,19.35
2019-03-04 09:46:34,2458546.907,19.31
2019-03-04 11:33:09,2458546.981,19.31
2019-04-13 16:56:38,2458587.206,19.34
2019-05-22 02:42:47,2458625.613,19.05
2019-05-22 04:29:22,2458625.687,18.79
2019-05-31 16:37:44,2458635.193,19.32
2019-05-31 20:51:25,2458635.369,19.30
2019-05-31 22:38:00,2458635.443,19.28
2019-06-01 02:51:41,2458635.619,19.30
2019-09-01 14:32:17,2458728.106,19.26
2019-09-01 20:32:52,2458728.356,null
2019-09-01 22:19:01,2458728.430,null
2019-09-02 02:32:45,2458728.606,null
2019-09-02 04:19:30,2458728.680,null
2019-09-07 10:24:08,2458733.933,19.29
2019-09-07 14:37:47,2458734.110,19.34
2019-09-07 16:24:21,2458734.184,19.32
2019-09-07 20:38:00,2458734.360,untrusted
2019-09-07 22:24:33,2458734.434,19.32
2019-10-17 22:29:33,2458774.437,19.25
2019-11-24 13:56:33,2458812.081,19.32
2019-11-24 18:10:11,2458812.257,19.34
2019-11-24 19:56:45,2458812.331,19.33
2019-11-25 00:10:24,2458812.507,19.33
2019-12-02 18:18:02,2458820.263,19.34
2019-12-02 20:04:36,2458820.337,19.38
2019-12-03 00:18:15,2458820.513,19.27
2019-12-03 02:04:48,2458820.587,19.37
2020-02-28 15:41:45,2458908.154,19.34
2020-02-28 19:55:26,2458908.330,19.33
2020-02-28 21:42:01,2458908.404,19.31
2020-02-29 01:55:42,2458908.580,19.32
2020-03-09 08:07:21,2458917.838,19.25
2020-03-09 09:53:56,2458917.912,19.33
2020-03-09 14:07:37,2458918.089,19.35
2020-03-09 15:54:12,2458918.163,19.33
2020-04-15 23:43:06,2458955.488,19.32

