Gaia19bxt
#Date,JD,averagemag.
2014-11-19 16:04:31,2456981.170,null
2014-11-19 17:51:16,2456981.244,null
2015-03-08 06:47:45,2457089.783,null
2015-03-26 00:48:45,2457107.534,null
2015-04-29 06:09:56,2457141.757,null
2015-04-29 07:56:40,2457141.831,null
2015-09-02 07:49:52,2457267.826,null
2015-09-02 12:03:38,2457268.003,null
2015-09-02 13:50:23,2457268.077,null
2015-09-23 06:12:43,2457288.759,null
2015-09-23 07:58:53,2457288.833,null
2015-10-26 07:39:32,2457321.819,null
2015-12-04 05:02:35,2457360.710,null
2015-12-04 06:48:45,2457360.784,null
2015-12-13 06:55:49,2457369.789,null
2015-12-13 11:09:34,2457369.965,null
2016-03-17 01:49:44,2457464.576,null
2016-03-17 03:36:29,2457464.650,null
2016-04-08 09:30:02,2457486.896,null
2016-05-09 13:18:40,2457518.055,null
2016-05-09 15:05:25,2457518.129,null
2016-09-12 03:01:00,2457643.626,null
2016-09-12 07:14:46,2457643.802,null
2016-10-07 19:14:54,2457669.302,null
2016-10-07 21:01:40,2457669.376,null
2016-11-05 01:01:53,2457697.543,null
2016-11-05 02:48:39,2457697.617,null
2017-03-27 10:17:09,2457839.929,null
2017-03-27 12:03:19,2457840.002,null
2017-04-23 04:02:09,2457866.668,null
2017-05-20 21:50:56,2457894.410,null
2017-05-20 23:37:05,2457894.484,null
2017-09-23 05:35:04,2458019.733,null
2017-09-23 09:48:50,2458019.909,null
2017-10-22 11:23:31,2458048.975,null
2017-11-15 11:18:19,2458072.971,null
2018-04-07 05:23:12,2458215.724,null
2018-04-07 07:09:22,2458215.798,null
2018-05-08 10:59:44,2458246.958,null
2018-05-31 23:00:01,2458270.458,null
2018-06-01 00:46:45,2458270.532,null
2018-06-01 05:00:29,2458270.709,null
2018-10-04 12:46:56,2458396.033,null
2018-11-25 12:23:57,2458448.017,null
2019-02-27 07:17:21,2458541.804,null
2019-02-27 09:04:05,2458541.878,null
2019-03-11 19:22:34,2458554.307,null
2019-03-11 21:09:19,2458554.381,null
2019-04-18 06:30:16,2458591.771,null
2019-04-18 08:17:00,2458591.845,null
2019-05-24 19:46:47,2458628.324,17.72
2019-05-25 00:00:26,2458628.500,17.70
2019-05-25 01:47:00,2458628.574,17.68
2019-06-11 06:08:34,2458645.756,18.59
2019-06-11 07:55:08,2458645.830,18.56
2019-06-11 12:08:47,2458646.006,18.65
2019-06-11 13:55:21,2458646.080,18.60
2019-09-01 12:43:09,2458728.030,null
2019-09-01 16:56:55,2458728.206,null
2019-09-14 23:17:02,2458741.470,null
2019-09-15 01:03:12,2458741.544,null

