Gaia19byd
#Date,JD,averagemag.
2014-10-14 19:41:09,2456945.320,untrusted
2014-11-19 00:55:46,2456980.539,20.51
2014-12-04 18:58:12,2456996.290,untrusted
2014-12-04 20:44:46,2456996.364,untrusted
2015-03-08 09:41:44,2457089.904,20.39
2015-04-29 21:15:07,2457142.385,null
2015-04-29 23:01:18,2457142.459,null
2015-06-14 02:55:35,2457187.622,null
2015-06-14 04:41:45,2457187.696,null
2015-06-14 08:55:31,2457187.872,null
2015-06-14 10:42:16,2457187.946,null
2015-06-14 14:56:02,2457188.122,null
2015-06-14 16:42:12,2457188.196,null
2015-06-14 20:55:58,2457188.372,null
2015-06-14 22:42:43,2457188.446,null
2015-06-15 02:56:29,2457188.623,null
2015-06-15 04:42:39,2457188.696,null
2015-06-15 08:56:25,2457188.873,null
2015-06-15 10:43:10,2457188.947,null
2015-06-15 16:43:41,2457189.197,null
2015-06-19 04:46:49,2457192.699,null
2015-06-19 10:47:20,2457192.950,null
2015-06-19 15:00:31,2457193.125,null
2015-06-19 16:47:16,2457193.199,null
2015-06-19 21:01:02,2457193.376,null
2015-06-19 22:47:47,2457193.450,null
2015-06-20 03:01:32,2457193.626,null
2015-06-20 04:47:43,2457193.700,null
2015-06-20 09:01:28,2457193.876,null
2015-06-20 10:48:13,2457193.950,null
2015-06-20 15:01:59,2457194.126,null
2015-06-20 16:48:09,2457194.200,null
2015-06-20 21:01:55,2457194.376,null
2015-09-01 09:11:17,2457266.883,null
2015-09-01 10:58:01,2457266.957,null
2015-09-22 17:02:25,2457288.210,null
2015-09-22 21:16:09,2457288.386,null
2015-10-25 20:49:08,2457321.367,null
2015-10-25 22:35:18,2457321.441,null
2015-12-03 01:50:17,2457359.577,20.39
2015-12-03 03:36:50,2457359.651,20.33
2015-12-13 19:55:50,2457370.330,20.18
2015-12-13 21:42:24,2457370.404,untrusted
2016-03-17 10:45:48,2457464.948,null
2016-04-08 22:44:16,2457487.447,null
2016-05-10 06:12:28,2457518.759,20.52
2016-05-10 10:26:09,2457518.935,20.63
2016-09-11 10:20:41,2457642.931,20.68
2016-09-11 12:07:46,2457643.005,null
2016-10-07 06:01:23,2457668.751,20.72
2016-11-04 15:55:10,2457697.163,null
2016-11-04 17:41:54,2457697.237,null
2016-12-17 04:32:29,2457739.689,null
2016-12-17 08:46:14,2457739.865,null
2016-12-17 10:32:58,2457739.940,null
2016-12-17 14:46:43,2457740.116,null
2016-12-17 16:32:53,2457740.190,20.99
2016-12-17 20:46:37,2457740.366,null
2016-12-17 22:33:21,2457740.440,null
2016-12-18 02:47:06,2457740.616,null
2016-12-18 08:47:00,2457740.866,null
2016-12-18 14:47:29,2457741.116,null
2016-12-18 20:47:23,2457741.366,null
2016-12-19 02:47:52,2457741.617,null
2016-12-19 08:48:21,2457741.867,null
2016-12-19 14:48:03,2457742.117,20.50
2016-12-19 16:34:37,2457742.191,20.63
2016-12-19 20:48:45,2457742.367,null
2016-12-19 22:34:54,2457742.441,null
2016-12-20 02:48:29,2457742.617,20.45
2016-12-20 04:35:03,2457742.691,20.65
2016-12-20 08:49:08,2457742.867,null
2016-12-20 10:35:17,2457742.941,20.41
2017-03-27 21:01:32,2457840.376,null
2017-04-23 13:06:01,2457867.046,null
2017-04-23 14:52:46,2457867.120,null
2017-05-21 19:00:15,2457895.292,null
2017-05-21 20:47:01,2457895.366,null
2017-09-22 12:52:51,2458019.037,null
2017-09-22 14:39:01,2458019.110,null
2017-10-22 00:34:26,2458048.524,null
2017-11-15 06:23:01,2458072.766,null
2017-11-15 08:09:20,2458072.840,20.47
2018-04-07 16:09:25,2458216.173,20.72
2018-04-07 20:23:09,2458216.349,null
2018-05-08 20:07:37,2458247.339,null
2018-05-08 21:53:48,2458247.412,null
2018-06-02 02:11:50,2458271.592,null
2018-06-02 03:58:35,2458271.666,null
2018-06-02 08:12:21,2458271.842,null
2018-10-03 21:48:23,2458395.409,null
2018-11-05 07:30:08,2458427.813,null
2018-11-25 07:26:01,2458447.810,null
2018-11-25 09:12:46,2458447.884,null
2019-02-27 04:09:30,2458541.673,null
2019-02-27 05:56:16,2458541.747,null
2019-03-12 16:16:35,2458555.178,20.45
2019-04-18 21:32:44,2458592.398,null
2019-05-25 03:11:36,2458628.633,19.49
2019-05-25 04:58:11,2458628.707,19.45
2019-06-12 21:22:47,2458647.391,null
2019-06-12 23:09:15,2458647.465,19.54
2019-06-13 03:22:55,2458647.641,19.56
2019-09-01 14:04:00,2458728.086,untrusted
2019-09-01 15:50:34,2458728.160,20.41
2019-09-15 20:23:48,2458742.350,null
2019-09-15 22:10:33,2458742.424,null
2019-10-22 22:16:52,2458779.428,null
2019-10-23 00:03:21,2458779.502,20.61
2019-11-27 07:33:01,2458814.815,null
2019-11-27 11:46:45,2458814.991,null
2019-11-27 13:33:30,2458815.065,null
2019-12-14 12:08:55,2458832.006,20.79
2019-12-14 13:55:29,2458832.080,20.76
2019-12-14 18:09:21,2458832.256,null
2019-12-14 19:56:06,2458832.331,null
2020-02-18 21:56:56,2458898.415,20.41
2020-02-19 02:10:36,2458898.591,20.39
2020-02-19 03:57:16,2458898.665,null
2020-02-19 08:10:52,2458898.841,20.37
2020-03-04 02:28:36,2458912.603,20.62
2020-03-04 04:15:13,2458912.677,null
2020-03-04 08:28:59,2458912.853,null
2020-03-04 10:15:44,2458912.928,null
2020-04-11 16:12:35,2458951.175,untrusted

