Gaia19bzi
#Date,JD,averagemag.
2014-09-01 10:22:22,2456901.932,untrusted
2014-09-01 12:08:56,2456902.006,untrusted
2014-10-09 19:28:27,2456940.311,untrusted
2014-11-15 06:36:37,2456976.775,null
2014-11-15 08:22:58,2456976.849,20.06
2015-01-13 11:08:29,2457035.964,19.97
2015-01-13 12:55:03,2457036.038,20.00
2015-01-26 11:14:03,2457048.968,20.20
2015-01-26 13:00:37,2457049.042,20.04
2015-03-07 05:50:20,2457088.743,19.91
2015-03-31 15:57:08,2457113.165,19.87
2015-03-31 17:43:43,2457113.239,19.90
2015-05-03 03:36:34,2457145.650,20.06
2015-06-14 03:15:58,2457187.636,null
2015-06-14 05:02:08,2457187.710,null
2015-06-14 09:15:53,2457187.886,null
2015-06-14 11:02:39,2457187.960,null
2015-07-07 11:12:50,2457210.967,null
2015-07-07 15:25:58,2457211.143,19.90
2015-07-07 17:12:32,2457211.217,19.94
2015-08-23 16:49:48,2457258.201,null
2015-08-23 21:03:29,2457258.377,19.97
2015-09-22 14:52:07,2457288.120,null
2015-10-21 08:34:02,2457316.857,19.91
2015-10-21 10:20:36,2457316.931,19.86
2015-11-28 03:18:39,2457354.638,20.08
2015-11-28 07:32:18,2457354.814,19.92
2015-12-13 13:35:10,2457370.066,20.02
2015-12-13 15:21:44,2457370.140,20.02
2016-01-24 07:51:58,2457411.828,19.96
2016-02-07 19:56:52,2457426.331,20.17
2016-03-17 11:09:18,2457464.965,20.10
2016-04-13 18:44:32,2457492.281,20.05
2016-05-14 10:46:48,2457522.949,20.08
2016-05-14 12:33:23,2457523.023,19.98
2016-06-29 04:27:02,2457568.685,null
2016-06-29 06:13:12,2457568.759,null
2016-06-29 10:26:57,2457568.935,null
2016-06-29 12:13:42,2457569.010,null
2016-07-22 06:23:34,2457591.766,19.89
2016-07-22 10:37:14,2457591.943,19.96
2016-07-22 12:23:59,2457592.017,null
2016-09-04 05:59:10,2457635.749,null
2016-10-05 21:51:48,2457667.411,null
2016-10-31 15:38:50,2457693.152,null
2016-12-09 16:14:20,2457732.177,null
2016-12-09 20:27:48,2457732.353,20.05
2016-12-23 08:32:32,2457745.856,null
2016-12-23 10:19:17,2457745.930,null
2017-02-03 01:03:56,2457787.544,19.98
2017-02-03 02:50:30,2457787.618,untrusted
2017-02-19 14:29:50,2457804.104,20.08
2017-02-19 16:16:24,2457804.178,20.17
2017-03-28 19:39:01,2457841.319,null
2017-03-28 21:25:09,2457841.392,20.05
2017-04-28 09:09:35,2457871.882,20.00
2017-05-27 03:06:35,2457900.630,19.97
2017-05-27 07:20:34,2457900.806,null
2017-07-14 13:00:52,2457949.042,19.98
2017-07-14 14:47:26,2457949.116,20.08
2017-08-07 13:09:04,2457973.048,20.00
2017-08-07 14:55:54,2457973.122,null
2017-08-07 19:09:18,2457973.298,20.04
2017-09-16 12:43:09,2458013.030,20.03
2017-09-16 14:29:43,2458013.104,19.98
2017-10-19 18:11:48,2458046.258,20.24
2017-10-19 19:58:22,2458046.332,20.11
2017-12-21 18:32:00,2458109.272,20.11
2017-12-21 22:45:40,2458109.448,20.20
2018-01-03 10:51:01,2458121.952,20.18
2018-01-03 12:37:35,2458122.026,20.19
2018-02-13 17:13:06,2458163.217,20.03
2018-03-04 17:14:18,2458182.218,null
2018-04-09 10:33:02,2458217.940,20.16
2018-05-13 14:27:44,2458252.103,20.04
2018-05-13 16:14:19,2458252.177,20.09
2018-06-09 08:31:21,2458278.855,20.20
2018-06-09 10:17:55,2458278.929,20.12
2018-07-28 15:58:23,2458328.166,20.17
2018-07-28 20:12:02,2458328.342,20.19
2018-07-28 21:58:36,2458328.416,20.20
2018-08-23 14:15:43,2458354.094,20.10
2018-08-23 16:02:17,2458354.168,20.15
2018-09-28 09:37:22,2458389.901,null
2018-11-02 07:08:45,2458424.798,null
2018-11-02 08:55:19,2458424.872,untrusted
2018-11-22 13:05:31,2458445.045,20.05
2019-01-02 11:41:04,2458485.987,20.23
2019-01-02 13:27:38,2458486.061,20.22
2019-01-14 19:33:33,2458498.315,null
2019-02-24 12:15:08,2458539.011,19.13
2019-02-24 16:28:49,2458539.187,19.15
2019-03-18 04:26:09,2458560.685,untrusted
2019-03-18 06:12:44,2458560.759,18.79
2019-04-21 05:41:55,2458594.737,19.14
2019-04-21 09:55:35,2458594.914,19.19
2019-05-29 05:21:06,2458632.723,18.44
2019-05-29 09:35:14,2458632.899,null
2019-05-29 11:21:21,2458632.973,18.44
2019-06-23 03:43:00,2458657.655,null
2019-06-23 05:29:26,2458657.729,18.20
2019-07-18 00:49:25,2458682.534,18.14
2019-07-18 05:03:05,2458682.710,18.21
2019-08-30 01:39:45,2458725.569,18.35
2019-08-30 03:26:19,2458725.643,18.28
2019-09-21 10:10:53,2458747.924,18.43
2019-09-21 14:24:32,2458748.100,18.48
2019-10-25 09:58:48,2458781.916,18.67
2019-10-25 11:45:22,2458781.990,18.62
2019-12-01 05:30:58,2458818.730,18.69
2019-12-01 07:17:32,2458818.804,18.72
2019-12-24 12:08:06,2458842.006,18.60
2019-12-24 13:54:41,2458842.080,18.81
2020-02-08 09:45:06,2458887.906,untrusted
2020-02-08 13:58:47,2458888.082,18.94
2020-03-06 02:53:50,2458914.621,19.01
2020-03-06 04:40:24,2458914.695,18.98
2020-04-06 16:16:30,2458946.178,null
2020-04-06 18:02:33,2458946.252,19.07

