Gaia19cib
#Date,JD,averagemag.
2014-07-28 05:01:14,2456866.709,null
2014-07-28 06:47:59,2456866.783,null
2014-07-28 11:01:42,2456866.960,null
2014-07-28 12:47:52,2456867.033,null
2014-07-28 17:01:36,2456867.209,null
2014-07-28 18:48:21,2456867.284,null
2014-11-02 12:36:36,2456964.025,null
2014-11-02 16:50:22,2456964.202,null
2014-11-17 22:58:15,2456979.457,null
2014-11-18 00:45:01,2456979.531,null
2015-05-03 05:19:07,2457145.722,null
2015-05-03 07:05:52,2457145.796,null
2015-05-22 13:08:09,2457165.047,null
2015-05-22 17:21:52,2457165.224,null
2015-06-24 04:53:41,2457197.704,null
2015-06-24 06:40:25,2457197.778,null
2015-11-11 07:42:37,2457337.821,null
2015-11-11 11:56:23,2457337.997,null
2015-12-02 19:43:37,2457359.322,null
2015-12-31 05:42:07,2457387.738,null
2016-05-12 00:25:35,2457520.518,null
2016-05-12 02:12:20,2457520.592,null
2016-06-06 06:17:16,2457545.762,null
2016-07-04 00:01:51,2457573.501,null
2016-07-04 01:48:36,2457573.575,null
2016-11-20 02:51:27,2457712.619,null
2016-12-16 08:41:47,2457738.862,null
2017-01-09 02:38:55,2457762.610,null
2017-06-21 16:21:10,2457926.181,null
2017-07-14 08:31:27,2457948.855,null
2017-07-14 10:17:36,2457948.929,null
2017-11-30 09:37:32,2458087.901,null
2017-12-31 03:16:32,2458118.636,null
2017-12-31 05:03:18,2458118.711,null
2018-01-18 05:09:31,2458136.715,null
2018-01-18 09:23:17,2458136.891,null
2018-06-02 10:04:57,2458271.920,null
2018-06-02 11:51:41,2458271.994,null
2018-07-07 11:16:32,2458306.970,null
2018-07-07 15:30:15,2458307.146,null
2018-07-23 11:21:33,2458322.973,null
2018-07-23 15:35:16,2458323.149,null
2018-07-23 17:22:01,2458323.224,null
2018-10-28 19:07:34,2458420.297,null
2018-10-28 23:21:20,2458420.473,null
2018-10-29 01:08:05,2458420.547,null
2018-10-29 05:21:17,2458420.723,null
2018-10-29 07:08:02,2458420.797,null
2018-10-29 11:21:48,2458420.973,null
2018-10-29 13:08:34,2458421.048,null
2018-10-29 17:22:20,2458421.224,null
2018-10-29 19:08:30,2458421.298,null
2018-10-29 23:22:16,2458421.474,null
2018-10-30 01:09:02,2458421.548,null
2018-10-30 05:22:48,2458421.724,null
2018-10-30 07:08:58,2458421.798,null
2018-10-30 11:22:45,2458421.974,null
2018-10-30 13:09:30,2458422.048,null
2018-10-30 17:23:16,2458422.224,null
2018-10-30 19:09:27,2458422.298,null
2018-10-30 23:23:13,2458422.474,null
2018-10-31 01:09:58,2458422.549,null
2018-12-10 18:35:31,2458463.275,null
2019-01-16 04:18:17,2458499.679,null
2019-01-16 06:05:02,2458499.753,null
2019-01-16 10:18:49,2458499.930,null
2019-01-16 12:04:59,2458500.003,null
2019-01-25 06:12:58,2458508.759,null
2019-01-25 10:26:09,2458508.935,null
2019-01-25 12:12:55,2458509.009,null
2019-01-25 16:26:41,2458509.185,null
2019-04-25 23:45:49,2458599.490,null
2019-04-26 01:32:33,2458599.564,null
2019-04-26 05:46:17,2458599.740,null
2019-04-26 07:32:27,2458599.814,null
2019-05-05 17:52:01,2458609.244,null
2019-05-05 19:38:45,2458609.319,null
2019-05-05 23:52:29,2458609.495,null
2019-06-13 11:13:43,2458647.968,18.32
2019-06-13 13:00:17,2458648.042,18.35
2019-07-20 02:20:58,2458684.598,18.83
2019-07-20 06:34:37,2458684.774,18.86
2019-07-20 08:21:10,2458684.848,18.78
2019-07-20 12:34:50,2458685.024,18.81
2019-07-28 12:42:42,2458693.030,18.83
2019-07-28 14:29:16,2458693.104,18.86
2019-07-28 18:42:55,2458693.280,18.85
2019-07-28 20:29:29,2458693.354,18.86
2019-10-29 14:17:39,2458786.096,null
2019-10-29 16:04:24,2458786.170,null
2019-10-29 20:17:55,2458786.346,20.64

