Gaia19cjz
#Date,JD,averagemag.
2014-08-27 11:11:09,2456896.966,19.47
2014-08-27 12:57:43,2456897.040,19.46
2014-12-30 04:24:10,2457021.683,untrusted
2014-12-30 06:10:45,2457021.757,untrusted
2015-01-25 04:14:27,2457047.677,19.34
2015-02-19 05:57:01,2457072.748,19.34
2015-02-19 10:10:43,2457072.924,19.39
2015-06-27 16:22:36,2457201.182,19.50
2015-07-27 17:50:04,2457231.243,null
2016-01-09 11:33:16,2457396.981,19.54
2016-02-08 23:14:26,2457427.468,19.53
2016-02-09 01:01:01,2457427.542,19.57
2016-02-29 01:07:01,2457447.547,19.52
2016-02-29 05:20:42,2457447.723,19.51
2016-02-29 07:07:17,2457447.797,untrusted
2016-07-07 19:18:11,2457577.304,19.49
2016-08-10 22:58:15,2457611.457,19.41
2016-08-29 10:59:22,2457629.958,19.34
2016-08-29 12:45:56,2457630.032,19.33
2016-12-03 01:18:13,2457725.554,19.38
2016-12-03 03:04:48,2457725.628,19.37
2016-12-03 07:18:29,2457725.805,19.36
2016-12-12 19:25:49,2457735.310,19.37
2016-12-12 21:12:23,2457735.384,untrusted
2017-01-19 00:43:35,2457772.530,19.37
2017-02-24 07:40:33,2457808.820,19.45
2017-02-24 09:27:08,2457808.894,19.43
2017-02-24 13:40:49,2457809.070,19.48
2017-02-24 15:27:24,2457809.144,19.44
2017-03-08 03:36:38,2457820.650,19.46
2017-03-08 07:50:19,2457820.827,19.46
2017-03-08 09:36:53,2457820.901,19.41
2017-03-08 13:50:57,2457821.077,null
2017-05-30 02:29:11,2457903.604,19.28
2017-05-30 04:15:45,2457903.678,19.36
2017-05-30 08:29:24,2457903.854,19.36
2017-05-30 10:15:58,2457903.928,19.35
2017-05-30 14:29:37,2457904.104,19.38
2017-05-30 16:16:11,2457904.178,19.38
2017-06-08 02:35:54,2457912.608,19.34
2017-06-08 04:22:28,2457912.682,19.36
2017-06-08 08:36:07,2457912.858,19.34
2017-06-08 10:22:41,2457912.932,untrusted
2017-06-08 14:36:20,2457913.109,19.35
2017-07-19 02:03:03,2457953.585,19.25
2017-07-19 03:49:53,2457953.660,null
2017-08-26 07:15:58,2457991.803,untrusted
2017-08-26 09:02:32,2457991.877,19.13
2017-08-26 13:16:10,2457992.053,19.14
2017-09-07 07:21:53,2458003.807,19.09
2017-09-07 09:08:27,2458003.881,19.05
2017-09-07 13:22:06,2458004.057,19.08
2017-09-07 15:08:40,2458004.131,19.11
2017-12-11 05:27:26,2458098.727,null
2017-12-11 09:41:12,2458098.904,null
2017-12-27 15:46:34,2458115.157,19.15
2017-12-27 17:33:08,2458115.231,19.18
2018-01-29 15:17:02,2458148.137,null
2018-06-06 15:33:53,2458276.149,19.12
2018-06-06 17:20:27,2458276.223,19.12
2018-06-06 21:34:06,2458276.399,19.14
2018-06-06 23:20:40,2458276.473,19.19
2018-06-26 15:38:29,2458296.152,19.12
2018-06-26 17:25:07,2458296.226,null
2018-07-30 09:11:25,2458329.883,19.14
2018-12-20 12:32:00,2458473.022,19.14
2018-12-20 16:45:41,2458473.198,19.05
2019-01-11 00:31:01,2458494.522,19.07
2019-02-09 04:28:15,2458523.686,19.00
2019-06-16 22:42:12,2458651.446,18.79
2019-06-17 00:28:46,2458651.520,18.77
2019-07-12 16:36:08,2458677.192,18.80
2019-07-12 18:22:42,2458677.266,18.77
2019-08-13 19:09:30,2458709.298,18.82
2019-08-13 20:56:04,2458709.372,18.84
2019-12-18 10:57:09,2458835.956,18.84
2019-12-18 12:43:44,2458836.030,18.81
2020-01-11 19:38:19,2458860.318,18.87

