Gaia19clz
#Date,JD,averagemag.
2014-09-09 20:48:15,2456910.367,untrusted
2014-09-10 01:01:55,2456910.543,untrusted
2014-09-10 02:48:30,2456910.617,untrusted
2014-09-10 07:02:10,2456910.793,untrusted
2014-10-16 10:20:22,2456946.931,untrusted
2014-10-16 12:06:56,2456947.005,untrusted
2014-11-15 04:06:46,2456976.671,untrusted
2015-01-22 02:47:20,2457044.616,null
2015-01-22 08:47:51,2457044.867,null
2015-01-22 10:34:00,2457044.940,19.07
2015-01-22 14:47:47,2457045.117,null
2015-01-22 16:34:15,2457045.190,19.06
2015-01-22 20:48:17,2457045.367,null
2015-01-22 22:34:27,2457045.441,null
2015-01-23 02:48:13,2457045.617,null
2015-01-23 04:34:45,2457045.691,untrusted
2015-01-23 08:48:43,2457045.867,null
2015-01-23 10:35:28,2457045.941,null
2015-01-23 14:48:39,2457046.117,null
2015-01-23 16:35:24,2457046.191,null
2015-01-23 20:49:09,2457046.367,null
2015-01-23 22:35:54,2457046.442,null
2015-01-24 02:49:10,2457046.617,19.07
2015-01-24 04:35:44,2457046.691,19.09
2015-01-24 08:49:25,2457046.868,19.11
2015-03-14 01:04:53,2457095.545,19.07
2015-03-14 02:51:27,2457095.619,19.05
2015-03-25 08:57:07,2457106.873,19.04
2015-03-25 13:10:46,2457107.049,18.99
2015-06-04 19:33:34,2457178.315,null
2015-06-04 23:47:18,2457178.491,null
2015-06-30 11:46:19,2457203.990,untrusted
2015-06-30 13:32:53,2457204.065,19.06
2015-09-03 01:28:47,2457268.562,19.12
2015-09-03 05:42:28,2457268.738,19.16
2015-09-03 07:29:02,2457268.812,19.12
2015-09-03 11:42:43,2457268.988,19.16
2015-09-03 13:29:17,2457269.062,untrusted
2015-09-03 17:42:58,2457269.238,19.12
2015-09-03 19:29:32,2457269.312,untrusted
2015-09-03 23:43:12,2457269.488,untrusted
2015-09-04 01:29:56,2457269.562,null
2015-09-04 05:43:27,2457269.739,19.16
2015-09-04 11:43:41,2457269.989,19.13
2015-09-10 23:49:54,2457276.493,null
2015-09-11 01:36:39,2457276.567,null
2015-09-11 05:50:25,2457276.743,null
2015-09-11 07:36:35,2457276.817,null
2015-09-11 11:50:20,2457276.993,null
2015-09-11 13:37:06,2457277.067,null
2015-09-11 17:50:51,2457277.244,null
2015-09-11 19:37:03,2457277.317,untrusted
2015-09-11 23:50:47,2457277.494,null
2015-09-12 01:37:19,2457277.568,19.14
2015-10-27 19:17:50,2457323.304,null
2015-11-29 00:51:57,2457355.536,19.25
2015-12-19 12:51:16,2457376.036,19.17
2016-03-22 20:02:20,2457470.335,19.19
2016-03-22 21:48:54,2457470.409,19.14
2016-04-07 09:52:03,2457485.911,null
2016-04-07 14:05:47,2457486.087,null
2016-05-14 13:16:06,2457523.053,19.18
2016-05-14 15:02:40,2457523.127,19.19
2016-06-20 02:35:18,2457559.608,19.19
2016-06-20 06:48:57,2457559.784,19.20
2016-07-11 00:56:23,2457580.539,19.21
2016-07-11 02:42:57,2457580.613,19.21
2016-07-11 06:56:36,2457580.789,19.29
2016-07-11 08:43:10,2457580.863,19.22
2016-09-12 08:38:54,2457643.860,19.22
2016-09-12 12:52:34,2457644.037,19.26
2016-09-12 14:39:09,2457644.111,19.24
2016-09-30 13:03:54,2457662.044,19.24
2016-09-30 14:50:29,2457662.118,19.22
2016-11-07 02:28:11,2457699.603,19.26
2016-12-11 18:03:12,2457734.252,19.15
2016-12-11 19:49:46,2457734.326,19.19
2016-12-28 12:07:13,2457751.005,19.13
2016-12-28 13:54:13,2457751.079,null
2017-04-01 22:24:58,2457845.434,19.30
2017-04-02 00:11:32,2457845.508,19.28
2017-04-21 16:23:34,2457865.183,null
2017-05-26 03:46:40,2457899.657,19.41
2017-05-26 05:33:37,2457899.732,null
2017-07-08 11:05:21,2457942.962,19.30
2017-07-08 15:19:00,2457943.138,19.37
2017-07-08 17:05:34,2457943.212,19.34
2017-07-08 21:19:13,2457943.388,19.29
2017-07-21 21:28:37,2457956.395,19.23
2017-07-21 23:15:11,2457956.469,19.34
2017-07-22 03:28:50,2457956.645,untrusted
2017-07-22 05:15:24,2457956.719,19.30
2017-07-22 09:29:04,2457956.895,untrusted
2017-07-22 11:15:38,2457956.969,19.27
2017-09-23 17:12:45,2458020.217,19.05
2017-09-23 21:26:26,2458020.393,19.02
2017-10-16 21:32:33,2458043.398,19.07
2017-10-16 23:19:08,2458043.472,19.07
2017-11-18 03:13:38,2458075.634,19.02
2017-11-18 05:00:13,2458075.708,19.08
2017-12-25 08:22:40,2458112.849,19.04
2017-12-25 10:09:14,2458112.923,19.03
2018-01-07 02:29:18,2458125.604,19.07
2018-01-07 04:15:52,2458125.678,19.05
2018-04-12 11:27:30,2458220.977,19.08
2018-05-06 01:05:51,2458244.546,19.01
2018-06-06 22:55:34,2458276.455,19.01
2018-06-07 00:42:08,2458276.529,untrusted
2018-10-05 04:37:44,2458396.693,18.99
2018-10-05 06:24:19,2458396.767,18.95
2018-11-01 00:21:38,2458423.515,18.96
2018-11-28 22:21:53,2458451.432,18.89
2018-11-29 00:08:28,2458451.506,18.90
2019-01-07 23:05:36,2458491.462,18.72
2019-01-08 03:19:16,2458491.638,18.75
2019-01-08 05:05:51,2458491.712,18.74
2019-01-16 05:12:02,2458499.717,18.75
2019-01-16 09:25:43,2458499.893,18.70
2019-01-16 11:12:17,2458499.967,18.76
2019-03-05 01:39:18,2458547.569,18.68
2019-03-05 03:25:52,2458547.643,18.67
2019-03-05 07:39:32,2458547.819,18.69
2019-03-05 09:26:06,2458547.893,18.69
2019-03-11 09:30:44,2458553.896,18.72
2019-03-11 13:44:23,2458554.072,18.68
2019-03-11 15:30:57,2458554.146,18.68
2019-03-11 19:44:37,2458554.323,18.64
2019-04-23 06:31:51,2458596.772,18.68
2019-04-23 08:18:25,2458596.846,18.69
2019-05-20 18:16:28,2458624.261,18.66
2019-05-20 20:03:02,2458624.335,18.68
2019-06-18 18:05:00,2458653.253,18.66
2019-06-18 19:51:34,2458653.327,18.62
2019-07-19 07:26:24,2458683.810,18.57
2019-07-19 09:12:58,2458683.884,18.58
2019-07-19 13:26:38,2458684.060,18.61
2019-07-19 15:13:11,2458684.134,18.59
2019-09-07 18:32:35,2458734.273,18.62
2019-09-07 22:46:15,2458734.449,18.59
2019-09-08 00:32:49,2458734.523,18.56
2019-09-14 16:53:56,2458741.204,18.62
2019-09-14 18:40:30,2458741.278,18.59
2019-09-14 22:54:11,2458741.454,18.64
2019-09-15 00:40:45,2458741.528,18.66
2019-10-27 07:26:30,2458783.810,18.71
2019-10-27 09:13:05,2458783.884,18.66
2019-11-23 02:34:05,2458810.607,18.61
2019-11-23 04:20:39,2458810.681,18.68
2019-12-20 05:24:06,2458837.725,18.74
2019-12-20 09:37:47,2458837.901,18.67
2020-04-13 07:36:22,2458952.817,18.65
2020-04-13 09:22:56,2458952.891,18.63

