Gaia19cmx
#Date,JD,averagemag.
2014-09-01 04:47:57,2456901.700,untrusted
2014-10-06 03:32:28,2456936.648,untrusted
2015-01-08 16:39:34,2457031.194,18.84
2015-01-08 18:26:09,2457031.268,19.07
2015-01-23 16:45:08,2457046.198,18.89
2015-01-23 18:32:05,2457046.272,null
2015-02-28 10:02:08,2457081.918,null
2015-02-28 11:48:54,2457081.992,null
2015-04-04 21:40:32,2457117.403,null
2015-04-04 23:27:17,2457117.477,null
2015-04-24 15:50:34,2457137.160,18.54
2015-04-24 17:37:08,2457137.234,18.68
2015-04-24 21:51:07,2457137.410,null
2015-06-28 03:48:52,2457201.659,18.54
2015-06-28 05:35:26,2457201.733,18.57
2015-06-28 09:49:05,2457201.909,18.72
2015-06-28 11:35:39,2457201.983,18.29
2015-07-16 03:58:21,2457219.666,18.55
2015-07-16 05:44:55,2457219.740,18.42
2015-07-16 09:58:34,2457219.916,18.51
2015-08-24 05:16:25,2457258.720,18.43
2015-09-29 08:45:01,2457294.865,18.52
2015-09-29 10:31:35,2457294.939,18.48
2015-10-16 08:47:00,2457311.866,18.42
2015-10-16 10:33:33,2457311.940,18.81
2016-01-18 11:40:55,2457405.987,18.68
2016-03-10 12:58:24,2457458.041,18.67
2016-04-21 22:50:19,2457500.452,18.46
2016-04-22 00:36:59,2457500.526,null
2016-04-22 04:50:44,2457500.702,null
2016-04-22 06:37:30,2457500.776,null
2016-04-22 10:51:15,2457500.952,null
2016-04-22 12:37:24,2457501.026,18.90
2016-05-03 18:47:04,2457512.283,18.81
2016-05-03 23:00:45,2457512.459,18.74
2016-05-04 00:47:19,2457512.533,untrusted
2016-05-04 05:01:00,2457512.709,19.04
2016-05-04 06:47:34,2457512.783,18.61
2016-05-04 11:01:15,2457512.959,18.84
2016-07-08 10:58:49,2457577.958,18.54
2016-07-08 12:45:23,2457578.032,18.38
2016-07-08 16:59:02,2457578.208,18.73
2016-08-01 05:02:07,2457601.710,18.61
2016-08-01 06:48:41,2457601.784,18.55
2016-09-03 16:37:26,2457635.193,18.51
2016-09-03 18:24:00,2457635.267,18.17
2016-10-12 11:26:26,2457673.977,18.73
2016-10-25 03:45:19,2457686.656,18.36
2016-10-25 05:31:53,2457686.730,18.53
2017-01-27 14:31:24,2457781.105,18.58
2017-02-19 08:03:20,2457803.836,18.34
2017-03-21 21:31:45,2457834.397,18.61
2017-07-20 07:31:26,2457954.813,18.28
2017-07-20 09:18:00,2457954.888,18.45
2017-08-16 21:10:59,2457982.383,18.32
2017-08-17 01:24:38,2457982.559,18.48
2017-10-26 13:43:49,2458053.072,18.50
2017-10-26 17:57:28,2458053.248,18.62
2017-10-26 19:44:02,2458053.322,18.73
2017-11-03 06:02:50,2458060.752,18.61
2017-11-03 07:49:24,2458060.826,18.50
2017-12-21 18:01:52,2458109.251,18.58
2017-12-21 22:15:52,2458109.428,null
2017-12-22 00:02:37,2458109.502,null
2017-12-22 04:15:48,2458109.678,18.93
2017-12-22 06:02:33,2458109.752,null
2017-12-26 22:20:05,2458114.431,18.32
2017-12-27 00:06:39,2458114.505,18.79
2017-12-27 04:20:20,2458114.681,18.48
2017-12-27 06:06:54,2458114.755,18.16
2018-02-06 22:59:57,2458156.458,18.51
2018-02-07 03:13:38,2458156.634,18.26
2018-03-05 10:49:20,2458182.951,18.51
2018-04-02 04:43:29,2458210.697,null
2018-04-02 08:56:34,2458210.873,18.45
