Gaia19cpo
#Date,JD,averagemag.
2015-01-18 11:15:57,2457040.969,null
2015-02-09 11:14:19,2457062.968,null
2015-07-04 17:07:07,2457208.213,null
2015-07-04 18:53:52,2457208.287,null
2015-08-06 22:40:46,2457241.445,null
2015-08-07 00:27:30,2457241.519,null
2015-08-27 10:44:34,2457261.948,null
2015-08-27 12:31:18,2457262.022,null
2015-12-31 06:42:40,2457387.780,null
2016-02-01 16:27:10,2457420.186,null
2016-02-01 18:13:56,2457420.260,null
2016-02-18 22:32:10,2457437.439,null
2016-02-19 00:18:55,2457437.513,null
2016-05-25 00:57:15,2457533.540,null
2016-05-25 02:43:25,2457533.613,null
2016-06-06 07:03:04,2457545.794,null
2016-06-06 08:49:48,2457545.868,null
2016-06-06 13:03:32,2457546.044,null
2016-07-15 00:15:07,2457584.510,null
2016-08-23 13:29:27,2457624.062,null
2016-08-23 17:42:36,2457624.238,null
2016-08-23 19:29:20,2457624.312,null
2016-08-23 23:43:04,2457624.488,null
2016-09-03 11:50:17,2457634.993,null
2016-09-03 13:37:02,2457635.067,null
2016-09-03 17:50:11,2457635.243,null
2016-09-03 19:36:56,2457635.317,null
2016-11-22 12:22:39,2457715.016,null
2016-11-22 14:09:25,2457715.090,null
2016-11-22 18:23:11,2457715.266,null
2016-11-22 20:09:56,2457715.340,null
2016-12-04 00:32:10,2457726.522,null
2016-12-04 02:18:56,2457726.596,null
2017-01-09 19:53:42,2457763.329,null
2017-02-15 12:48:18,2457800.034,null
2017-02-15 14:34:29,2457800.107,null
2017-02-26 12:55:40,2457811.039,null
2017-02-26 14:42:25,2457811.113,null
2017-06-03 03:19:31,2457907.639,null
2017-06-03 05:06:15,2457907.713,null
2017-06-21 21:21:05,2457926.390,null
2017-06-21 23:07:50,2457926.464,null
2017-07-26 08:46:33,2457960.866,null
2017-11-30 14:52:38,2458088.120,null
2017-11-30 16:39:24,2458088.194,null
2017-11-30 20:52:35,2458088.370,null
2017-12-20 14:59:18,2458108.125,null
2017-12-20 16:46:04,2458108.199,null
2018-01-20 08:39:40,2458138.861,null
2018-01-20 10:26:25,2458138.935,null
2018-07-07 00:02:30,2458306.502,null
2018-08-06 11:42:04,2458336.988,null
2018-12-10 11:49:11,2458462.992,null
2018-12-10 16:02:57,2458463.169,null
2019-01-04 09:59:32,2458487.916,null
2019-01-04 11:46:17,2458487.990,null
2019-01-30 17:35:10,2458514.233,null
2019-06-23 23:28:27,2458658.478,18.50
2019-06-24 01:15:01,2458658.552,18.59
2019-08-03 19:30:49,2458699.313,19.31
2019-08-03 21:17:23,2458699.387,19.27

