Gaia19cqp
#Date,JD,averagemag.
2014-09-03 04:44:49,2456903.698,untrusted
2014-09-03 08:58:30,2456903.874,untrusted
2015-01-18 12:43:59,2457041.031,18.68
2015-01-18 14:30:33,2457041.105,18.63
2015-02-13 06:28:06,2457066.770,18.63
2015-07-05 03:35:07,2457208.649,18.59
2015-08-27 13:39:14,2457262.069,null
2015-08-27 15:25:43,2457262.143,18.61
2016-01-04 02:03:15,2457391.586,null
2016-02-01 21:24:42,2457420.392,18.60
2016-02-02 01:38:20,2457420.568,18.61
2016-02-23 01:33:32,2457441.565,18.63
2016-07-15 02:59:17,2457584.625,18.61
2016-08-17 14:39:45,2457618.111,18.77
2016-08-17 16:26:20,2457618.185,18.70
2016-09-05 04:34:43,2457636.691,18.67
2016-09-05 08:48:24,2457636.867,18.68
2017-01-13 09:11:16,2457766.883,18.67
2017-01-13 10:57:49,2457766.957,18.61
2017-02-15 15:55:10,2457800.163,18.67
2017-02-15 17:41:44,2457800.237,18.68
2017-03-02 21:58:45,2457815.416,18.67
2017-03-02 23:45:19,2457815.490,18.66
2017-06-16 12:08:44,2457921.006,18.69
2017-06-16 13:55:19,2457921.080,18.71
2017-06-16 18:09:00,2457921.256,18.70
2017-06-16 19:55:35,2457921.330,18.70
2017-07-26 05:33:36,2457960.732,null
2017-09-04 17:07:25,2458001.213,18.62
2017-09-04 18:53:59,2458001.287,18.65
2017-09-04 23:07:41,2458001.464,18.60
2017-09-05 00:54:15,2458001.538,18.66
2017-09-05 05:07:56,2458001.714,18.63
2017-09-05 06:54:31,2458001.788,18.67
2017-09-11 07:00:18,2458007.792,untrusted
2017-09-11 11:13:59,2458007.968,untrusted
2017-09-11 13:00:34,2458008.042,untrusted
2017-09-11 17:14:15,2458008.218,untrusted
2017-09-11 19:00:49,2458008.292,untrusted
2017-12-08 00:12:21,2458095.509,18.67
2017-12-08 01:58:55,2458095.583,18.68
2017-12-08 06:12:34,2458095.759,18.70
2017-12-08 07:59:09,2458095.833,null
2017-12-18 18:18:58,2458106.263,18.70
2017-12-18 20:05:31,2458106.337,18.69
2017-12-19 00:19:10,2458106.513,18.66
2018-03-03 22:51:46,2458181.453,18.64
2018-03-04 00:38:20,2458181.527,18.57
2018-03-04 04:51:59,2458181.703,18.65
2018-03-04 06:38:33,2458181.777,18.69
2018-03-09 10:55:57,2458186.956,18.66
2018-03-09 12:42:31,2458187.030,18.63
2018-03-09 16:56:10,2458187.206,18.67
2018-03-09 18:42:44,2458187.280,18.59
2018-03-10 00:42:57,2458187.530,18.66
2018-06-15 02:48:31,2458284.617,18.78
2018-06-15 07:02:13,2458284.793,18.77
2018-07-03 01:09:08,2458302.548,18.79
2018-07-03 02:55:42,2458302.622,18.74
2018-08-06 06:45:06,2458336.781,untrusted
2018-08-06 08:31:40,2458336.855,18.75
2018-12-15 15:03:19,2458468.127,null
2018-12-15 19:16:28,2458468.303,null
2019-01-04 01:17:25,2458487.554,untrusted
2019-01-04 03:03:59,2458487.628,18.74
2019-02-03 06:49:49,2458517.785,18.84
2019-02-03 08:36:23,2458517.859,18.89
2019-06-24 21:54:48,2458659.413,19.31
2019-06-25 02:08:30,2458659.589,19.17
2019-08-07 16:37:01,2458703.192,19.03
2019-12-25 21:31:58,2458843.397,19.04
2020-01-17 08:30:16,2458865.854,19.03
2020-01-17 10:16:50,2458865.928,18.97
2020-02-14 03:35:08,2458893.649,19.01

